entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.23076922076923134, 0.23076926410256227, 0.23076922076923134, 0.05846158512820565, 0.23076922076923123]","[0.23999998666666586, 0.23999998666666586, 0.23076922076923134, 0.07692307358974378, 0.23076922076923123]","[0.23999998666666586, 0.23999998666666586, 0.12000002111111238, 0.03999999777777764, 0.15999996333333108]","[0.24000004222222476, 0.23999998666666586, 0.23999998666666586, 0.15999996333333108, 0.23999998666666586]","[0.2307692479120883, 0.23076924791208833, 0.2307691736263724, 0.058461605128203975, 0.2307692479120883]","[[0.2307692479120883, 0.23076924791208833, 0.2307691736263724, 0.07692308263736276, 0.2307692479120883], [0.23999998666666766, 0.23999998666666766, 0.2307691736263724, 0.058461605128203975, 0.2307692479120883]]",107,"[0.23999998666666766, 0.23999998666666766, 0.12000002111110952, 0.03999999777777794, 0.20000000277777763]","[0.24000004222221905, 0.23999998666666766, 0.23999998666666766, 0.20000000277777763, 0.23999998666666766]","[0.2307692479120883, 0.23076924791208833, 0.2307692479120883, 0.2115384401098897, 0.2307692479120883]","[0.23076922076923134, 0.23076926410256227, 0.23076922076923134, 0.19230766230769392, 0.23076922076923134]","[0.23999998666666766, 0.23999998666666766, 0.2307691736263724, 0.07692308263736276, 0.2307692479120883]","[0.23076922076923134, 0.23076922076923134, 0.11538463205128113, 0.07692307358974378, 0.19230766230769392]","[0.2307692479120883, 0.2307692479120883, 0.11538462395604417, 0.07692308263736276, 0.2115384401098897]","[[0.23076922076923134, 0.23076926410256227, 0.23076922076923134, 0.07692307358974378, 0.23076922076923123], [0.23999998666666586, 0.23999998666666586, 0.23076922076923134, 0.05846158512820565, 0.23076922076923123]]"
"[0.20000001599999961, 0.2222222122222227, 0.17777773977777844, 0.15555562355555344, 0.20000001599999961]","[0.2222222122222227, 0.2222222122222227, 0.17777773977777844, 0.20000001599999961, 0.2222222122222227]","[0.20000001599999961, 0.20000001599999961, 0.14999998200000045, 0.0999999880000003, 0.20000001599999961]","[0.20000001599999961, 0.2999999640000009, 0.2000000159999996, 0.20000001599999961, 0.20000001599999961]","[0.20000005500000645, 0.2222223022222245, 0.20000005500000645, 0.13333321833332512, 0.20000005500000645]","[[0.22222221222222197, 0.2222223022222245, 0.20000005500000645, 0.13333321833332512, 0.22222221222222194], [0.20000005500000645, 0.2666666166666556, 0.20000005500000645, 0.13333321833332512, 0.20000005500000645]]",108,"[0.20000005500000645, 0.20000005500000645, 0.1636363336363601, 0.10909088909090674, 0.20000005500000645]","[0.20000005500000645, 0.3272726672727202, 0.20000005500000645, 0.20000005500000645, 0.20000005500000645]","[0.24999995499999875, 0.2222223022222245, 0.22222221222222194, 0.22222221222222194, 0.22222221222222197]","[0.2500000224999988, 0.2222222122222227, 0.2222222122222227, 0.2222222122222227, 0.2222222122222227]","[0.22222221222222197, 0.2666666166666556, 0.20000005500000645, 0.13333321833332512, 0.22222221222222194]","[0.2222222122222227, 0.2222222122222227, 0.11111110611111134, 0.08333334083333292, 0.2222222122222227]","[0.22222221222222197, 0.22222221222222194, 0.11111115111111225, 0.08333331833333292, 0.22222221222222194]","[[0.2222222122222227, 0.2222222122222227, 0.17777773977777844, 0.15555562355555344, 0.2222222122222227], [0.20000001599999961, 0.2222222122222227, 0.17777773977777844, 0.20000001599999961, 0.20000001599999961]]"
"[0.20000000666666684, 0.22222221555555513, 0.20000000666666684, 0.13333334666666785, 0.20000000666666684]","[0.22222221555555513, 0.22222221555555513, 0.22222221555555513, 0.17777776444444437, 0.20000000666666684]","[0.22222221555555513, 0.22222221555555513, 0.22222221555555513, 0.11111110777777757, 0.13888889222222245]","[0.2777777844444449, 0.22222221555555513, 0.22222221555555513, 0.13888889222222245, 0.22222221555555513]","[0.20000001333333361, 0.22222221688888888, 0.20000001333333361, 0.13333333599999997, 0.20000001333333361]","[[0.20000001333333361, 0.22222221688888888, 0.20000001333333361, 0.17777774311111028, 0.20000001333333361], [0.22222221688888888, 0.22222221688888888, 0.22222221688888885, 0.13333333599999997, 0.20000001333333361]]",109,"[0.22222221688888888, 0.22222221688888885, 0.22222221688888885, 0.11111110844444444, 0.13888889155555556]","[0.2777777831111111, 0.22222221688888888, 0.22222221688888888, 0.13888889155555556, 0.22222221688888885]","[0.20000001333333361, 0.3499999899999998, 0.20000001333333361, 0.20000001333333361, 0.20000001333333361]","[0.20000000666666684, 0.299999976666666, 0.20000000666666684, 0.20000000666666684, 0.20000000666666684]","[0.22222221688888888, 0.22222221688888888, 0.22222221688888885, 0.17777774311111028, 0.20000001333333361]","[0.20000000666666684, 0.20000000666666684, 0.149999988333333, 0.149999988333333, 0.10000000333333342]","[0.20000001333333361, 0.20000001333333361, 0.1749999949999999, 0.1749999949999999, 0.10000000666666681]","[[0.20000000666666684, 0.22222221555555513, 0.20000000666666684, 0.17777776444444437, 0.20000000666666684], [0.22222221555555513, 0.22222221555555513, 0.22222221555555513, 0.13333334666666785, 0.20000000666666684]]"
"[0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.07936511036508137, 0.22222221422222216]","[0.2380952305952372, 0.2380952305952372, 0.22222221422222216, 0.11111110711111122, 0.22222221422222216]","[0.22222221422222216, 0.22222221422222216, 0.11111112511111121, 0.11111110711111108, 0.22222221422222216]","[0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.22222221888888882, 0.22222224888888917, 0.2222222038888888, 0.07936512633477552, 0.22222219358585965]","[[0.23809523809523808, 0.23809523809523808, 0.2222222038888888, 0.07936512633477552, 0.22222219358585965], [0.22222221888888882, 0.22222224888888917, 0.2222222038888888, 0.11111110944444441, 0.22222221888888882]]",110,"[0.22222221888888882, 0.22222221888888882, 0.11111112444444458, 0.11111110944444441, 0.22222221888888882]","[0.22222221888888882, 0.22222224888888917, 0.22222221888888882, 0.22222221888888882, 0.22222221888888882]","[0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.22222219358585965, 0.23809523809523808]","[0.2380952305952372, 0.23809526209524093, 0.2380952305952372, 0.20634918934920443, 0.2380952305952372]","[0.23809523809523808, 0.23809523809523808, 0.2222222038888888, 0.11111110944444441, 0.22222219358585965]","[0.2380952305952372, 0.2380952305952372, 0.07936508736508031, 0.047619046119047444, 0.20634918934920443]","[0.23809523809523808, 0.23809523809523808, 0.07936507936507936, 0.047619047619047616, 0.22222219358585965]","[[0.2380952305952372, 0.2380952305952372, 0.22222221422222216, 0.07936511036508137, 0.22222221422222216], [0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.11111110711111122, 0.22222221422222216]]"
"[0.20000006000000817, 0.22222221422222216, 0.20000006000000817, 0.13333329733332544, 0.20000006000000817]","[0.22222221422222216, 0.22222221422222216, 0.20000006000000817, 0.1777776057777534, 0.22222221422222216]","[0.20000006000000817, 0.20000006000000817, 0.19999995999999456, 0.09999995499999388, 0.19999995999999456]","[0.20000006000000817, 0.29999986499998166, 0.20000006000000817, 0.19999995999999456, 0.20000006000000817]","[0.2000000599999981, 0.22222224555555548, 0.2000000599999981, 0.13333326333333528, 0.2000000599999981]","[[0.22222221555555557, 0.22222224555555548, 0.2000000599999981, 0.13333326333333528, 0.22222221555555557], [0.2000000599999981, 0.2666665566666704, 0.2000000599999981, 0.13333326333333528, 0.2000000599999981]]",111,"[0.2000000599999981, 0.2000000599999981, 0.1999999600000013, 0.09999995500000143, 0.1999999600000013]","[0.2000000599999981, 0.2999998650000043, 0.2000000599999981, 0.1999999600000013, 0.2000000599999981]","[0.22222221555555557, 0.22222224555555548, 0.22222221555555557, 0.22222221555555557, 0.22222221555555557]","[0.22222221422222216, 0.22222225022222253, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.22222221555555557, 0.2666665566666704, 0.2000000599999981, 0.13333326333333528, 0.22222221555555557]","[0.22222221422222216, 0.22222221422222216, 0.11111112511111126, 0.11111110711111108, 0.22222221422222216]","[0.22222221555555557, 0.22222221555555557, 0.11111112277777774, 0.11111110777777779, 0.22222221555555557]","[[0.22222221422222216, 0.22222221422222216, 0.20000006000000817, 0.13333329733332544, 0.22222221422222216], [0.20000006000000817, 0.22222221422222216, 0.20000006000000817, 0.1777776057777534, 0.20000006000000817]]"
"[0.2000000399999961, 0.22222220347222302, 0.18518519768518468, 0.1703703553703732, 0.2000000399999961]","[0.22222220347222302, 0.22222220347222302, 0.18518519768518468, 0.19259251884260004, 0.2000000399999961]","[0.2000000399999961, 0.2000000399999961, 0.16666661666667154, 0.06666664666666862, 0.19999984000001547]","[0.2000000399999961, 0.3333332333333431, 0.2000000399999961, 0.19999984000001547, 0.2000000399999961]","[0.21212125212121258, 0.22222223722222298, 0.21212125212121258, 0.13131305506313062, 0.21212125212121258]","[[0.22222220347222127, 0.22222223722222298, 0.21212125212121258, 0.13131305506313062, 0.21212125212121258], [0.21212125212121258, 0.23232318857323164, 0.21212125212121258, 0.13131305506313062, 0.21212125212121258]]",112,"[0.21212125212121258, 0.21212125212121258, 0.15151510151515096, 0.06060604060606038, 0.21212119712121194]","[0.21212125212121258, 0.3030302030303019, 0.21212125212121258, 0.21212119712121194, 0.21212125212121258]","[0.22222223722222298, 0.22222223722222298, 0.22222220347222127, 0.18518519768518582, 0.22222220347222127]","[0.2222222372222216, 0.2222222372222216, 0.22222220347222302, 0.18518519768518468, 0.22222220347222302]","[0.22222220347222127, 0.23232318857323164, 0.21212125212121258, 0.13131305506313062, 0.21212125212121258]","[0.22222220347222302, 0.22222220347222302, 0.18518519768518468, 0.1111111186111108, 0.18518519768518468]","[0.22222220347222127, 0.22222220347222127, 0.18518519768518582, 0.11111111861111149, 0.18518519768518582]","[[0.22222220347222302, 0.22222220347222302, 0.18518519768518468, 0.1703703553703732, 0.2000000399999961], [0.2000000399999961, 0.22222220347222302, 0.18518519768518468, 0.19259251884260004, 0.2000000399999961]]"
"[0.22222224222221765, 0.20000006000000484, 0.2000000600000048, 0.13333327333332853, 0.2000000600000048]","[0.266666546666657, 0.22222221222222452, 0.2000000600000048, 0.13333327333332853, 0.22222221222222452]","[0.22222221222222452, 0.22222221222222452, 0.11111112111110882, 0.11111111111111105, 0.22222221222222452]","[0.22222224222221765, 0.22222221222222452, 0.2222222222222221, 0.22222221222222452, 0.22222221222222452]","[0.2222222372222226, 0.20000006000000542, 0.20000006000000542, 0.133333273333328, 0.20000006000000542]","[[0.2666665466666557, 0.20000006000000542, 0.20000006000000542, 0.133333273333328, 0.20000006000000542], [0.2222222372222226, 0.22222221472222203, 0.20000006000000542, 0.133333273333328, 0.22222221472222203]]",113,"[0.22222221472222203, 0.22222221472222203, 0.1111111186111113, 0.11111111111111112, 0.22222221472222203]","[0.2222222372222226, 0.22222221472222203, 0.22222222222222224, 0.22222221472222203, 0.22222221472222203]","[0.29999986499998793, 0.20000006000000542, 0.20000006000000542, 0.19999995999999642, 0.20000006000000542]","[0.2999998649999892, 0.20000006000000484, 0.2000000600000048, 0.19999995999999678, 0.2000000600000048]","[0.2666665466666557, 0.22222221472222203, 0.20000006000000542, 0.133333273333328, 0.22222221472222203]","[0.2000000600000048, 0.2000000600000048, 0.19999995999999678, 0.09999995499999641, 0.19999995999999678]","[0.20000006000000542, 0.20000006000000542, 0.19999995999999642, 0.09999995499999598, 0.19999995999999642]","[[0.266666546666657, 0.20000006000000484, 0.2000000600000048, 0.13333327333332853, 0.2000000600000048], [0.22222224222221765, 0.22222221222222452, 0.2000000600000048, 0.13333327333332853, 0.22222221222222452]]"
"[0.22222226888888696, 0.12393168726495796, 0.22222220888888944, 0.1923076623076916, 0.22222220888888944]","[0.23076923934065957, 0.12393168726495796, 0.2307692021978015, 0.2094016260683762, 0.22222220888888944]","[0.22222220888888944, 0.11111113444444348, 0.11111110444444472, 0.11111110444444472, 0.22222220888888944]","[0.22222226888888696, 0.22222220888888944, 0.22222220888888944, 0.22222220888888944, 0.22222220888888944]","[0.23076923934065932, 0.192307755164835, 0.23076920219780228, 0.11538460109890114, 0.23076920219780228]","[[0.23076923934065932, 0.192307755164835, 0.23076920219780228, 0.11538460109890114, 0.23076920219780228], [0.23076923934065932, 0.192307755164835, 0.23076920219780228, 0.11538460109890114, 0.23076920219780228]]",114,"[0.23076920219780228, 0.11538461967032966, 0.11538460109890114, 0.11538460109890114, 0.23076919917124827]","[0.23076923934065932, 0.23076920219780228, 0.23076920219780228, 0.23076919917124827, 0.23076920219780228]","[0.23076923934065932, 0.23076920219780228, 0.23076923934065932, 0.21153846939560425, 0.23076923934065932]","[0.23076923934065957, 0.2307692021978015, 0.23076923934065957, 0.1923076623076916, 0.23076923934065957]","[0.23076923934065932, 0.192307755164835, 0.23076920219780228, 0.11538460109890114, 0.23076920219780228]","[0.23076923934065957, 0.11538461967032979, 0.2307692021978015, 0.07692307978021985, 0.1923076623076916]","[0.23076923934065932, 0.11538461967032966, 0.23076920219780228, 0.07692307978021977, 0.21153846939560425]","[[0.23076923934065957, 0.12393168726495796, 0.2307692021978015, 0.1923076623076916, 0.22222220888888944], [0.22222226888888696, 0.12393168726495796, 0.22222220888888944, 0.2094016260683762, 0.22222220888888944]]"
"[0.2222222322222214, 0.2083333483333331, 0.22222222222222224, 0.125, 0.1666666616666671]","[0.25, 0.22222222222222224, 0.24999998999999978, 0.16666666166666708, 0.1666666616666671]","[0.25, 0.1875, 0.24999998999999978, 0.125, 0.125]","[0.25, 0.25, 0.25, 0.125, 0.1875]","[0.2222222328104576, 0.18750000500000003, 0.2222222222222222, 0.125, 0.187500005]","[[0.2222222328104576, 0.22222222222222232, 0.2222222222222222, 0.14583331774509778, 0.187500005], [0.25, 0.18750000500000003, 0.24999999, 0.125, 0.187500005]]",115,"[0.25, 0.187500005, 0.24999999, 0.125, 0.125]","[0.25, 0.25, 0.25, 0.125, 0.187500005]","[0.2222222328104576, 0.22222222222222232, 0.2222222222222222, 0.16666666666666669, 0.2222222222222222]","[0.2222222322222214, 0.22222222222222224, 0.22222222222222224, 0.1666666616666671, 0.22222222222222224]","[0.25, 0.22222222222222232, 0.24999999, 0.14583331774509778, 0.187500005]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112, 0.1666666616666671]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111111111111116, 0.16666666666666669]","[[0.2222222322222214, 0.22222222222222224, 0.22222222222222224, 0.16666666166666708, 0.1666666616666671], [0.25, 0.2083333483333331, 0.24999998999999978, 0.125, 0.1666666616666671]]"
"[0.2222222179365077, 0.222222237222223, 0.15384613384615328, 0.13675218103785242, 0.17948719948718006]","[0.2222222179365077, 0.30769226769230656, 0.2222222179365077, 0.14814813886243347, 0.18518518804232822]","[0.18518518804232822, 0.2222222179365077, 0.2222222179365077, 0.11111110896825385, 0.18518518804232822]","[0.2222222179365077, 0.222222237222223, 0.2222222179365077, 0.18518518804232822, 0.2222222179365077]","[0.22222221793650798, 0.222222237222222, 0.153846146346154, 0.13675215603785051, 0.17948718698717928]","[[0.22222221793650798, 0.3076922926923082, 0.153846146346154, 0.13675215603785051, 0.17948718698717928], [0.22222221793650798, 0.222222237222222, 0.22222221793650798, 0.13675215603785051, 0.19658117086691151]]",116,"[0.185185188042328, 0.22222221793650798, 0.22222221793650798, 0.11111110896825399, 0.185185188042328]","[0.22222221793650798, 0.222222237222222, 0.22222221793650798, 0.185185188042328, 0.22222221793650798]","[0.3076922926923082, 0.3076922926923082, 0.153846146346154, 0.17948718698717928, 0.17948718698717928]","[0.30769226769230656, 0.30769226769230656, 0.15384613384615328, 0.17948719948718006, 0.17948719948718006]","[0.22222221793650798, 0.3076922926923082, 0.22222221793650798, 0.13675215603785051, 0.19658117086691151]","[0.17948719948718006, 0.30769226769230656, 0.15384613384615328, 0.07692306692307664, 0.15384613384615328]","[0.17948718698717928, 0.3076922926923082, 0.153846146346154, 0.076923073173077, 0.1538461463461541]","[[0.2222222179365077, 0.30769226769230656, 0.15384613384615328, 0.13675218103785242, 0.17948719948718006], [0.2222222179365077, 0.222222237222223, 0.2222222179365077, 0.14814813886243347, 0.18518518804232822]]"
"[0.20000001600000086, 0.20000001600000086, 0.19999997899999972, 0.19999997899999972, 0.2000000099999989]","[0.20000001600000086, 0.20000001600000086, 0.19999997899999972, 0.19999997899999972, 0.2000000099999989]","[0.20000001600000086, 0.20000001600000086, 0.14999998199999903, 0.09999998799999936, 0.19999997899999966]","[0.20000001600000086, 0.29999996399999806, 0.20000001600000086, 0.19999997899999966, 0.20000001600000086]","[0.20000001000657877, 0.19999999999999998, 0.19999999999999998, 0.1999999899934212, 0.19999999999999998]","[[0.20000001000657877, 0.19999999999999998, 0.19999999999999998, 0.1999999899934212, 0.19999999999999998], [0.20000001000657877, 0.20000000000000004, 0.19999999999999998, 0.1999999899934212, 0.19999999999999998]]",117,"[0.20000001000657877, 0.20000000000000004, 0.1499999924950659, 0.0999999949967106, 0.1999999899934212]","[0.20000001000657877, 0.2999999849901318, 0.20000001000657877, 0.1999999899934212, 0.20000000000000004]","[0.29999995000000185, 0.19999999999999998, 0.19999999999999998, 0.19999999999999998, 0.19999999999999998]","[0.2666666633333337, 0.20000001600000086, 0.19999997899999972, 0.19999997899999972, 0.2000000099999989]","[0.20000001000657877, 0.19999999999999998, 0.19999999999999998, 0.1999999899934212, 0.19999999999999998]","[0.20000001600000086, 0.19999997899999972, 0.13333333166666686, 0.13333333166666686, 0.19999997899999972]","[0.19999999999999998, 0.19999999999999998, 0.14999997500000092, 0.14999997500000092, 0.19999999999999998]","[[0.20000001600000086, 0.20000001600000086, 0.19999997899999972, 0.19999997899999972, 0.2000000099999989], [0.20000001600000086, 0.20000001600000086, 0.19999997899999972, 0.19999997899999966, 0.2000000099999989]]"
"[0.20000001500000042, 0.23529411209150336, 0.19999999999999998, 0.09411766372549002, 0.2]","[0.23529411209150336, 0.23529411209150336, 0.23529411209150336, 0.1647058729084963, 0.2]","[0.19999999999999998, 0.2, 0.19999999999999998, 0.13333332833333322, 0.19999999999999998]","[0.20000001500000042, 0.26666665666666645, 0.19999999999999998, 0.19999999999999998, 0.2]","[0.20000001499999975, 0.23529411209150322, 0.2, 0.0941176637254903, 0.2]","[[0.23529411209150322, 0.23529411209150322, 0.23529411209150322, 0.0941176637254903, 0.2], [0.20000001499999975, 0.2666666566666669, 0.2, 0.13333332833333345, 0.2]]",118,"[0.2, 0.2, 0.2, 0.13333332833333345, 0.2]","[0.20000001499999975, 0.2666666566666669, 0.2, 0.2, 0.2]","[0.23529411209150322, 0.23529411209150322, 0.23529413098039229, 0.1470588318627452, 0.23529411209150322]","[0.2352941120915035, 0.23529411209150336, 0.2352941309803918, 0.14705882241830068, 0.23529411209150336]","[0.23529411209150322, 0.2666666566666669, 0.23529411209150322, 0.13333332833333345, 0.2]","[0.23529411209150336, 0.23529411209150336, 0.23529411209150336, 0.05882353274509795, 0.14705882241830068]","[0.23529411209150322, 0.23529411209150322, 0.23529411209150322, 0.05882353274509807, 0.1470588318627452]","[[0.23529411209150336, 0.23529411209150336, 0.23529411209150336, 0.09411766372549002, 0.2], [0.20000001500000042, 0.23529411209150336, 0.19999999999999998, 0.1647058729084963, 0.2]]"
"[0.22222223222222343, 0.2222222322222234, 0.1111111161111117, 0.19658122015262391, 0.22222223222222343]","[0.23076922434065955, 0.23076922434065955, 0.1111111161111117, 0.2222221872222181, 0.23076921505494535]","[0.22222223222222343, 0.2222222322222234, 0.1111111161111117, 0.11111111611111171, 0.2222221872222181]","[0.22222223222222343, 0.2222222322222234, 0.22222223222222343, 0.2222221872222181, 0.22222223222222343]","[0.22222223222222226, 0.22222223222222226, 0.2222221872222221, 0.085470138651903, 0.22222223222222226]","[[0.2307692266783218, 0.2307692266783218, 0.2222221872222221, 0.085470138651903, 0.23076922076923112], [0.22222223222222226, 0.22222223222222226, 0.2222221872222221, 0.11111111611111113, 0.22222223222222226]]",119,"[0.22222223222222226, 0.22222223222222226, 0.11111111611111113, 0.11111111611111113, 0.22222218722222206]","[0.22222223222222226, 0.22222223222222226, 0.22222223222222226, 0.22222218722222206, 0.22222223222222226]","[0.2307692266783218, 0.23076924440559402, 0.2307692266783218, 0.23076922076923112, 0.2307692266783218]","[0.23076922434065955, 0.2307692521978016, 0.23076922434065955, 0.23076921505494535, 0.23076922434065955]","[0.2307692266783218, 0.2307692266783218, 0.2222221872222221, 0.11111111611111113, 0.23076922076923112]","[0.23076922434065955, 0.23076922434065955, 0.07692308406593386, 0.07692307478021986, 0.23076921505494535]","[0.2307692266783218, 0.2307692266783218, 0.07692308146853134, 0.0769230755594406, 0.23076922076923112]","[[0.23076922434065955, 0.23076922434065955, 0.1111111161111117, 0.19658122015262391, 0.23076921505494535], [0.22222223222222343, 0.2222222322222234, 0.1111111161111117, 0.2222221872222181, 0.22222223222222343]]"
"[0.20000001599999961, 0.222222224040404, 0.17777772795959712, 0.15555561628282683, 0.20000001599999961]","[0.22222221585858598, 0.222222224040404, 0.17777772795959712, 0.20000001599999961, 0.22222221585858598]","[0.20000001599999961, 0.20000001599999961, 0.14999998200000045, 0.0999999880000003, 0.20000001599999961]","[0.20000001599999961, 0.2999999640000009, 0.2000000159999996, 0.20000001599999961, 0.20000001599999961]","[0.2105263315893343, 0.22222222222222224, 0.2105263315893343, 0.12280701074399897, 0.2105263315893343]","[[0.22222222222222224, 0.22222222222222224, 0.2105263315893343, 0.12280701074399897, 0.22222221322222224], [0.2105263315893343, 0.2456139944879981, 0.2105263315893343, 0.12280701074399897, 0.2105263315893343]]",120,"[0.2105263315893343, 0.2105263315893343, 0.15789467364266266, 0.1052631157617751, 0.2105263315893343]","[0.2105263315893343, 0.3157893472853253, 0.2105263315893343, 0.2105263315893343, 0.2105263315893343]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222218, 0.22222222222222224, 0.22222222222222224]","[0.222222224040404, 0.222222224040404, 0.222222224040404, 0.222222224040404, 0.22222221585858598]","[0.22222222222222224, 0.2456139944879981, 0.2105263315893343, 0.12280701074399897, 0.22222221322222224]","[0.22222221585858598, 0.222222224040404, 0.111111112020202, 0.111111112020202, 0.22222221585858598]","[0.22222222222222224, 0.22222222222222224, 0.11111111111111112, 0.11111111111111109, 0.22222221322222224]","[[0.22222221585858598, 0.222222224040404, 0.17777772795959712, 0.15555561628282683, 0.22222221585858598], [0.20000001599999961, 0.222222224040404, 0.17777772795959712, 0.20000001599999961, 0.20000001599999961]]"
"[0.22222222862222218, 0.22222222862222218, 0.1111111719111062, 0.1333333213333343, 0.22222222142222225]","[0.2666666426666686, 0.2666666426666686, 0.1111111719111062, 0.22222214942222718, 0.22222222142222225]","[0.22222222142222225, 0.22222222142222225, 0.11111111431111109, 0.11111111071111109, 0.22222222142222217]","[0.22222222862222218, 0.22222222862222218, 0.22222222142222217, 0.22222222142222217, 0.22222222142222225]","[0.22222222949494957, 0.22222222949494957, 0.11111114202020178, 0.13333332733333336, 0.2222222213131313]","[[0.2666666546666668, 0.2666666546666668, 0.11111114202020178, 0.13333332733333336, 0.2222222213131313], [0.22222222949494957, 0.22222222949494957, 0.11111114202020178, 0.22222217767676777, 0.2222222213131313]]",121,"[0.2222222213131313, 0.2222222213131313, 0.11111111474747479, 0.11111111065656565, 0.2222222213131313]","[0.22222222949494957, 0.22222222949494957, 0.2222222213131313, 0.2222222213131313, 0.2222222213131313]","[0.2666666546666667, 0.2666666546666667, 0.15555556355555553, 0.15555556355555553, 0.2666666546666668]","[0.2666666426666686, 0.2666666426666686, 0.15555557155555425, 0.15555557155555425, 0.2666666426666686]","[0.2666666546666668, 0.2666666546666668, 0.11111114202020178, 0.22222217767676777, 0.2222222213131313]","[0.2666666426666686, 0.2666666426666686, 0.06666666066666715, 0.1333333213333343, 0.15555557155555425]","[0.2666666546666667, 0.2666666546666667, 0.06666666366666668, 0.13333332733333336, 0.15555556355555553]","[[0.2666666426666686, 0.2666666426666686, 0.1111111719111062, 0.1333333213333343, 0.22222222142222225], [0.22222222862222218, 0.22222222862222218, 0.1111111719111062, 0.22222214942222718, 0.22222222142222225]]"
"[0.22222222683760715, 0.22222222683760715, 0.22222222683760715, 0.0854701216239325, 0.22222220606837498]","[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.11111111341880357, 0.22222220606837498]","[0.22222222683760715, 0.18518518210826188, 0.22222222683760715, 0.11111111341880357, 0.18518518210826188]","[0.22222222683760715, 0.22222222683760715, 0.22222222683760715, 0.18518518210826188, 0.22222222683760715]","[0.22222222767676778, 0.22222222767676778, 0.22222222767676778, 0.08547012456099456, 0.2222222031313129]","[[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.08547012456099456, 0.2222222031313129], [0.22222222767676778, 0.22222222767676778, 0.22222222767676778, 0.11111111383838389, 0.2222222031313129]]",122,"[0.22222222767676778, 0.18518518154882146, 0.22222222767676778, 0.11111111383838389, 0.18518518154882146]","[0.22222222767676778, 0.22222222767676778, 0.22222222767676778, 0.18518518154882146, 0.22222222767676778]","[0.2307692457692307, 0.23076922410256415, 0.23076922410256415, 0.1538461638461538, 0.23076922410256415]","[0.23076924576923066, 0.23076922410256412, 0.23076922410256415, 0.15384615301282056, 0.23076922410256415]","[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.11111111383838389, 0.2222222031313129]","[0.23076922410256415, 0.23076922410256412, 0.23076922410256415, 0.07692308192307688, 0.15384615301282056]","[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.0769230819230769, 0.1538461638461538]","[[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.0854701216239325, 0.22222220606837498], [0.22222222683760715, 0.22222222683760715, 0.22222222683760715, 0.11111111341880357, 0.22222220606837498]]"
