解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᵁ_1,Trial,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᴸ_1
"[0.20000002011111093, 0.2999999798888891, 0.20000002011111093, 0.20000002011111093, 0.20000002011111093]","[0.22222222622222215, 0.2666666466666667, 0.22222222022222218, 0.22222221722222232, 0.22222221722222252]","[0.2222222255740742, 0.2222222255740742, 0.22222222054629598, 0.22222221803240727, 0.22222221803240727]","[0.20000001000000006, 0.2000000100000003, 0.11111111311111108, 0.11111111011111109, 0.20000001000000006]","[0.20000001, 0.2666666466666667, 0.20000001, 0.20000001000000006, 0.20000001]","[0.2222222255740742, 0.2999999798888891, 0.22222222054629598, 0.22222221803240727, 0.22222221803240727]","[0.22222222622222215, 0.22222222622222212, 0.22222222022222218, 0.22222221722222232, 0.22222221722222252]",11,"[0.20000002011111093, 0.20000002011111093, 0.1111111127870371, 0.11111111027314799, 0.20000002011111093]","[0.22222221803240727, 0.22222221803240727, 0.1111111127870371, 0.11111111027314799, 0.22222221803240727]","[0.20000001, 0.20000001, 0.13333332333333334, 0.13333332333333334, 0.20000001]","[0.20000002011111093, 0.20000002011111093, 0.14999998994444455, 0.14999998994444455, 0.20000002011111093]","[0.22222221722222232, 0.22222221722222252, 0.11111111311111108, 0.11111111011111109, 0.22222221722222232]"
"[0.27272724263636666, 0.2727274081363501, 0.1515151164090944, 0.1515151164090944, 0.27272724263636666]","[0.27272724272727267, 0.2999999640000005, 0.2000000159999995, 0.2000000159999995, 0.2727272427272727]","[0.2, 0.3272725768181953, 0.2, 0.2, 0.2]","[0.2000000159999995, 0.20000001599999964, 0.09090913590909075, 0.09090913590909057, 0.1515151165151516]","[0.27272724272727267, 0.2727274077272722, 0.1515151165151517, 0.15151511651515162, 0.2727272427272727]","[0.27272724263636666, 0.3272725768181953, 0.2, 0.2, 0.27272724263636666]","[0.20000001599999964, 0.2999999640000005, 0.2000000159999995, 0.2000000159999995, 0.20000001599999964]",12,"[0.2, 0.2, 0.09090913604545002, 0.09090913604545002, 0.1515151164090944]","[0.2, 0.2, 0.16363628840909766, 0.10909085893939845, 0.2]","[0.27272724272727267, 0.27272724272727267, 0.09090913590909075, 0.09090913590909074, 0.1515151165151516]","[0.27272724263636666, 0.27272724263636666, 0.09090913604545002, 0.09090913604545002, 0.1515151164090944]","[0.2000000159999995, 0.20000001599999964, 0.1499999820000003, 0.09999998800000016, 0.2000000159999994]"
"[0.2222222425396827, 0.22222222730158733, 0.22222221968253966, 0.22222221968253966, 0.22222221968253966]","[0.2857142920300753, 0.285714277293233, 0.28571426992481175, 0.2222222122222229, 0.2222222122222229]","[0.2857142900680272, 0.28571427990929715, 0.28571427482993217, 0.1428571450340136, 0.1428571450340136]","[0.2222222122222229, 0.11111112111111043, 0.1428571386466165, 0.11111111111111112, 0.14285714601503766]","[0.22222224222222078, 0.22222222222222224, 0.2222222122222229, 0.2222222122222229, 0.2222222122222229]","[0.2857142900680272, 0.28571427990929715, 0.28571427482993217, 0.22222221968253966, 0.22222221968253966]","[0.2857142920300753, 0.285714277293233, 0.28571426992481175, 0.14285714601503766, 0.14285714601503766]",13,"[0.22222221968253966, 0.11111112126984135, 0.14285713995464858, 0.11111111365079367, 0.1428571450340136]","[0.28571427482993217, 0.1428571450340136, 0.14285713995464858, 0.14285713741496608, 0.1428571450340136]","[0.2222222122222229, 0.11111112111111039, 0.2222222122222229, 0.11111111111111112, 0.2222222122222229]","[0.22222221968253966, 0.11111112126984135, 0.22222221968253966, 0.11111111365079367, 0.22222221968253966]","[0.28571426992481175, 0.14285714601503766, 0.1428571386466165, 0.14285713496240587, 0.14285714601503766]"
"[0.23076924174063157, 0.23076919419789485, 0.23076924174063157, 0.23076919419789485, 0.23076924174063157]","[0.23684208526315673, 0.22222221936507935, 0.2368420852631573, 0.22222221936507935, 0.23684208526315734]","[0.22222221905270673, 0.22222224757834644, 0.22222221905270675, 0.22222221905270673, 0.22222221905270673]","[0.22222221936507935, 0.11842104263157836, 0.1052631912280714, 0.07894736175438577, 0.21052638245614377]","[0.23684208526315673, 0.21052638245614286, 0.2368420852631573, 0.2105263824561437, 0.23684208526315734]","[0.23076924174063157, 0.23076919419789485, 0.23076924174063157, 0.23076919419789485, 0.23076924174063157]","[0.22222221936507935, 0.22222221936507935, 0.22222221936507935, 0.22222221936507935, 0.2222222322222222]",14,"[0.22222221905270675, 0.11538462087031578, 0.11111112378917322, 0.07692308058021052, 0.22222221905270673]","[0.22222221905270673, 0.22222221905270673, 0.11111112378917322, 0.11111110952635338, 0.22222221905270673]","[0.23684208526315673, 0.11842104263157836, 0.10526319122807143, 0.07894736175438577, 0.21052638245614363]","[0.23076924174063157, 0.11538462087031578, 0.11538459709894743, 0.07692308058021052, 0.23076919419789485]","[0.22222221936507935, 0.22222221936507935, 0.11111110968253968, 0.11111110968253968, 0.22222221936507935]"
"[0.3333333125000027, 0.16666671874999334, 0.16666671874999334, 0.16666671874999334, 0.3333333125000027]","[0.2727272393939389, 0.26666654666666756, 0.22222219722222245, 0.22222219722222245, 0.27272723939393895]","[0.22222231336804485, 0.26666654166668174, 0.22222219618055858, 0.22222219618055858, 0.22222231336804485]","[0.22222219722222245, 0.13636361969696945, 0.06666663666666689, 0.09090910424242446, 0.18181820848484892]","[0.2727272393939389, 0.18181820848484892, 0.18181820848484892, 0.18181820848484892, 0.2727272393939389]","[0.3333333125000027, 0.26666654166668174, 0.22222219618055858, 0.22222219618055858, 0.3333333125000027]","[0.22222230972222154, 0.26666654666666756, 0.22222219722222245, 0.22222219722222245, 0.22222230972222154]",15,"[0.22222219618055858, 0.16666665625000135, 0.06666663541667044, 0.08333335937499667, 0.16666671874999334]","[0.22222219618055858, 0.22222231336804485, 0.06666663541667044, 0.11111109809027929, 0.22222219618055858]","[0.2727272393939389, 0.13636361969696945, 0.09090910424242446, 0.09090910424242446, 0.18181820848484892]","[0.3333333125000027, 0.16666665625000135, 0.08333335937499667, 0.08333335937499667, 0.16666671874999334]","[0.22222219722222245, 0.22222230972222154, 0.06666663666666689, 0.11111109861111122, 0.22222219722222245]"
"[0.26666665633333353, 0.20000001549999946, 0.2, 0.2, 0.2]","[0.2666666566666663, 0.31999998999999946, 0.20000000000000004, 0.20000000000000004, 0.19999999999999996]","[0.2, 0.34285714285714286, 0.2, 0.2, 0.2]","[0.20000000000000004, 0.20000000000000004, 0.15999999499999973, 0.07999999749999986, 0.19999999999999996]","[0.2666666566666663, 0.2000000150000005, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004]","[0.26666665633333353, 0.34285714285714286, 0.2, 0.2, 0.2]","[0.20000001250000077, 0.31999998999999946, 0.20000000000000004, 0.19999999999999996, 0.19999999999999996]",16,"[0.2, 0.2, 0.17142857142857143, 0.08571428571428572, 0.2]","[0.2, 0.1999999999999999, 0.17142857142857143, 0.08571428571428572, 0.2]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004, 0.13333332833333314, 0.20000000000000004]","[0.2, 0.2, 0.2, 0.13333332816666676, 0.2]","[0.20000000000000004, 0.20000000000000004, 0.15999999499999973, 0.07999999749999986, 0.19999999999999996]"
"[0.23076923901098878, 0.23076923901098878, 0.23076920329670417, 0.23076920329670417, 0.23076923901098878]","[0.2307692532692296, 0.23076922076923126, 0.2307692207692314, 0.2222221888888894, 0.23076922076923126]","[0.23076923901098878, 0.23076923901098878, 0.23076920329670417, 0.21153846909340626, 0.23076923901098878]","[0.2222221888888894, 0.22222224888888847, 0.11111112444444424, 0.07692308442307653, 0.11111112444444424]","[0.22222224888888847, 0.22222224888888847, 0.22222218888888937, 0.2222221888888894, 0.22222224888888847]","[0.23076923901098878, 0.23076923901098878, 0.23076920329670417, 0.23076920329670417, 0.23076923901098878]","[0.2307692532692296, 0.23076922076923126, 0.2307692207692314, 0.19230769480769233, 0.23076922076923126]",17,"[0.23076920329670417, 0.23076923901098878, 0.11538461950549439, 0.0769230796703296, 0.11538461950549439]","[0.23076920329670417, 0.23076923901098878, 0.11538461950549439, 0.0769230796703296, 0.21153846909340626]","[0.2222221888888894, 0.22222224888888847, 0.11111112444444424, 0.11111109444444472, 0.11111112444444424]","[0.23076920329670417, 0.23076923901098878, 0.11538461950549439, 0.11538459704670338, 0.11538461950549439]","[0.2307692207692314, 0.23076922076923126, 0.11538461038461563, 0.07692308442307653, 0.19230769480769233]"
"[0.22222224233333407, 0.22222221216666624, 0.22222221216666624, 0.22222221216666624, 0.22222221216666624]","[0.22222224222221748, 0.26666664666666656, 0.22222222222222227, 0.2222222122222246, 0.22222221222222457]","[0.2000000201111109, 0.2999999798888891, 0.2000000201111109, 0.2000000201111109, 0.2000000201111109]","[0.20000001000000006, 0.20000001000000006, 0.11111112111110874, 0.11111111111111113, 0.20000001000000006]","[0.22222224222221748, 0.22222221222222463, 0.22222222222222227, 0.2222222122222246, 0.22222221222222457]","[0.22222224233333407, 0.2999999798888891, 0.22222221216666624, 0.22222221216666624, 0.22222221216666624]","[0.20000001000000006, 0.26666664666666656, 0.20000001000000006, 0.20000001000000006, 0.20000001000000006]",18,"[0.2000000201111109, 0.2000000201111109, 0.11111112116666703, 0.11111110608333312, 0.2000000201111109]","[0.2000000201111109, 0.2000000201111109, 0.14999998994444455, 0.14999998994444455, 0.2000000201111109]","[0.22222221222222457, 0.2222222122222246, 0.11111112111110874, 0.11111111111111113, 0.22222221222222457]","[0.22222221216666624, 0.22222221216666624, 0.11111112116666703, 0.11111110608333312, 0.22222221216666624]","[0.20000001000000006, 0.20000001000000006, 0.13333332333333328, 0.13333332333333328, 0.20000001000000006]"
"[0.2352940446895397, 0.2352940446895397, 0.2352942927451047, 0.17647063687364017, 0.2352940446895397]","[0.23529404264705348, 0.2352940426470533, 0.23529429764707194, 0.185185182108262, 0.23529404264705348]","[0.22222222752822351, 0.22222222752822351, 0.22222222752822351, 0.185185181647851, 0.22222222752822351]","[0.18518518210826196, 0.1764706382352977, 0.2222222268376071, 0.058823574411767984, 0.1764706382352977]","[0.23529404264705348, 0.2352940426470533, 0.23529429764707194, 0.1764706382352977, 0.23529404264705348]","[0.2352940446895397, 0.2352940446895397, 0.2352942927451047, 0.185185181647851, 0.2352940446895397]","[0.2222222268376071, 0.22222222683760678, 0.22222222683760712, 0.18518518210826196, 0.2222222268376071]",19,"[0.185185181647851, 0.17647063687364017, 0.22222222752822351, 0.05882357318627617, 0.17647063687364017]","[0.185185181647851, 0.22222222752822351, 0.22222222752822351, 0.11111111376411176, 0.185185181647851]","[0.23529404264705348, 0.1764706382352977, 0.23529404264705348, 0.058823574411767984, 0.1764706382352977]","[0.2352940446895397, 0.17647063687364017, 0.2352940446895397, 0.05882357318627617, 0.17647063687364017]","[0.18518518210826196, 0.22222222683760678, 0.2222222268376071, 0.11111111341880339, 0.18518518210826193]"
"[0.27777760111115063, 0.27777760111115063, 0.1481482659258996, 0.1481482659258996, 0.27777760111115063]","[0.24999998999999967, 0.2499999899999997, 0.2222222222222222, 0.18518517518518443, 0.24999998999999967]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518519009259152, 0.2222222222222222]","[0.2222222222222222, 0.18518517518518443, 0.0833333299999999, 0.08333335000000064, 0.16666670000000114]","[0.24999998999999967, 0.2499999899999997, 0.16666670000000128, 0.1666667000000011, 0.24999998999999967]","[0.27777760111115063, 0.27777760111115063, 0.2222222222222222, 0.18518519009259152, 0.27777760111115063]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518517518518443, 0.2222222222222222]",20,"[0.2222222222222222, 0.18518519009259152, 0.09259253370371688, 0.0740741329629498, 0.1481482659258996]","[0.2222222222222222, 0.18518519009259152, 0.2222222222222222, 0.1111111111111111, 0.1851851753703725]","[0.24999998999999967, 0.24999998999999967, 0.0833333299999999, 0.08333335000000064, 0.1666667000000011]","[0.27777760111115063, 0.27777760111115063, 0.09259253370371688, 0.0740741329629498, 0.1481482659258996]","[0.2222222222222222, 0.18518517518518443, 0.2222222222222222, 0.1111111111111111, 0.18518517518518443]"
"[0.22222221709064358, 0.22222224018274742, 0.22222221709064358, 0.22222220554459166, 0.22222221709064358]","[0.22222221422222124, 0.2999999639999982, 0.22222221422222127, 0.22222219622221914, 0.22222221422222124]","[0.21052633158933404, 0.31578934728532776, 0.21052633158933404, 0.21052633158933404, 0.21052633158933404]","[0.2000000160000008, 0.20000001600000078, 0.11111112511111282, 0.09999998799999939, 0.2000000160000009]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221914, 0.22222221422222124]","[0.22222221709064358, 0.31578934728532776, 0.22222221709064358, 0.22222220554459166, 0.22222221709064358]","[0.20000001600000078, 0.2999999639999982, 0.2000000160000008, 0.2000000160000009, 0.2000000160000008]",21,"[0.21052633158933404, 0.21052633158933404, 0.11111112009137371, 0.10526311576177591, 0.21052633158933404]","[0.21052633158933404, 0.21052633158933404, 0.15789467364266388, 0.10526311576177591, 0.21052633158933404]","[0.22222221422222127, 0.22222221422222124, 0.11111112511111282, 0.11111110711111064, 0.22222219622221914]","[0.22222221709064358, 0.22222221709064358, 0.11111112009137371, 0.11111110854532179, 0.22222220554459166]","[0.20000001600000078, 0.20000001600000078, 0.1499999819999991, 0.09999998799999939, 0.2000000160000008]"
"[0.240000015478259, 0.23999999398067706, 0.23999999398067706, 0.20000000752415367, 0.23999999398067706]","[0.24000001565217444, 0.23999999391304325, 0.23999999391304327, 0.22222221936507933, 0.23999999391304327]","[0.2222222189259259, 0.22222224859259299, 0.2222222189259259, 0.2222222189259259, 0.2222222189259259]","[0.22222221936507935, 0.22222221936507933, 0.1111111225396827, 0.04000000260869574, 0.2000000076086959]","[0.24000001565217444, 0.23999999391304325, 0.23999999391304325, 0.2000000076086959, 0.23999999391304327]","[0.240000015478259, 0.23999999398067706, 0.23999999398067706, 0.2222222189259259, 0.23999999398067706]","[0.22222221936507933, 0.2222222450793654, 0.22222221936507935, 0.22222221936507933, 0.22222221936507935]",22,"[0.2222222189259259, 0.2222222189259259, 0.11111112429629649, 0.040000002579709835, 0.20000000752415367]","[0.2222222189259259, 0.2222222189259259, 0.11111112429629649, 0.11111110946296295, 0.2222222189259259]","[0.23999999391304327, 0.23999999391304325, 0.11999999695652162, 0.04000000260869574, 0.2000000076086959]","[0.23999999398067706, 0.23999999398067706, 0.11999999699033853, 0.040000002579709835, 0.20000000752415367]","[0.22222221936507933, 0.22222221936507933, 0.1111111225396827, 0.11111110968253966, 0.22222221936507933]"
