entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_2,Trial,解の非唯一性考慮のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ_2
"[0.22222221422222216, 0.22222221422222216, 0.22222221422222216, 0.11111110711111108, 0.22222221422222216]","[0.22222221888888874, 0.22222224888888922, 0.222222218888889, 0.222222218888889, 0.222222218888889]","[0.22222219622222208, 0.22222221422222216, 0.22222221422222216, 0.11111110711111108, 0.11111112511111124]",24,"[0.22222221888888874, 0.22222224888888922, 0.222222218888889, 0.222222218888889, 0.222222218888889]","[0.22222221888888874, 0.22222221888888874, 0.22222221888888874, 0.1111111094444445, 0.11111112444444461]","[0.22222221888888874, 0.222222218888889, 0.11111112444444461, 0.11111110944444437, 0.222222218888889]","[0.22222221422222216, 0.22222225022222247, 0.22222221422222216, 0.11111114311111081, 0.22222221422222221]","[0.22222221422222216, 0.22222221422222216, 0.11111112511111124, 0.11111110711111108, 0.22222221422222216]","[0.22222221422222216, 0.22222225022222247, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.22222221888888874, 0.22222224888888922, 0.222222218888889, 0.222222218888889, 0.222222218888889]","[0.22222221888888874, 0.22222221888888874, 0.22222221888888874, 0.22222218888888842, 0.222222218888889]","[0.22222221422222216, 0.22222225022222247, 0.22222221422222216, 0.22222219622222208, 0.22222221422222221]"
E,r,E,25,r,E,E,r,E,r,r,E,r
E,r,E,26,r,E,E,r,E,r,r,E,r
E,r,E,27,r,E,E,r,E,r,r,E,r
E,r,E,28,r,E,E,r,E,r,r,E,r
E,"[0.23076923076923078, 0.3461538461538462, 0.23076923076923078, 0.11538461538461539, 0.230769195432694]",E,29,"[0.23076923076923078, 0.23076925243589855, 0.17307698008012742, 0.11538461538461539, 0.23076923076923078]","[0.23076923076923078, 0.230769195432694, 0.1730769230769231, 0.11538461538461539, 0.11538461538461539]","[0.23076923076923078, 0.23076923076923078, 0.07692308414529951, 0.07692307692307693, 0.23076923076923078]",r,E,r,"[0.23076923076923078, 0.23076925243589855, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078]","[0.23076923076923078, 0.230769195432694, 0.1730769230769231, 0.11538461538461539, 0.23076923076923078]",r
E,r,E,30,r,E,E,r,E,r,r,E,r
E,r,E,31,r,E,E,r,E,r,r,E,r
"[0.2307692382692311, 0.2307692382692311, 0.07692307942307704, 0.08205126605128243, 0.23076920576922957]","[0.23076923826923093, 0.23076923826923093, 0.23076923826923093, 0.23076920576923035, 0.23076923826923093]","[0.2307692382692311, 0.2307692382692311, 0.07692307942307704, 0.07692307942307704, 0.23076920576922957]",32,"[0.23076923826923093, 0.23076923826923093, 0.2256410516410259, 0.23076920576923035, 0.23076923826923093]","[0.23076923826923093, 0.23076923826923093, 0.07692307942307698, 0.07692307942307698, 0.23076920576923035]","[0.23076923826923093, 0.23076923826923093, 0.06153845703846144, 0.08205126605128178, 0.22820512870512819]","[0.2307692382692311, 0.2307692382692311, 0.22564105164102574, 0.23076920576922957, 0.2307692382692311]","[0.2307692382692311, 0.2307692382692311, 0.06153845703846132, 0.08205126605128243, 0.22564105164102574]","[0.2307692382692311, 0.2461538281538453, 0.22564105164102574, 0.2307692382692311, 0.2307692382692311]","[0.23076923826923093, 0.24615382815384576, 0.22820512870512819, 0.23076923826923093, 0.23076923826923093]","[0.23076923826923093, 0.23076923826923093, 0.07692307942307698, 0.08205126605128178, 0.23076920576923035]","[0.2307692382692311, 0.2307692382692311, 0.2307692382692311, 0.23076920576922957, 0.2307692382692311]"
"[0.22222221422222277, 0.22222221222222457, 0.22222221422222277, 0.11111110711111138, 0.22222221422222277]","[0.2222222488888896, 0.2222222188888888, 0.22222221888888913, 0.2222222188888888, 0.2222222188888888]","[0.22222221422222277, 0.22222221222222457, 0.11111111911111056, 0.11111111111111112, 0.22222221422222277]",33,"[0.2222222488888896, 0.2222222188888888, 0.22222221888888913, 0.22222221888888913, 0.2222222188888888]","[0.2222222188888888, 0.2222222188888888, 0.1111111244444448, 0.11111110944444456, 0.2222222188888888]","[0.2222222188888888, 0.1111111244444448, 0.22222221888888913, 0.1111111094444444, 0.2222222188888888]","[0.2222222502222203, 0.22222221422222277, 0.22222221422222277, 0.11111114511110712, 0.22222221422222277]","[0.22222221422222277, 0.11111112511111015, 0.22222221422222277, 0.11111110711111138, 0.22222221422222277]","[0.2222222502222203, 0.22222221422222277, 0.22222221422222277, 0.22222221422222277, 0.22222221422222277]","[0.2222222488888896, 0.2222222188888888, 0.22222221888888913, 0.22222221888888913, 0.2222222188888888]","[0.2222222188888888, 0.2222222188888888, 0.22222221888888913, 0.2222221888888884, 0.2222222188888888]","[0.22222223822222112, 0.22222221422222277, 0.22222222222222224, 0.22222221422222277, 0.22222221422222277]"
E,r,E,34,r,E,E,r,E,r,r,E,r
"[0.2222222097222221, 0.22222223222222232, 0.11111111611111116, 0.11111104861110924, 0.2222222097222221]","[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.11111111611111116, 0.11111104861110924, 0.2222222097222221]",35,"[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.22222222522222232, 0.2222222207222222, 0.11111110811111098, 0.11111111261111116, 0.2222222207222222]","[0.2222222207222222, 0.2222222207222222, 0.11111111711111123, 0.11111111261111116, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]","[0.2222222097222221, 0.2222222097222221, 0.11111111611111116, 0.11111111611111116, 0.2222222097222221]","[0.22222223222222232, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]","[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.22222222522222232, 0.2222222207222222, 0.11111110811111098, 0.11111111261111116, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]"
E,r,E,36,r,E,E,r,E,r,r,E,r
E,r,E,37,r,E,E,r,E,r,r,E,r
"[0.2222222167676769, 0.2222222167676769, 0.11111111747474592, 0.11111110838383845, 0.22222220767676942]","[0.22222222743348985, 0.22222224644757488, 0.22222222743348985, 0.22222221095461644, 0.22222222743348985]","[0.2222222167676769, 0.2222222167676769, 0.11111111747474592, 0.11111110838383845, 0.22222220767676942]",38,"[0.22222222743348985, 0.22222224644757488, 0.22222222743348985, 0.22222221095461644, 0.22222222743348985]","[0.22222222743348985, 0.22222222743348985, 0.11111112322378744, 0.11111111371674492, 0.22222221095461644]","[0.22222222743348985, 0.22222222046165893, 0.08333333354460096, 0.11111111371674492, 0.22222221095461644]","[0.2222222167676769, 0.2222222413131309, 0.2222222167676769, 0.22222220767676942, 0.2222222167676769]","[0.2222222167676769, 0.2222222167676769, 0.08333333969696922, 0.11111110838383845, 0.22222220767676942]","[0.2222222167676769, 0.2500000190909077, 0.2222222167676769, 0.22222220767676942, 0.2222222167676769]","[0.22222222743348985, 0.25000000063380284, 0.22222222743348985, 0.22222221095461644, 0.22222222743348985]","[0.22222222743348985, 0.22222222743348985, 0.11111112322378744, 0.11111111371674492, 0.22222221095461644]","[0.2222222167676769, 0.2222222413131309, 0.2222222167676769, 0.22222220767676942, 0.2222222167676769]"
E,r,E,39,r,E,E,r,E,r,r,E,r
E,r,E,40,r,E,E,r,E,r,r,E,r
E,r,E,41,r,E,E,r,E,r,r,E,r
E,r,E,42,r,E,E,r,E,r,r,E,r
"[0.23076923934065952, 0.11538461967032976, 0.23076920219780156, 0.11538461967032979, 0.23076921076923057]","[0.23076923934065935, 0.23076920219780225, 0.23076923934065935, 0.2115384693956044, 0.23076923934065935]","[0.23076923934065952, 0.11538461967032976, 0.23076920219780156, 0.07692307978021985, 0.1923077280219786]",43,"[0.23076923934065935, 0.21153853057692248, 0.23076923934065935, 0.2115384693956044, 0.23076923934065935]","[0.23076923934065935, 0.11538461967032967, 0.23076920219780225, 0.07692307978021978, 0.2115384693956044]","[0.23076923934065935, 0.11538461967032967, 0.07692307443833958, 0.11538461165750938, 0.23076922331501876]","[0.23076923934065952, 0.1923077280219785, 0.23076923934065957, 0.1923077280219786, 0.23076923934065957]","[0.23076923934065952, 0.11538461967032976, 0.07692307763736257, 0.11538461967032979, 0.23076921076923057]","[0.23076923934065952, 0.23076923291208773, 0.23076923934065957, 0.23076921076923057, 0.23076923934065957]","[0.23076923934065935, 0.23076922331501876, 0.23076923934065935, 0.23076922331501876, 0.23076923934065935]","[0.23076923934065935, 0.11538461967032967, 0.23076920219780225, 0.11538461165750938, 0.23076922331501876]","[0.23076923934065952, 0.23076920219780156, 0.23076923934065957, 0.1923077280219786, 0.23076923934065957]"
E,r,E,44,r,E,E,r,E,r,r,E,r
"[0.22222221676767673, 0.22222221676767673, 0.11111111747474756, 0.11111110838383836, 0.2222222076767676]","[0.2222222222222222, 0.22222223347222278, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222221676767673, 0.22222221676767673, 0.11111111747474756, 0.11111110838383836, 0.2222222076767676]",45,"[0.2222222222222222, 0.22222223347222278, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.11111111111111119, 0.1111111111111111, 0.2222222222222222]","[0.2222222134417347, 0.2222222222222222, 0.08333333333333333, 0.1111111111111111, 0.2222222222222222]","[0.22222221676767673, 0.2222222413131314, 0.22222221676767673, 0.2222222076767676, 0.22222221676767673]","[0.22222221676767673, 0.22222221676767673, 0.08333333969696975, 0.11111110838383836, 0.2222222076767676]","[0.22222221676767673, 0.25000001909090924, 0.22222221676767673, 0.2222222076767676, 0.22222221676767673]","[0.2222222222222222, 0.25, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.2222222134417347, 0.2222222222222222, 0.11111111111111119, 0.1111111111111111, 0.2222222222222222]","[0.22222221676767673, 0.2222222413131314, 0.22222221676767673, 0.2222222076767676, 0.22222221676767673]"
E,r,E,46,r,E,E,r,E,r,r,E,r
E,r,E,47,r,E,E,r,E,r,r,E,r
E,r,E,48,r,E,E,r,E,r,r,E,r
E,r,E,49,r,E,E,r,E,r,r,E,r
E,r,E,50,r,E,E,r,E,r,r,E,r
E,r,E,51,r,E,E,r,E,r,r,E,r
E,r,E,52,r,E,E,r,E,r,r,E,r
"[0.22222221793650754, 0.22222221793650754, 0.1111111139682539, 0.11111110896825377, 0.22222221293650746]","[0.22222220222222208, 0.27777773777777665, 0.2222222322222223, 0.2222222322222223, 0.2222222322222223]","[0.22222221793650754, 0.11111111539682579, 0.1111111139682539, 0.11111110896825377, 0.22222221293650746]",53,"[0.2222222322222223, 0.22222223222222234, 0.2222222322222223, 0.2222222322222223, 0.2222222322222223]","[0.22222220222222208, 0.11111110111111104, 0.13888886888888832, 0.13888886888888832, 0.2222222322222223]","[0.22222218722222223, 0.2222222322222223, 0.11111111611111117, 0.11111111611111114, 0.22222218722222223]","[0.2222222272222233, 0.2222222279365078, 0.22222221793650754, 0.22222221293650746, 0.22222221793650754]","[0.22222221793650754, 0.22222221793650754, 0.1111111139682539, 0.11111110896825377, 0.22222221293650746]","[0.2222222272222233, 0.2222222279365078, 0.22222221793650754, 0.22222221293650746, 0.22222221793650754]","[0.2222222322222223, 0.22222223222222234, 0.2222222322222223, 0.2222222322222223, 0.22222218722222223]","[0.2222222322222223, 0.2222222322222223, 0.13888886888888832, 0.13888886888888832, 0.2222222322222223]","[0.22222223079365158, 0.2222222279365078, 0.22222221793650754, 0.22222221793650754, 0.22222221793650754]"
E,r,E,54,r,E,E,r,E,r,r,E,r
E,r,E,55,r,E,E,r,E,r,r,E,r
E,r,E,56,r,E,E,r,E,r,r,E,r
"[0.22222221222222255, 0.22222221222222255, 0.11111112111111077, 0.1111111111111111, 0.22222221222222255]","[0.22222226844444617, 0.22222220762499945, 0.2222222222222222, 0.22222223073611141, 0.2222222222222222]","[0.22222221222222255, 0.22222221222222255, 0.11111112111111077, 0.1111111111111111, 0.22222221222222255]",57,"[0.22222226844444617, 0.22222220762499945, 0.2222222222222222, 0.22222223073611141, 0.2222222222222222]","[0.2222222222222222, 0.22222220762499945, 0.11111113422222309, 0.1111111111111111, 0.2222222222222222]","[0.2222222222222222, 0.22222220762499945, 0.11111110381249972, 0.11111113422222309, 0.11111111536805571]","[0.22222224222222153, 0.22222221222222255, 0.2222222222222222, 0.22222221222222255, 0.22222221222222255]","[0.22222221277777815, 0.22222221222222255, 0.11111110611111127, 0.11111111777777753, 0.11111111000000005]","[0.22222223555555506, 0.22222221222222255, 0.2222222222222222, 0.2222222200000001, 0.22222221222222255]","[0.22222226844444617, 0.22222220762499945, 0.2222222222222222, 0.22222223073611141, 0.2222222222222222]","[0.2222222222222222, 0.22222220762499945, 0.11111113422222309, 0.1111111111111111, 0.2222222222222222]","[0.22222224222222153, 0.22222221222222255, 0.2222222222222222, 0.22222221222222255, 0.22222221222222255]"
"[0.22222221422222216, 0.22222221422222216, 0.1666666586666663, 0.1666666586666663, 0.22222221422222216]","[0.22222221888888882, 0.35555554914444426, 0.17777779226666718, 0.17777779226666718, 0.22222221888888882]","[0.16666668066666715, 0.22222221422222216, 0.1666666586666663, 0.1666666586666663, 0.11111110711111108]",58,"[0.22222221888888882, 0.22222224888889014, 0.17777779226666718, 0.17777779226666718, 0.22222221888888882]","[0.17777779226666718, 0.22222221888888882, 0.17777777457222213, 0.17777777457222213, 0.11111110944444441]","[0.22222221888888882, 0.22222221888888882, 0.11111112444444507, 0.11111110944444441, 0.22222221888888882]","[0.22222221422222216, 0.22222225022222242, 0.16666668066666715, 0.16666668066666715, 0.22222221422222216]","[0.22222221422222216, 0.22222221422222216, 0.11111112511111121, 0.11111110711111108, 0.22222221422222216]","[0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.22222221888888882, 0.22222224888889014, 0.22222221888888882, 0.22222221888888882, 0.22222221888888882]","[0.22222221888888882, 0.22222221888888882, 0.17777777457222213, 0.17777777457222213, 0.22222221888888882]","[0.22222221422222216, 0.3333333173333326, 0.16666668066666715, 0.16666668066666715, 0.22222221422222216]"
"[0.2222222355555569, 0.2222221755555508, 0.22222217555555088, 0.11111111777777845, 0.22222218555555134]","[0.2222222322222222, 0.2222222322222222, 0.2222222322222222, 0.2222221872222222, 0.2222222322222222]","[0.2222222355555569, 0.2222222288888899, 0.11111111444444495, 0.11111111777777845, 0.22222218555555134]",59,"[0.2222222322222222, 0.2222222322222222, 0.2222222322222222, 0.1388888838888889, 0.22222222222222204]","[0.2222222322222222, 0.2222222322222222, 0.1111111161111111, 0.1111111161111111, 0.2222221872222222]","[0.22222222222222204, 0.22222222222222204, 0.22222221722222277, 0.1111111161111111, 0.1388888838888889]","[0.2222222355555569, 0.2222221755555508, 0.2222222355555569, 0.11111116777778413, 0.2222222355555569]","[0.22222223555555687, 0.2222221755555508, 0.22222217555555088, 0.11111111777777845, 0.13888889722222308]","[0.2222222355555569, 0.2222221755555508, 0.27777779444444617, 0.13888889722222308, 0.22222223555555687]","[0.2222222322222222, 0.2222222322222222, 0.2777777677777778, 0.1388888838888889, 0.22222222222222204]","[0.2222222322222222, 0.2222222322222222, 0.22222221722222277, 0.1388888338888896, 0.2222221872222222]","[0.2222222355555569, 0.2222222288888899, 0.2222222355555569, 0.22222218555555134, 0.2222222355555569]"
E,r,E,60,r,E,E,r,E,r,r,E,r
E,r,E,61,r,E,E,r,E,r,r,E,r
E,r,E,62,r,E,E,r,E,r,r,E,r
E,r,E,63,r,E,E,r,E,r,r,E,r
E,r,E,64,r,E,E,r,E,r,r,E,r
E,r,E,65,r,E,E,r,E,r,r,E,r
E,r,E,66,r,E,E,r,E,r,r,E,r
"[0.22222221722222216, 0.22222221722222216, 0.2222222143650803, 0.11111111182539689, 0.22222221722222216]","[0.22222222101010097, 0.22222222101010097, 0.22222222646464654, 0.22222222101010097, 0.22222222646464654]","[0.22222221722222216, 0.22222221722222216, 0.11111111396825409, 0.11111111182539689, 0.22222221722222216]",67,"[0.22222222101010097, 0.22222222101010097, 0.22222222646464654, 0.1666666684848485, 0.22222222646464654]","[0.22222222101010097, 0.22222221801010056, 0.11111111050505049, 0.11111111323232327, 0.22222222101010097]","[0.22222222101010097, 0.22222222101010097, 0.22222221555555544, 0.11111111050505049, 0.1666666684848485]","[0.22222222365079344, 0.22222222365079367, 0.22222222365079378, 0.11111113396825331, 0.22222221722222216]","[0.22222221722222216, 0.22222222365079367, 0.2222222143650803, 0.11111111182539683, 0.16666666452380946]","[0.22222222365079367, 0.22222222365079367, 0.22222222365079367, 0.16666666452380946, 0.22222221722222216]","[0.22222222101010097, 0.22222222101010097, 0.22222222646464654, 0.1666666684848485, 0.22222222646464654]","[0.22222222101010097, 0.22222221801010056, 0.22222221555555544, 0.1666666491212115, 0.22222222101010097]","[0.22222222365079344, 0.22222222793650817, 0.22222222365079378, 0.22222221722222216, 0.22222221722222216]"
E,r,E,68,r,E,E,r,E,r,r,E,r
E,r,E,69,r,E,E,r,E,r,r,E,r
E,r,E,70,r,E,E,r,E,r,r,E,r
E,r,E,71,r,E,E,r,E,r,r,E,r
E,r,E,72,r,E,E,r,E,r,r,E,r
"[0.22222221422222133, 0.22222221422222138, 0.11111112511111265, 0.11111110711111066, 0.22222219622221917]","[0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.22222221805555553]","[0.22222221422222133, 0.22222221422222138, 0.11111112511111265, 0.11111110711111066, 0.22222219622221917]",73,"[0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.22222221805555553]","[0.22222221805555553, 0.22222221805555553, 0.1111111127777778, 0.1111111127777778, 0.22222221805555553]","[0.22222221805555553, 0.22222221805555553, 0.1111111127777778, 0.1111111127777778, 0.22222221805555553]","[0.22222221422222133, 0.2222222502222253, 0.22222221422222133, 0.22222219622221917, 0.22222221422222138]","[0.22222221422222133, 0.22222221422222138, 0.11111112511111265, 0.11111110711111066, 0.22222219622221917]","[0.22222221422222138, 0.2222222502222253, 0.22222221422222133, 0.22222219622221917, 0.22222221422222138]","[0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.22222221805555553]","[0.22222221805555553, 0.22222221805555553, 0.1111111127777778, 0.1111111127777778, 0.22222221805555553]","[0.22222221422222133, 0.2222222502222253, 0.22222221422222133, 0.22222219622221917, 0.22222221422222138]"
E,r,E,74,r,E,E,r,E,r,r,E,r
E,r,E,75,r,E,E,r,E,r,r,E,r
"[0.22222221293650785, 0.22222221936507935, 0.11111111611111113, 0.11111110968253968, 0.22222221293650785]","[0.2222222215079365, 0.2222222279365079, 0.22222222365079386, 0.2222222215079365, 0.2222222215079365]","[0.22222221293650785, 0.22222221936507935, 0.11111111611111113, 0.11111110968253968, 0.22222221293650785]",76,"[0.2222222215079365, 0.2222222279365079, 0.22222222365079386, 0.2222222215079365, 0.2222222215079365]","[0.2222222215079365, 0.2222222215079365, 0.11111110753968255, 0.11111111182539693, 0.2222222215079365]","[0.2222222215079365, 0.2222222215079365, 0.11111111396825395, 0.1111111053968252, 0.2222222215079365]","[0.22222221936507935, 0.22222223222222226, 0.22222221936508046, 0.22222221293650785, 0.22222221936507935]","[0.22222221293650785, 0.22222221936507935, 0.11111111611111113, 0.11111110968253968, 0.22222221293650785]","[0.22222221936507935, 0.22222223222222226, 0.22222221936507935, 0.22222221293650785, 0.22222221936507935]","[0.2222222215079365, 0.2222222279365079, 0.22222222365079386, 0.2222222215079365, 0.2222222215079365]","[0.2222222215079365, 0.2222222215079365, 0.11111110753968255, 0.1111111053968252, 0.2222222215079365]","[0.22222221936507935, 0.22222223222222226, 0.22222221936508046, 0.22222221293650785, 0.22222221936507935]"
"[0.22222220888888944, 0.22222220888888944, 0.11111113444444348, 0.11111110444444472, 0.22222220888888944]","[0.222222224040404, 0.22222226417929444, 0.2222222240404039, 0.222222224040404, 0.222222224040404]","[0.22222220888888944, 0.22222220888888944, 0.11111113444444348, 0.11111110444444472, 0.11111110444444472]",77,"[0.222222224040404, 0.22222226417929444, 0.2222222240404039, 0.222222224040404, 0.222222224040404]","[0.2222222240404039, 0.222222224040404, 0.11111113208964722, 0.111111112020202, 0.111111112020202]","[0.222222224040404, 0.111111112020202, 0.111111112020202, 0.111111112020202, 0.22222221585858598]","[0.22222220888888944, 0.22222226888888696, 0.22222220888888944, 0.22222222088888932, 0.22222220888888944]","[0.22222220888888944, 0.11111112044444393, 0.0833333353333333, 0.0833333353333333, 0.22222220888888944]","[0.22222224088888787, 0.2500000059999999, 0.22222220888888944, 0.22222222088888932, 0.22222220888888944]","[0.222222224040404, 0.333333336060606, 0.2222222240404039, 0.222222224040404, 0.222222224040404]","[0.2222222240404039, 0.222222224040404, 0.11111113208964722, 0.111111112020202, 0.22222221585858598]","[0.22222220888888944, 0.22222226888888696, 0.22222220888888944, 0.22222220888888944, 0.22222220888888944]"
