Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ
129,"[0.17117123117116775, 0.2666667066666694, 0.10810806810811027, 0.1000000050000001, 0.08108105108108289]","[0.324324204324331, 0.3243242043243316, 0.19999997999999866, 0.19999999333333338, 0.17117123117116773]","[0.19999997999999866, 0.2666667066666694, 0.1333333533333347, 0.13333335333333485, 0.09999998999999933]","[0.2666667066666694, 0.2666667066666694, 0.19999997999999866, 0.19999997999999833, 0.13333335333333485]","[0.17117123117116775, 0.3243242043243315, 0.10810806810811027, 0.16216210216216576, 0.08108105108108289]","[0.3243242043243311, 0.3243242043243315, 0.16216210216216642, 0.17117123117116717, 0.17117123117116775]","[0.19999999333333404, 0.29999999833333335, 0.14999999916666612, 0.10000000499999989, 0.14999999916666668]","[0.29999999833333335, 0.3000000149999997, 0.14999999916666612, 0.19999999333333338, 0.14999999916666687]",E,r,E,r,E,r,E,r,"[0.2288287721621664, 0.26666670666666914, 0.15000000333333322, 0.17117123117116692, 0.12567578900900062]","[0.266666606666663, 0.3243242043243328, 0.1621621021621664, 0.17117123117116692, 0.14999998666666703]","[0.19999997999999874, 0.266666606666663, 0.13333335333333457, 0.13333335333333457, 0.09999998999999937]","[0.266666606666663, 0.26666670666666914, 0.19999997999999874, 0.19999997999999874, 0.13333335333333457]","[0.17117123117116692, 0.3243242043243328, 0.10810806810811092, 0.1621621021621664, 0.0810810510810832]","[0.3243242043243328, 0.3243242043243328, 0.1621621021621664, 0.17117123117116692, 0.17117123117116692]","[0.20000000166666665, 0.2999999900000003, 0.15000000333333322, 0.09999999666666678, 0.14999998666666703]","[0.30000000666666643, 0.2999999900000003, 0.15000000333333322, 0.20000000166666665, 0.15000000333333322]","[[0.266666606666663, 0.26666670666666914, 0.1621621021621664, 0.17117123117116692, 0.13333335333333457], [0.2288287721621664, 0.3243242043243328, 0.15000000333333322, 0.17117123117116692, 0.12567578900900062], [0.2288287721621664, 0.30000000666666643, 0.15000000333333322, 0.17117123117116692, 0.14999998666666703]]"
130,"[0.1904761704761845, 0.2857143257142986, 0.09876544876543383, 0.05633802736901461, 0.049382724382716604]","[0.33802816421408427, 0.33802816421408766, 0.169014082107038, 0.22222219222221978, 0.19047617047618925]","[0.22222219222221978, 0.2962962112962915, 0.09876544876543383, 0.1481481731481489, 0.049382724382716604]","[0.2962962112962915, 0.29629634629630036, 0.14814817314814976, 0.22222219222221978, 0.11111109611111018]","[0.19718309579154797, 0.33802816421408427, 0.169014082107038, 0.05633802736901461, 0.08450704105352186]","[0.33802816421408427, 0.33802816421408766, 0.169014082107038, 0.19718309579155052, 0.09859156209577584]","[0.1904761704761845, 0.2857143257142937, 0.14285716285714933, 0.14285716285714686, 0.0952380852380923]","[0.28571432571429856, 0.2857143257142937, 0.14285716285714933, 0.19047617047618487, 0.19047617047618925]",E,r,E,r,E,r,E,r,"[0.2857143257142855, 0.2857143257142855, 0.14285716285714276, 0.12273639078379478, 0.08450704395806669]","[0.2857143257142855, 0.33802815969590205, 0.16901407984795103, 0.19047610047619085, 0.0952380852380953]","[0.22222219222222345, 0.2962962112962999, 0.09876544876543142, 0.14814817314814713, 0.04938272438271571]","[0.2962962112962999, 0.29629634629629426, 0.14814817314814713, 0.22222219222222345, 0.11111109611111172]","[0.19718309450063992, 0.33802815969590205, 0.16901407984795103, 0.0563380293053778, 0.08450704395806669]","[0.33802815969590205, 0.3380281758322668, 0.16901408791613337, 0.19718309450063992, 0.09859154725031996]","[0.1904761704761906, 0.2857143257142855, 0.14285716285714276, 0.14285716285714276, 0.0952380852380953]","[0.2857143257142855, 0.2857143257142855, 0.14285716285714276, 0.1904761704761906, 0.1904761704761906]","[[0.2857143257142855, 0.29629634629629426, 0.14300618355516265, 0.19047610047619085, 0.08450704395806669], [0.2857143257142855, 0.33802815969590205, 0.16901407984795103, 0.12273639078379478, 0.08450704395806669], [0.2857143257142855, 0.2857143257142855, 0.14285716285714276, 0.19047610047619085, 0.0952380852380953]]"
131,"[0.18181788181817005, 0.254546134545486, 0.06666667212121186, 0.0657534896575383, 0.05555556010100994]","[0.3333332951515161, 0.3636357636363326, 0.18181788181817043, 0.2246576042465763, 0.16438341997716033]","[0.22222220767676815, 0.3333332951515162, 0.06666667212121186, 0.11111112020201981, 0.05555556010100994]","[0.3333332951515161, 0.3333333606060593, 0.11111112020202077, 0.22222220767676767, 0.11111110383838407]","[0.18181788181817055, 0.2545461345454852, 0.18181788181816594, 0.07272715272726621, 0.09090894090908522]","[0.2545461345454852, 0.3636357636363317, 0.18181788181817043, 0.18181788181817055, 0.1272730672727426]","[0.2246576042465772, 0.32876683995432066, 0.10958914942923023, 0.0657534896575383, 0.11232880212328808]","[0.32876683995432066, 0.3287674482876915, 0.11232880212328851, 0.22465760424657616, 0.16438341997716033]",E,r,E,r,E,r,E,r,"[0.25454613454546077, 0.27070699695706973, 0.11111116111110861, 0.1818178818181791, 0.11111110486111143]","[0.25454613454546077, 0.33333331458333415, 0.1818178818181791, 0.1920288129202772, 0.11232880212328902]","[0.22222220972222287, 0.33333331458333415, 0.06666666291666683, 0.11111110486111138, 0.055555580555554304]","[0.33333331458333415, 0.33333331458333415, 0.11111116111110861, 0.22222220972222287, 0.11111110486111143]","[0.1818178818181791, 0.25454613454546077, 0.1818178818181791, 0.07272715272727164, 0.09090894090908955]","[0.25454613454546077, 0.3636357636363582, 0.1818178818181791, 0.1818178818181791, 0.12727306727273038]","[0.22465760424657805, 0.3287668399543268, 0.109589149429228, 0.0657534896575368, 0.11232880212328902]","[0.3287668399543268, 0.328767448287684, 0.11232880212328902, 0.22465760424657805, 0.1643834199771634]","[[0.25454613454546077, 0.33333331458333415, 0.11111116111110861, 0.18989828489898503, 0.11111110486111143], [0.25454613454546077, 0.27070699695706973, 0.1818178818181791, 0.1818178818181791, 0.11111110486111143], [0.25454613454546077, 0.328767448287684, 0.11232880212328902, 0.1920288129202772, 0.11232880212328902]]"
132,"[0.21250001124999962, 0.2857143007142861, 0.06666666916666647, 0.06250000624999999, 0.09523810023809534]","[0.3333333158333351, 0.33333334583333235, 0.15624999062500003, 0.2222222155555562, 0.15624999062500003]","[0.22222221555555605, 0.3333333158333351, 0.06666666916666647, 0.11111111527777734, 0.11111110777777798]","[0.3333333158333351, 0.33333334583333235, 0.1111111152777772, 0.2222222155555562, 0.11111110777777798]","[0.21250001124999962, 0.31249998125000006, 0.156249990625, 0.06250000624999999, 0.10625000562499998]","[0.3124999812500001, 0.3125000312499999, 0.15624999062500003, 0.21250001124999962, 0.15624999062500003]","[0.21428572553571504, 0.2857143007142861, 0.14285709785714154, 0.14285715035714305, 0.09523810023809534]","[0.28571430071428616, 0.2857143007142861, 0.1428571503571431, 0.2142857255357151, 0.14285709785714165]",E,r,E,r,E,r,E,r,"[0.2460317256150793, 0.285714300714286, 0.11111111527777746, 0.1789682968849207, 0.106250005625]","[0.2460317256150793, 0.3333333083333352, 0.156249990625, 0.2142857080357142, 0.11111111527777746]","[0.22222223055555496, 0.3333333083333352, 0.06666666916666648, 0.11111111527777746, 0.11111111527777746]","[0.3333333083333352, 0.3333333458333324, 0.11111111527777746, 0.22222223055555493, 0.11111111527777746]","[0.21250001125, 0.31249998125, 0.156249990625, 0.06250000625, 0.106250005625]","[0.31249998125, 0.31250003125000003, 0.156249990625, 0.21250001125, 0.156249990625]","[0.2142857080357142, 0.2857142657142854, 0.1428571328571427, 0.142857150357143, 0.09523810023809533]","[0.2857142657142854, 0.285714300714286, 0.142857150357143, 0.2142857080357142, 0.1428571328571427]","[[0.2460317256150793, 0.3333333083333352, 0.11111111527777746, 0.1984127354960305, 0.11111111527777746], [0.2460317256150793, 0.31249998125, 0.156249990625, 0.1789682968849207, 0.106250005625], [0.2460317256150793, 0.285714300714286, 0.142857150357143, 0.2142857080357142, 0.11111111527777746]]"
133,"[0.1666666566666664, 0.311688491688317, 0.08333334404761922, 0.0779221229220797, 0.05555555722222221]","[0.3333332733333323, 0.33333337619047704, 0.19480511480519203, 0.22222219936507911, 0.1666666566666664]","[0.1666666566666664, 0.311688491688317, 0.11111111444444466, 0.16666667166666663, 0.05555555722222221]","[0.311688491688317, 0.333333343333334, 0.16666667166666682, 0.16666667166666663, 0.1666666566666664]","[0.22222219936507911, 0.3333332733333325, 0.08333334404761969, 0.11111112539682559, 0.08333334404761922]","[0.3333332733333323, 0.33333337619047676, 0.11111112539682559, 0.22222219936507911, 0.11111109968253945]","[0.19480511480519186, 0.311688491688317, 0.10389616389610606, 0.07792212292207955, 0.07792212292207948]","[0.31168849168831714, 0.3116884916883182, 0.19480511480519203, 0.19480511480519214, 0.10389616389610584]",E,r,E,r,E,r,E,r,"[0.30555555055555556, 0.3116884916883219, 0.11111112539682556, 0.16666670666666722, 0.08333334404761918]","[0.30555555055555556, 0.3333332733333326, 0.11111112539682556, 0.18831148831167782, 0.08333334404761918]","[0.16666669166666703, 0.30555555055555556, 0.11111109111111084, 0.16666663666666626, 0.05555554555555542]","[0.30555555055555556, 0.3333332733333325, 0.16666663666666626, 0.16666670666666722, 0.16666669166666703]","[0.22222219936507911, 0.3333332733333326, 0.08333334404761918, 0.11111112539682556, 0.08333334404761918]","[0.3333332733333326, 0.3333333761904767, 0.11111112539682556, 0.22222219936507911, 0.11111109968253956]","[0.19480511480519028, 0.31168810668830005, 0.1038961638961073, 0.07792212292208048, 0.07792212292208048]","[0.31168810668830005, 0.3116884916883219, 0.19480511480519028, 0.19480511480519028, 0.1038961638961073]","[[0.30555555055555556, 0.3333332733333325, 0.11111112539682556, 0.16666670666666722, 0.08333334404761918], [0.30555555055555556, 0.3333332733333326, 0.11111112539682556, 0.16666670666666722, 0.08333334404761918], [0.30555555055555556, 0.3116884916883219, 0.11111112539682556, 0.18831148831167782, 0.08333334404761918]]"
134,"[0.185185181770562, 0.2857142990476295, 0.1142857142857116, 0.07407407797651021, 0.07142857476190721]","[0.342857142857136, 0.3428571428571377, 0.14814814278230212, 0.2171428371428943, 0.185185181770562]","[0.2142857009523701, 0.2857142990476289, 0.14285714952381476, 0.1428571495238148, 0.07142857476190721]","[0.2857142990476295, 0.2857142990476289, 0.14285714952381628, 0.2142857009523701, 0.14285714952381476]","[0.185185181770562, 0.2962962855645757, 0.14814814278228894, 0.07407407797651021, 0.09259259088528062]","[0.2962962855645753, 0.2962963119060409, 0.1481481427823116, 0.18518518177057774, 0.185185181770562]","[0.21714283714289437, 0.342857142857136, 0.11428571428572015, 0.08571428571428641, 0.10857141857144764]","[0.342857142857136, 0.3428571428571377, 0.11428571428572015, 0.2171428371428943, 0.1142857142857198]",E,r,E,r,E,r,E,r,"[0.24910054562226797, 0.2857142990476197, 0.11428571863354026, 0.1851851851851852, 0.10857143270186329]","[0.277671933541522, 0.3428571178571433, 0.14814813814814765, 0.1851851851851852, 0.10857143270186329]","[0.21428570095238034, 0.2857142990476197, 0.14285714952380985, 0.14285714952380985, 0.07142857476190492]","[0.2857142990476197, 0.2857142990476197, 0.14285714952380985, 0.21428570095238034, 0.14285714952380985]","[0.1851851851851852, 0.29629629629629634, 0.14814813814814765, 0.07407407407407408, 0.0925925925925926]","[0.29629629629629634, 0.29629629629629634, 0.14814814814814817, 0.1851851851851852, 0.1851851851851852]","[0.21714286540372657, 0.3428571178571433, 0.11428571863354026, 0.08571428897515523, 0.10857143270186329]","[0.3428571178571433, 0.34285715590062094, 0.11428571863354026, 0.21714286540372657, 0.11428571863354031]","[[0.277671933541522, 0.2857142990476197, 0.14285714952380985, 0.1851851851851852, 0.10857143270186329], [0.26179894766850753, 0.29629629629629634, 0.14814813814814765, 0.1851851851851852, 0.10857143270186329], [0.24910054562226797, 0.3428571178571433, 0.11428571863354026, 0.1851851851851852, 0.10857143270186329]]"
135,"[0.1818181872727272, 0.2781458820308987, 0.06857141472527649, 0.06060606242424189, 0.07619059542122804]","[0.3428570736263843, 0.34285707362638246, 0.1818181872727272, 0.2781456303642429, 0.15151512606060924]","[0.2285717862636841, 0.34285707362638246, 0.06857141472527649, 0.11428569120879416, 0.07619059542122804]","[0.3428570736263843, 0.34285707362638246, 0.11428589313184205, 0.2285717862636841, 0.08571426840659642]","[0.1818181872727272, 0.30303031212120884, 0.15151512606060658, 0.06060606242424189, 0.09090909363636335]","[0.3030303121212132, 0.30303031212120884, 0.1818181872727272, 0.18181818727272736, 0.15151512606060924]","[0.2781456303642397, 0.2781458820308987, 0.07284764711921042, 0.1456952942384101, 0.09271521012141379]","[0.2781458820308987, 0.29139058847683186, 0.1456952942384101, 0.2781456303642429, 0.13907294101544934]",E,r,E,r,E,r,E,r,"[0.27814567010108054, 0.2913907474241896, 0.11428589313185011, 0.17639979808073775, 0.08571426840659516]","[0.27814567010108054, 0.3428570736263806, 0.1515151260606058, 0.19205298539560833, 0.09271522336702685]","[0.22857178626370023, 0.3428570736263806, 0.06857141472527613, 0.11428569120879355, 0.07619059542123341]","[0.3428570736263806, 0.3428570736263806, 0.11428589313185011, 0.22857178626370023, 0.08571426840659516]","[0.18181818727272733, 0.30303031212121223, 0.1515151260606058, 0.06060606242424245, 0.09090909363636367]","[0.30303031212121223, 0.30303031212121223, 0.18181818727272733, 0.18181818727272733, 0.1515151260606058]","[0.27814567010108054, 0.27814567010108054, 0.0728476868560474, 0.1456953737120948, 0.09271522336702685]","[0.27814567010108054, 0.2913907474241896, 0.1456953737120948, 0.27814567010108054, 0.13907283505054024]","[[0.27814567010108054, 0.3428570736263806, 0.11428589313185011, 0.17899709473409356, 0.08571426840659516], [0.27814567010108054, 0.30303031212121223, 0.1515151260606058, 0.17639979808073775, 0.09090909363636367], [0.27814567010108054, 0.2913907474241896, 0.1456953737120948, 0.19205298539560833, 0.09271522336702685]]"
136,"[0.18181818739957648, 0.29629638201058284, 0.07407409550264588, 0.06249999636363651, 0.07812502454545385]","[0.3124999818181822, 0.36363634410148166, 0.1818181873995767, 0.2222221707936498, 0.1562499909090911]","[0.18749998909090934, 0.3124999818181822, 0.1562499909090911, 0.06249999636363651, 0.07812502454545385]","[0.3124999818181822, 0.31249998181818256, 0.15625004909090762, 0.18749998909090934, 0.1562499909090911]","[0.1818181873995765, 0.29629638201058306, 0.1212121147004942, 0.18181817205074052, 0.09090908602537041]","[0.29629638201058284, 0.36363634410148166, 0.181818187399577, 0.1818181873995764, 0.0909090936997885]","[0.2222221707936498, 0.29629638201058284, 0.07407409550264588, 0.14814819100529153, 0.09876546067019454]","[0.29629638201058284, 0.2962963820105834, 0.14814819100529208, 0.2222221707936498, 0.1111110853968249]",E,r,E,r,E,r,E,r,"[0.27272726575052897, 0.296296382010586, 0.148148191005293, 0.1803977369767438, 0.07812502454545397]","[0.27272726575052897, 0.3124999818181822, 0.1562499909090911, 0.1840627005633967, 0.09876546067019533]","[0.18749998909090934, 0.3124999818181822, 0.1562499909090911, 0.06249999636363644, 0.07812502454545397]","[0.3124999818181822, 0.3124999818181822, 0.15625004909090795, 0.18749998909090934, 0.1562499909090911]","[0.1818181873995769, 0.27272726575052897, 0.12121211470049363, 0.18181817205074044, 0.09090908602537022]","[0.27272726575052897, 0.3636363441014809, 0.18181818739957684, 0.1818181873995769, 0.09090909369978845]","[0.2222221707936484, 0.29629626629629496, 0.0740740955026465, 0.148148191005293, 0.09876546067019533]","[0.29629626629629496, 0.296296382010586, 0.148148191005293, 0.2222221707936484, 0.1111110853968242]","[[0.27272726575052897, 0.3124999818181822, 0.1562499909090911, 0.1803977369767438, 0.07812502454545397], [0.27272726575052897, 0.29829546224101466, 0.1562499909090911, 0.1818181873995769, 0.09090909369978845], [0.27272726575052897, 0.296296382010586, 0.148148191005293, 0.1840627005633967, 0.09876546067019533]]"
137,"[0.18918917995841986, 0.2500001142856667, 0.06249998285715058, 0.08108106492723575, 0.05405410020789684]","[0.3243242597089435, 0.324324259708943, 0.1562499571428759, 0.2499999314285979, 0.18918917995841975]","[0.18918917995841986, 0.324324259708943, 0.10810808656964767, 0.08108106492723575, 0.05405410020789684]","[0.3243242597089435, 0.324324259708943, 0.10810820041579736, 0.18918917995841986, 0.18918917995841986]","[0.2187499916666662, 0.3124999499999948, 0.10416664999999548, 0.12500003333333742, 0.062499989999998964]","[0.312499949999995, 0.3124999499999948, 0.1250000333333373, 0.2187499916666662, 0.12500003333333554]","[0.24999993142859595, 0.25000011428566526, 0.06249998285715058, 0.15624995714287362, 0.07812497857143777]","[0.25000011428566526, 0.31249991428575297, 0.1562499571428759, 0.2499999314285979, 0.12500005714283222]",E,r,E,r,E,r,E,r,"[0.25000011428570196, 0.31249991428572343, 0.10810820041579636, 0.18918917995842038, 0.12500003333333667]","[0.2533783027739897, 0.3243242597089425, 0.10810820041579636, 0.20439171386992722, 0.12500005714285098]","[0.18918917995842038, 0.3243242597089425, 0.1081080865696475, 0.08108106492723563, 0.05405410020789818]","[0.3243242597089425, 0.3243242597089425, 0.10810820041579636, 0.18918917995842038, 0.18918917995842038]","[0.21874999166666587, 0.312499949999995, 0.10416664999999832, 0.12500003333333667, 0.06249998999999899]","[0.312499949999995, 0.312499949999995, 0.12500003333333667, 0.21874999166666587, 0.12500003333333667]","[0.24999993142857885, 0.25000011428570196, 0.062499982857144684, 0.15624995714286172, 0.07812497857143086]","[0.25000011428570196, 0.31249991428572343, 0.15624995714286172, 0.24999993142857885, 0.12500005714285098]","[[0.2533783027739897, 0.3243242597089425, 0.10810820041579636, 0.18918917995842038, 0.12500005714285098], [0.2533783027739897, 0.312499949999995, 0.10810820041579636, 0.20101351347688226, 0.12500003333333667], [0.25000011428570196, 0.31249991428572343, 0.10810820041579636, 0.20439171386992722, 0.12500005714285098]]"
138,"[0.21582745085676142, 0.3000000000000003, 0.08633092979725332, 0.05263158466165383, 0.05395686271419014]","[0.3453237191890147, 0.3453237191890133, 0.15789472684210498, 0.23571425571428684, 0.1578947268421059]","[0.21582745085676142, 0.3453237191890133, 0.08633092979725332, 0.08633092979725335, 0.05395686271419014]","[0.3453237191890148, 0.3453237191890133, 0.10791372542838028, 0.21582745085676142, 0.11510790639633828]","[0.23571425571428672, 0.2999999999999995, 0.15000000000000002, 0.09999999999999983, 0.07857141857142892]","[0.3000000000000003, 0.2999999999999995, 0.15000000000000016, 0.23571425571428684, 0.15000000000000016]","[0.21582745085676142, 0.3157894536842122, 0.15789472684210545, 0.052631584661651576, 0.07894737699248051]","[0.3157894536842122, 0.31578950796992206, 0.15789472684210545, 0.21582745085676142, 0.15789472684210618]",E,r,E,r,E,r,E,r,"[0.27955322909108105, 0.300000052499997, 0.10791372542838021, 0.16781521339012234, 0.07894737699248135]","[0.299999965000002, 0.3453237191890141, 0.1578947268421051, 0.1710526230075186, 0.07894737699248135]","[0.2158273244931338, 0.3453237191890141, 0.08633092979725353, 0.08633092979725353, 0.053956862714190104]","[0.3453237191890141, 0.3453237191890141, 0.10791372542838021, 0.2158273244931338, 0.11510790639633804]","[0.2357143082142845, 0.299999965000002, 0.149999982500001, 0.100000017499999, 0.07857143607142816]","[0.299999965000002, 0.300000052499997, 0.149999982500001, 0.2357143082142845, 0.149999982500001]","[0.1842105191729322, 0.3157894536842102, 0.1578947268421051, 0.052631584661654233, 0.07894737699248135]","[0.3157894536842102, 0.3157895079699254, 0.1578947268421051, 0.1842105191729322, 0.1578947268421051]","[[0.299999965000002, 0.3453237191890141, 0.10791372542838021, 0.16781521339012234, 0.07894737699248135], [0.299999965000002, 0.300000052499997, 0.149999982500001, 0.1710526230075186, 0.07894737699248135], [0.27955322909108105, 0.3157894536842102, 0.1578947268421051, 0.16781521339012234, 0.07894737699248135]]"
139,"[0.17391303330877017, 0.2500003999999887, 0.08695652834929933, 0.10000001000000056, 0.08333325333333531]","[0.2999999900000001, 0.3749996400000092, 0.1739130333087702, 0.24999976000000595, 0.1833333183333335]","[0.24999976000000595, 0.2500003999999887, 0.0937499100000023, 0.12499988000000306, 0.08333325333333531]","[0.25000039999998974, 0.3749996400000092, 0.1249998800000031, 0.24999976000000595, 0.12500019999999484]","[0.1833333183333335, 0.2999999900000001, 0.1499999950000001, 0.1000000100000003, 0.15000001499999932]","[0.2999999900000001, 0.30000002999999986, 0.15000001499999932, 0.18333331833333363, 0.1833333183333335]","[0.1739130333087702, 0.2608695733529828, 0.08695652834930012, 0.11594203779906687, 0.08695651665438502]","[0.26086957335298333, 0.3478261133971968, 0.1739130333087702, 0.1739130333087724, 0.13043478667649044]",E,r,E,r,E,r,E,r,"[0.2500002399999927, 0.2999999700000005, 0.12500011999999636, 0.14999982000000636, 0.12500011999999636]","[0.2500002399999927, 0.32608641652176074, 0.14999998500000025, 0.17391310347825373, 0.14999998500000025]","[0.2500002399999927, 0.2500002399999927, 0.09374991000000274, 0.12499988000000366, 0.0833334133333309]","[0.2500002399999927, 0.37499964000001096, 0.12500011999999636, 0.2500002399999927, 0.12500011999999636]","[0.18333334833333306, 0.2999999700000005, 0.14999998500000025, 0.09999999000000016, 0.14999998500000025]","[0.2999999700000005, 0.2999999700000005, 0.14999998500000025, 0.18333334833333306, 0.18333334833333306]","[0.17391303084668344, 0.2608695462700251, 0.08695651542334171, 0.11594202056445561, 0.08695655173912686]","[0.2608695462700251, 0.34782606169336683, 0.17391303084668344, 0.17391310347825373, 0.13043477313501256]","[[0.2500002399999927, 0.32608641652176074, 0.12500011999999636, 0.17391310347825373, 0.12500011999999636], [0.2500002399999927, 0.2999999700000005, 0.14999998500000025, 0.14999982000000636, 0.14999998500000025], [0.2500002399999927, 0.2999999700000005, 0.14565191338674044, 0.17391310347825373, 0.13043477313501256]]"
140,"[0.17948714198717627, 0.30769238269231314, 0.08759124370610157, 0.051282063782052294, 0.047619049285714005]","[0.3503649748244041, 0.350364974824406, 0.15384619134615746, 0.2248174608896785, 0.17948714198717622]","[0.2248174608896785, 0.350364974824406, 0.08759124370610157, 0.0700729949648812, 0.11240873044483893]","[0.35036497482440476, 0.350364974824406, 0.11240873044483933, 0.2248174608896785, 0.11678832494146872]","[0.17948714198717622, 0.30769238269231386, 0.15384619134615746, 0.05128206378205231, 0.061538476538462776]","[0.3076923826923149, 0.30769238269231386, 0.15384619134615746, 0.17948714198717636, 0.17948714198717622]","[0.22222221250000354, 0.33333331000000843, 0.11111111499999832, 0.11111111499999687, 0.047619049285713755]","[0.33333331000001026, 0.333333344999997, 0.11111111499999873, 0.22222221250000396, 0.11111111499999711]",E,r,E,r,E,r,E,r,"[0.3076923826923127, 0.3076923826923127, 0.11111115777777636, 0.11842277759661794, 0.11111115777777636]","[0.3076923826923127, 0.35036491558698324, 0.15384619134615635, 0.13675203841879913, 0.11240876634630977]","[0.22481753269261953, 0.35036491558698324, 0.0875912526814679, 0.07007300214517433, 0.11240876634630977]","[0.35036491558698324, 0.3503650107258716, 0.11240876634630977, 0.22481753269261953, 0.11678830519566108]","[0.17948714198717697, 0.3076923826923127, 0.15384619134615635, 0.05128206378205211, 0.06153847653846254]","[0.3076923826923127, 0.3076923826923127, 0.15384619134615635, 0.17948714198717697, 0.17948714198717697]","[0.2222222105555559, 0.33333326333333546, 0.11111108777777849, 0.11111115777777636, 0.04761903761904792]","[0.33333326333333546, 0.33333326333333546, 0.11111115777777636, 0.2222222105555559, 0.11111115777777636]","[[0.3076923826923127, 0.35036491558698324, 0.11111115777777636, 0.11842277759661794, 0.11240876634630977], [0.3076923826923127, 0.3076923826923127, 0.15384619134615635, 0.11842277759661794, 0.11234626567260037], [0.3076923826923127, 0.33333326333333546, 0.11111115777777636, 0.13675203841879913, 0.11111115777777636]]"
141,"[0.18181820848485006, 0.2962963162962953, 0.07575756742424118, 0.0606060539393928, 0.07575756742424121]","[0.30303026969696495, 0.30303026969696484, 0.1851851751851855, 0.18518517518518565, 0.18181820848485003]","[0.1851851751851855, 0.2962963162962953, 0.1481481581481478, 0.0740740790740739, 0.09259258759259151]","[0.2962963162962953, 0.2962963162962956, 0.1851851751851855, 0.18518517518518565, 0.1481481581481478]","[0.18181820848485003, 0.303030209696969, 0.1515151048484844, 0.07575756742424139, 0.07575756742424121]","[0.303030209696969, 0.30303026969696484, 0.1515151048484844, 0.18181820848485064, 0.18181820848485003]","[0.18181820848485006, 0.30303026969696484, 0.075757567424241, 0.060606053939397775, 0.09090913590909155]","[0.30303026969696495, 0.30303026969696484, 0.18181827181819, 0.18181820848485006, 0.15151513484848245]",E,r,E,r,E,r,E,r,"[0.29124587902356824, 0.2962963162962982, 0.14814812814815045, 0.1666666666666667, 0.0909090809090907]","[0.29629627129629393, 0.30303024525252387, 0.1481481581481491, 0.1666666666666667, 0.09259258759259212]","[0.18518517518518424, 0.29629627129629393, 0.1481481581481491, 0.07407407907407455, 0.09259258759259212]","[0.29629627129629393, 0.2962963162962982, 0.18518517518518418, 0.18518517518518424, 0.1481481581481491]","[0.18518518518518381, 0.2962962562963009, 0.14814812814815045, 0.07407407907407455, 0.07407407907407455]","[0.2962962562963009, 0.2962963162962982, 0.14814812814815045, 0.18518518518518381, 0.18518518518518381]","[0.1818181618181814, 0.30303024525252387, 0.07575759797979846, 0.06060607838383877, 0.0909090809090907]","[0.30303024525252387, 0.30303039191919384, 0.1818181618181814, 0.1818181618181814, 0.15151512262626193]","[[0.29629627129629393, 0.2962963162962982, 0.1481481581481491, 0.1666666666666667, 0.09259258759259212], [0.29629627129629393, 0.2962963162962982, 0.14814812814815045, 0.1666666666666667, 0.09259261759259069], [0.29124587902356824, 0.30303024525252387, 0.14814812814815045, 0.1666666666666667, 0.0909090809090907]]"
