Trial,entani論文のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,解の非唯一性考慮のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,解の非唯一性考慮のPerfectIncorporation_wᵁ_3
115,"[0.19999997599999172, 0.08888889178743634, 0.10638304272340841, 0.0638297692340423, 0.056737572652482055]","[0.2333333405685971, 0.0925925710590687, 0.1063829974078772, 0.06382978723404248, 0.05673758865248233]","[0.5106381538723385, 0.26666664466667594, 0.35555554106279447, 0.13333333733333047, 0.19999997599999172]","[0.5106382978723408, 0.2666666439272677, 0.37037028423627477, 0.133333337467769, 0.2333333405685971]","[0.19999997599999172, 0.13333333733333047, 0.2666666446666767, 0.13333333733333047, 0.06666666866666482]","[0.2333333405685971, 0.13333333746776926, 0.266666643927265, 0.13333333746776876, 0.06666666873388465]","[0.2666666746666696, 0.2666666446666764, 0.2666666746666593, 0.13333333733333047, 0.19999997599999172]","[0.26666667493553814, 0.2666666439272705, 0.26666667493553753, 0.13333333746776913, 0.2333333405685971]","[0.35555554106279447, 0.0888888917874372, 0.2222222164251244, 0.08888888526569799, 0.07111111342994964]","[0.3703702842362748, 0.0925925710590687, 0.21481485788186283, 0.0925925710590687, 0.07407405684725478]","[0.35555556714973907, 0.22222221642510726, 0.35555554106279447, 0.08888889178743703, 0.11111110821259215]","[0.3703702842362748, 0.2148148578818624, 0.370370284236275, 0.0925925710590687, 0.10740742894093125]","[0.5106381538723385, 0.11347514530496437, 0.10638304272340841, 0.06382976923404231, 0.056737572652477475]","[0.5106382978723406, 0.11347517730496433, 0.1063829974078772, 0.06382978723404248, 0.05673758865248232]","[0.5106381538723385, 0.21276608544681683, 0.25531907693616923, 0.11347514530496437, 0.056737572652477475]","[0.5106382978723408, 0.2127659948157544, 0.2553191489361703, 0.11347517730496433, 0.05673758865248233]"
116,"[0.2857144057143313, 0.059701468537315075, 0.14285706285712002, 0.10447756994030138, 0.05472648015919858]","[0.3076923165018556, 0.059701489111377744, 0.12820513187577295, 0.10447760594491105, 0.054726384146903916]","[0.41791027976120554, 0.28571412571424004, 0.34532369942823915, 0.14285720285715955, 0.20895513988059797]","[0.4179104237796442, 0.25641026375154663, 0.3636362755408806, 0.15384615825092793, 0.20895521188982225]","[0.2857144057143235, 0.14285720285715703, 0.14285706285712002, 0.14285720285715955, 0.07142860142857978]","[0.3076923165018548, 0.15384612961989727, 0.1282051318757733, 0.15384615825092754, 0.0769230791254641]","[0.2857144057143235, 0.28571412571424004, 0.2857144057143313, 0.14285720285715955, 0.14285720285715706]","[0.3076923165018548, 0.2564102637515466, 0.3076923165018556, 0.1538461582509282, 0.15384612961989705]","[0.41791027976119594, 0.059701468537315075, 0.20895513988059647, 0.10447756994030138, 0.05472648015919858]","[0.4179104237796442, 0.059701489111377744, 0.20895521188982225, 0.10447760594491105, 0.054726384146903916]","[0.41791027976120554, 0.2089551398806026, 0.20895513988059647, 0.10945296031839716, 0.20895513988059797]","[0.4179104237796442, 0.20895521188982225, 0.20895521188982283, 0.10945276829380753, 0.20895521188982225]","[0.3453236994282421, 0.08633094314653708, 0.21582732128738813, 0.11510792419537724, 0.05755396209769561]","[0.3636362755408794, 0.09090906888521988, 0.20606065304486446, 0.12121209184695989, 0.06060604592348013]","[0.3453237725861543, 0.21582732128738813, 0.34532369942823915, 0.1151079241953912, 0.10791366064367824]","[0.3636362755408794, 0.206060653044864, 0.3636362755408798, 0.12121209184696026, 0.10303032652243181]"
117,"[0.2999999777777785, 0.10000001111111068, 0.17307693125873855, 0.0749999944444446, 0.05084756762714536]","[0.30000001672075, 0.10000000557358331, 0.1730769313192734, 0.07500000418018751, 0.05084747981541281]","[0.406779361016876, 0.20338968050843614, 0.2999999777777784, 0.17307688398601645, 0.17307693125874032]","[0.4067796005034202, 0.2824999878774563, 0.30000001672075005, 0.17307688369680505, 0.17307693131927346]","[0.2999999777777785, 0.10000001111111068, 0.19999999444444266, 0.0749999944444446, 0.059999995555555685]","[0.30000001672074994, 0.10000000557358331, 0.2824999878774563, 0.07500000418018751, 0.06000000334415001]","[0.30000003333333203, 0.19999999444444266, 0.2999999777777784, 0.14999998888888955, 0.14999998888888924]","[0.30000001672074994, 0.2824999878774563, 0.30000001672075005, 0.15000000836037503, 0.15000000836037503]","[0.34615386251748037, 0.17307688398601645, 0.1730769312587408, 0.1153846208391604, 0.07692308055944028]","[0.3461538626385468, 0.17307688369680502, 0.1730769313192734, 0.11538462087951568, 0.07692308058634376]","[0.34615386251748115, 0.1730769312587408, 0.2307692416783217, 0.17307688398601645, 0.17307693125874032]","[0.3461538626385468, 0.17307693131927343, 0.23076924175903119, 0.17307688369680502, 0.17307693131927343]","[0.4067793610168729, 0.12711862406779245, 0.203389680508438, 0.10169513525429226, 0.050847567627145776]","[0.4067796005034195, 0.13559320016780674, 0.20338980025171, 0.10169495963082566, 0.05084747981541281]","[0.406779361016876, 0.20338968050843614, 0.2033902705085831, 0.13559312033895604, 0.12711862406779245]","[0.40677960050342, 0.20338980025170963, 0.2033899192616511, 0.1355932001678065, 0.13559320016780613]"
118,"[0.28571429523809533, 0.13333333173333323, 0.18181822181818638, 0.07142857380952404, 0.057142859047618996]","[0.28985509211451854, 0.13333333184122728, 0.1818182227878802, 0.07246377302862965, 0.0579710184229036]","[0.39999999519999974, 0.22857140285714214, 0.2857142952380957, 0.15151511151514485, 0.1818181668181798]","[0.39999999552368193, 0.28985505821697416, 0.28985509211451854, 0.1515151105454531, 0.18181816645454507]","[0.28571429523809533, 0.14285714761904766, 0.22857140285714214, 0.07142857380952404, 0.057142859047618996]","[0.28985509211451854, 0.1449275460572591, 0.2898550582169748, 0.07246377302862965, 0.0579710184229036]","[0.28571429523809555, 0.22857140285714214, 0.285714295238095, 0.14285714761904766, 0.14285714761904766]","[0.2898550921145186, 0.28985505821697394, 0.28985509211451854, 0.14492754605725916, 0.14492754605725927]","[0.3636363336363596, 0.1818181668181798, 0.18181822181818705, 0.09090911090909357, 0.07575755575757395]","[0.36363633290909, 0.18181816645454507, 0.1818182227878802, 0.09090911139394016, 0.0757575552727266]","[0.36363644363637176, 0.181818221818187, 0.22727266727272186, 0.15151511151514538, 0.1818181668181798]","[0.3636364455757599, 0.18181822278788032, 0.22727266581818018, 0.1515151105454531, 0.18181816645454507]","[0.39999999519999974, 0.13333333173333325, 0.19999999759999976, 0.09999999879999988, 0.06666666586666663]","[0.3999999955236818, 0.13333333184122728, 0.19999999776184094, 0.09999999888092054, 0.06666666592061261]","[0.39999999519999974, 0.19999999759999976, 0.2000000096000004, 0.13333333173333334, 0.13333333173333295]","[0.3999999955236818, 0.19999999776184094, 0.20000000895263684, 0.1333333318412275, 0.13333333184122728]"
119,"[0.3333333243333325, 0.06040268256375822, 0.16107382017002195, 0.04615385282051486, 0.037037045037037725]","[0.3600000041193033, 0.0604027049339358, 0.16107387982382879, 0.04615385319538892, 0.04000000045770036]","[0.4832214605100658, 0.22222221622222177, 0.3333333243333325, 0.2416107302550332, 0.11111110811111088]","[0.4832216394714864, 0.2399999798611844, 0.3600000041193033, 0.24161070732254206, 0.11999998993059216]","[0.3333333243333325, 0.11111110811111088, 0.22222221622222177, 0.11111110811111084, 0.037037045037037725]","[0.36000000411930305, 0.11999998993059216, 0.23999997986118432, 0.12000000137310109, 0.04000000045770036]","[0.3333333243333325, 0.22222221622222177, 0.3333333243333325, 0.11111113511111305, 0.11111110811111088]","[0.36000000411930305, 0.2399999798611844, 0.3600000041193033, 0.12000000137310109, 0.11999998993059216]","[0.4832214605100658, 0.06040268256375823, 0.16107382017002195, 0.09261745321998546, 0.053691273390007316]","[0.4832214146450841, 0.0604027049339358, 0.16107387982382879, 0.09261741345078078, 0.0536912932746096]","[0.4832214605100658, 0.1852349064399711, 0.1852349064399707, 0.2416107302550332, 0.053691273390007316]","[0.4832216394714864, 0.18523482690156176, 0.18523482690156182, 0.24161070732254206, 0.0536912932746096]","[0.46153852820514846, 0.10256406923075898, 0.1666666666666668, 0.04615385282051486, 0.051282034615379224]","[0.46153853195388944, 0.1025640673563884, 0.22051279058626383, 0.04615385319538892, 0.05128203367819423]","[0.461538528205149, 0.1666666666666668, 0.2307692641025743, 0.1025640692307585, 0.10256406923075898]","[0.46153853195388955, 0.22051279058626383, 0.23076926597694478, 0.10256406735638843, 0.10256406735638877]"
120,"[0.2666666666666667, 0.06837606643054311, 0.12307691957497753, 0.057692310419580714, 0.024615386191260007]","[0.2666666666666669, 0.068376067392526, 0.12307692130654678, 0.061224492612003516, 0.024615387138170852]","[0.6153845978748876, 0.2666666666666678, 0.2666666666666667, 0.15555555055555592, 0.15555555055555578]","[0.615384606532734, 0.26666666666666666, 0.2666666666666669, 0.15555555054608444, 0.1555555505460845]","[0.6153845978748876, 0.06837606643054311, 0.12307691957497753, 0.0615384654781505, 0.024615386191260007]","[0.615384606532734, 0.068376067392526, 0.12307692130654678, 0.06153846065327335, 0.024615387138170852]","[0.6153845978748876, 0.123076930956301, 0.12307693095630004, 0.12307691957497818, 0.07692307473436083]","[0.615384606532734, 0.1230769213065467, 0.12307693569085426, 0.12307692130654678, 0.0769230758165918]","[0.2666666666666667, 0.15555555055555578, 0.2666666666666667, 0.13333333333333297, 0.06666666666666726]","[0.2666666666666669, 0.15555555054608397, 0.2666666666666669, 0.1333333333333334, 0.0666666666666667]","[0.26666668166666574, 0.2666666666666667, 0.2666666666666667, 0.15555555055555592, 0.15555555055555578]","[0.2666666816950808, 0.26666666666666666, 0.2666666666666669, 0.15555555054608444, 0.15555555054608397]","[0.4038461729370638, 0.13461539097902203, 0.20192303919579938, 0.05769231041958055, 0.06730769548951057]","[0.4285714482840246, 0.14285714942800762, 0.21428567814595545, 0.061224492612003516, 0.07142857471400378]","[0.4038461729370638, 0.20192303919579938, 0.20192308646853427, 0.13461539097902114, 0.13461539097902198]","[0.4285714482840246, 0.21428567814595567, 0.21428572414201247, 0.14285714942800756, 0.1428571494280083]"
121,"[0.30769231591148594, 0.07692307897787141, 0.18750000666666727, 0.06153846366863906, 0.03418803537146615]","[0.3076923243264847, 0.07692308108162096, 0.1875000033203375, 0.06153846486529695, 0.034188036036275925]","[0.3750000133333336, 0.2735042483563446, 0.3076923183431953, 0.187499971111111, 0.18749997111111097]","[0.375000006640675, 0.2982905793887705, 0.3076923243264847, 0.18749998561187056, 0.18749998561187062]","[0.3076923183431953, 0.15384614186390527, 0.2735042483563446, 0.06153846366863906, 0.03418803537146615]","[0.3076923243264847, 0.15384616216324215, 0.2982905793887705, 0.06153846486529695, 0.034188036036275925]","[0.3076923183431953, 0.2735042483563446, 0.3076923183431953, 0.07692307958579903, 0.15384614186390527]","[0.3076923243264847, 0.2982905793887705, 0.3076923243264847, 0.0769230810816212, 0.15384616216324207]","[0.30769231591148566, 0.07692307897787141, 0.19230768408851426, 0.10256410530382845, 0.06153846318229689]","[0.30769232432648386, 0.07692308108162096, 0.2641025513496954, 0.10256410810882821, 0.06153846486529681]","[0.30769231591148566, 0.19230768408851426, 0.30769231591148494, 0.1538461579557429, 0.1538461579557429]","[0.30769232432648386, 0.2641025513496952, 0.3076923243264847, 0.15384616216324234, 0.15384616216324234]","[0.3749999422222221, 0.1250000044444444, 0.18750000666666652, 0.06250000222222235, 0.09375000333333361]","[0.37499997122374124, 0.12500000221355836, 0.1875000033203375, 0.06250000110677936, 0.09375000166016861]","[0.3750000133333336, 0.18750000666666652, 0.18750000666666675, 0.187499971111111, 0.18749997111111105]","[0.375000006640675, 0.1875000033203375, 0.187500003320338, 0.18749998561187062, 0.18749998561187062]"
122,"[0.29629615058201286, 0.13333330999999624, 0.1551723580788153, 0.05714284714285549, 0.034482801477834654]","[0.32432433891300344, 0.1333333259356761, 0.17142848409885378, 0.057142853972432656, 0.03428571238345959]","[0.3999999299999884, 0.31034471615762804, 0.29629615058201214, 0.17241375881773152, 0.19999996499999462]","[0.3999999778070284, 0.3428569681977078, 0.32432433891300344, 0.1714284840988539, 0.19999998890351423]","[0.3999999299999884, 0.13333330999999624, 0.19999996499999423, 0.05714284714285549, 0.06666671333334097]","[0.3999999778070284, 0.1333333259356761, 0.19999998890351411, 0.057142853972432656, 0.06666668146198096]","[0.3999999299999884, 0.19999996499999423, 0.19999996499999423, 0.13333342666668194, 0.19999996499999462]","[0.3999999778070284, 0.19999998890351464, 0.19999998890351411, 0.13333336292396192, 0.19999998890351428]","[0.3103447161576282, 0.17241375881773202, 0.15517235807881485, 0.057471335796391056, 0.034482801477834654]","[0.34285696819770756, 0.1714284840988539, 0.17142848409885378, 0.057142853972432656, 0.03428571238345959]","[0.3103447161576325, 0.31034471615762804, 0.17241400738917328, 0.17241375881773152, 0.17241375881773124]","[0.34285696819770756, 0.3428569681977078, 0.171428561917298, 0.1714284840988539, 0.1714284840988539]","[0.29629615058201286, 0.14814819100529064, 0.22222217079365136, 0.09876546067019366, 0.07407409550264514]","[0.32432433891300344, 0.16216212447474126, 0.21621622594200243, 0.10810811297100094, 0.08108108472825092]","[0.29629638201058117, 0.22222217079365136, 0.2962961505820121, 0.14814819100529064, 0.11111108539682547]","[0.3243243389130035, 0.21621622594200252, 0.32432433891300344, 0.16216212447474146, 0.10810811297100124]"
123,"[0.26666665466666717, 0.06666667266666644, 0.2045454470454535, 0.06818181568181775, 0.045454552954546305]","[0.2666666812380957, 0.06666667030952393, 0.21428571428571422, 0.07142857142857145, 0.04761905434361504]","[0.40909089409090704, 0.21428570528571478, 0.2857142737142861, 0.26666665466666717, 0.14285713685714416]","[0.42857142857142844, 0.2738094844004327, 0.2857142857142858, 0.2666666812380957, 0.14285714285714282]","[0.28571427371428615, 0.14285713685714416, 0.21428570528571478, 0.09523809123809536, 0.07142858942856861]","[0.28571428571428553, 0.14285714285714293, 0.2738094844004327, 0.09523809523809527, 0.07142857142857138]","[0.2857142737142886, 0.21428570528571478, 0.2857142737142861, 0.14285717885713678, 0.14285713685714416]","[0.28571428571428553, 0.2738094844004327, 0.2857142857142858, 0.1428571428571429, 0.1428571428571429]","[0.40909089409090704, 0.13636363136363594, 0.20454544704545352, 0.06818181568181785, 0.045454552954546305]","[0.42857142857142844, 0.14285714285714282, 0.21428571428571422, 0.07142857142857145, 0.04761905434361504]","[0.40909089409090704, 0.20454544704545385, 0.20454544704545358, 0.1363636588636389, 0.1363636313636357]","[0.42857142857142844, 0.21428571428571422, 0.21428571428571436, 0.14285716303084514, 0.14285714285714282]","[0.26666665466666717, 0.06666667266666644, 0.20454544704545452, 0.1333333273333311, 0.08888888488888912]","[0.2666666812380957, 0.06666667030952393, 0.2555555421984123, 0.13333334061904786, 0.08888889374603193]","[0.2666666906666657, 0.20454544704545302, 0.26666665466666734, 0.26666665466666717, 0.1333333273333333]","[0.2666666812380957, 0.2555555421984123, 0.2666666812380957, 0.2666666812380957, 0.13333334061904786]"
124,"[0.3076923351732299, 0.10714285478436654, 0.1212122212121054, 0.03846154189665371, 0.0341880372414698]","[0.30901290336195697, 0.10714285475479592, 0.1276595964064095, 0.03862661292024462, 0.034334767040217436]","[0.42857141913746616, 0.26923072182618035, 0.3076923351732295, 0.1818180018182104, 0.18181833181815765]","[0.42857141901918366, 0.3090128583387905, 0.30901290336195697, 0.170212742331559, 0.19148935495187405]","[0.3636366636363151, 0.18181800181820976, 0.1212122212121054, 0.12121222121210609, 0.09090900090910387]","[0.3829787099037481, 0.170212742331559, 0.1276595964064095, 0.1276595964064095, 0.0851063711657795]","[0.3636366636363151, 0.18181833181816093, 0.18181800181820923, 0.18181800181821056, 0.18181833181815765]","[0.38297878921922845, 0.19148935495187405, 0.170212742331559, 0.170212742331559, 0.19148935495187405]","[0.30769233517322947, 0.15384613186141244, 0.26923072182618035, 0.03846154189665371, 0.0341880372414698]","[0.30901290336195697, 0.15278967731043444, 0.3090128583387905, 0.03862661292024462, 0.034334767040217436]","[0.30769233517322964, 0.26923072182618035, 0.3076923351732295, 0.1538461318614128, 0.0769230659307063]","[0.30901290336195697, 0.3090128583387905, 0.30901290336195697, 0.15278967731043444, 0.07639483865521722]","[0.42857141913746616, 0.10714285478436654, 0.20000000264150858, 0.1000000013207543, 0.0714285742587602]","[0.42857141901918366, 0.10714285475479592, 0.20000000267462847, 0.10000000133731424, 0.07142857429424496]","[0.42857141913746616, 0.20000000264150858, 0.21428572277627997, 0.1428571485175204, 0.10714285478436641]","[0.42857141901918366, 0.20000000267462847, 0.21428572288273487, 0.1428571485884899, 0.10714285475479592]"
125,"[0.285714300714281, 0.10526327789473598, 0.19047619679197977, 0.07894745842105198, 0.047619049197995075]","[0.28571431633540456, 0.10766046569358151, 0.19047619367388455, 0.08074534927018615, 0.047619048418471144]","[0.38095239358395955, 0.21428569928571556, 0.3157890736842139, 0.19047616363408595, 0.19047616363408584]","[0.3809523873477691, 0.2815734819530708, 0.28571431633540456, 0.19047617688599075, 0.19047617688599078]","[0.3157890736842139, 0.10526327789473598, 0.2105261757894726, 0.07894745842105198, 0.05263163894736803]","[0.28571431633540456, 0.10766046569358152, 0.2815734819530708, 0.08074534927018615, 0.0703933704882677]","[0.31578983368420793, 0.2105261757894726, 0.3157890736842139, 0.10526327789473597, 0.15789453684210694]","[0.3229813970807446, 0.2815734819530708, 0.28571431633540456, 0.14078674097653546, 0.14285715816770228]","[0.3809523272681719, 0.12698413119465318, 0.1904761967919792, 0.09523809839598962, 0.047619049197995075]","[0.3809523537719814, 0.12698412911592308, 0.19047619367388455, 0.09523809683694226, 0.047619048418471144]","[0.38095239358395955, 0.1904761967919803, 0.1904761967919792, 0.19047616363408595, 0.19047616363408595]","[0.3809523873477691, 0.19047619367388458, 0.19047619367388455, 0.1904761768859907, 0.1904761768859907]","[0.285714300714281, 0.14285715035714242, 0.21428569928571606, 0.1428571503571404, 0.09523810023809479]","[0.28571431633540456, 0.1428571581677023, 0.23809521002587905, 0.14285715816770228, 0.09523810544513488]","[0.2857143007142851, 0.21428569928571606, 0.2857143007142812, 0.14285715035714244, 0.14285715035714036]","[0.2857143163354048, 0.23809521002587897, 0.28571431633540456, 0.14285715816770228, 0.14285715816770225]"
126,"[0.30000000999999904, 0.10000000333333316, 0.1481481451373951, 0.08333333119047677, 0.037037039187574866]","[0.3000000199629645, 0.10000000665432085, 0.14814814569655627, 0.08333333235871061, 0.03703703878817405]","[0.44444443541218526, 0.222222218650792, 0.3333333247619033, 0.15000000500000238, 0.14999997166666135]","[0.4444444370896688, 0.24999998336419663, 0.33333332943484245, 0.15000000998148214, 0.15000000998148194]","[0.3333333247619033, 0.11111111253968257, 0.222222218650793, 0.08333333119047677, 0.08333333119047788]","[0.3333333294348422, 0.11111111176085935, 0.2499999833641973, 0.08333333235871061, 0.0833333323587106]","[0.3333333376190477, 0.222222218650792, 0.3333333247619033, 0.11111111253968348, 0.11111111253968257]","[0.3333333352825781, 0.24999998336419718, 0.33333332943484245, 0.11111111176086054, 0.11111111176085951]","[0.44444443541218526, 0.14814814513739508, 0.14814814513739508, 0.11111110885304651, 0.037037039187574866]","[0.4444444370896688, 0.14814814569655627, 0.14814814569655627, 0.1111111092724179, 0.03703703878817405]","[0.44444443541218526, 0.14814814513739508, 0.2222222351254492, 0.14814814513739538, 0.14814814513739535]","[0.4444444370896688, 0.14814814569655682, 0.2222222327290443, 0.14814814569655627, 0.14814814569655926]","[0.30000000999999965, 0.10000000333333355, 0.2000000066666682, 0.14999997166666135, 0.05000000166666954]","[0.30000001996296227, 0.10000000665432085, 0.24999998336419663, 0.15000000998148183, 0.050000003327160515]","[0.30000001000000065, 0.2000000066666682, 0.30000001000000226, 0.15000000500000238, 0.14999997166666135]","[0.30000001996296227, 0.24999998336419663, 0.3000000199629645, 0.15000000998148214, 0.15000000998148194]"
127,"[0.3124996999999494, 0.12500020000003226, 0.13888887588888824, 0.05208328333332567, 0.055555557555555614]","[0.297029780726665, 0.14851482491838955, 0.15277777814085677, 0.04950496345444418, 0.05555556281713054]","[0.3636363522077922, 0.2777777517777765, 0.31249969999994925, 0.18181817610389614, 0.18181817610389553]","[0.3636363534701596, 0.30555555628171355, 0.297029780726665, 0.18181817673507955, 0.18181817673507952]","[0.3333333453333337, 0.16666665466666644, 0.13888887588888824, 0.13888887588888835, 0.055555557555555614]","[0.33333332461944276, 0.16666666230972144, 0.15277777814085677, 0.15277777814085672, 0.05555556281713054]","[0.3333333453333337, 0.27777775177777647, 0.16666667266666654, 0.16666667266666685, 0.16666665466666644]","[0.3333333246194429, 0.30555555628171355, 0.1666666623097215, 0.16666668845139165, 0.16666666230972169]","[0.3636363522077912, 0.18181817610389445, 0.18181817610389697, 0.09090910376623429, 0.09090908805194774]","[0.36363635347015905, 0.1818181767350798, 0.18181817673507983, 0.09090910234607068, 0.09090908836753978]","[0.3636363522077922, 0.1818181761038946, 0.18181820753246858, 0.18181817610389556, 0.18181817610389553]","[0.3636363534701596, 0.18181817673508002, 0.18181820469214094, 0.18181817673507955, 0.18181817673507952]","[0.3124996999999494, 0.12500020000003226, 0.2187499499999944, 0.05208328333332567, 0.0624999399999895]","[0.297029780726665, 0.14851482491838955, 0.297029649836779, 0.04950496345444418, 0.059405956145333005]","[0.312499699999954, 0.2187499499999908, 0.3124996999999494, 0.12500020000003226, 0.12500020000003226]","[0.2970297807266651, 0.29702964983677915, 0.297029780726665, 0.1485148249183895, 0.14851482491838958]"
128,"[0.20000001999999895, 0.14204545898207388, 0.12698413079365062, 0.06349206539682552, 0.04545454489116522]","[0.21621622171157398, 0.14204545843931599, 0.13333333817902784, 0.06666666908951391, 0.04545454469476754]","[0.409090904020487, 0.20454545201024307, 0.20454545201024435, 0.19999972000001603, 0.20000001999999895]","[0.4090909022529082, 0.21621619629554287, 0.21621622171157395, 0.19999999818286435, 0.21621622171157412]","[0.40909090402048687, 0.14204545898207388, 0.2045454520102435, 0.10227272600512187, 0.04545454489116522]","[0.4090909022529079, 0.14204545843931599, 0.20454545112645395, 0.10227272974200545, 0.04545454469476754]","[0.409090904020487, 0.20454545201024343, 0.20454545201024393, 0.13636364706786047, 0.14204545898207388]","[0.4090909022529082, 0.2045454594840109, 0.2045454594840107, 0.13636363408430266, 0.14204545843931604]","[0.20000001999999895, 0.1500000899999953, 0.2000001199999928, 0.10000005999999646, 0.09999986000000799]","[0.21621622171157398, 0.16216216628368088, 0.21621619629554284, 0.10810811085578703, 0.08108108314184047]","[0.30000017999999, 0.20000011999999284, 0.20000011999999323, 0.19999972000001603, 0.20000001999999895]","[0.32432433256736176, 0.21621619629554287, 0.21621622171157398, 0.16216216628368094, 0.21621622171157412]","[0.3809523923809516, 0.17460314984127048, 0.12698413079365112, 0.06349206539682552, 0.047619049047619134]","[0.39999999636572925, 0.19999999818286446, 0.13333333817902784, 0.06666666908951391, 0.05000000181713547]","[0.38095239238095174, 0.1904761961904758, 0.19047619619047654, 0.190476196190476, 0.1746031498412704]","[0.4000000145370838, 0.19999999818286454, 0.2000000072685417, 0.19999999818286446, 0.19999999818286446]"
129,"[0.33898320084748, 0.067796640169496, 0.16949160042374112, 0.08474565271184759, 0.03484321172875907]","[0.3636363834713331, 0.07500000193647435, 0.17421600687283315, 0.06250000161372861, 0.034843218117613525]","[0.522648010354461, 0.18181817610389883, 0.25423695813554276, 0.18181817610389697, 0.18815332125837508]","[0.5226480206184995, 0.18749997902152782, 0.18750000484118595, 0.1875000048411858, 0.18815332760597236]","[0.33898320084748, 0.067796640169496, 0.16949160042374112, 0.08474565271184759, 0.08474565271184697]","[0.3750000096823716, 0.07500000193647435, 0.18749997902152774, 0.06250000161372861, 0.06250000161372872]","[0.33898320084748, 0.16949160042374112, 0.25423695813554276, 0.16949160042374, 0.16949160042374]","[0.37500000968237174, 0.18749997902152774, 0.18750000484118604, 0.1875000048411858, 0.1875000048411858]","[0.37630664251675017, 0.174216003451487, 0.17421600345148677, 0.08710802932189914, 0.03484321172875907]","[0.3763066552119447, 0.1742160068728331, 0.17421600687283315, 0.08710800343641655, 0.034843218117613525]","[0.522648010354461, 0.17421605864379636, 0.17421605864379536, 0.0940766606291876, 0.18815332125837508]","[0.5226480206184995, 0.1742160068728331, 0.17421609058806764, 0.09407666380298617, 0.18815332760597234]","[0.3636363522077941, 0.18181816038961301, 0.18181817610389736, 0.0909091037662318, 0.09090908805194704]","[0.3636363834713331, 0.18181813718950082, 0.18181819173566646, 0.09090909586783322, 0.09090909586783327]","[0.3636363522077947, 0.18181817610389706, 0.18181820753246325, 0.18181817610389706, 0.18181816038961324]","[0.3636363834713331, 0.18181819173566655, 0.18181819173566655, 0.18181819173566655, 0.18181813718950074]"
130,"[0.2999999777777691, 0.10000001111111825, 0.10275925622342415, 0.06945767412612561, 0.05708847567968008]","[0.3000000166487827, 0.1000000055495943, 0.10275926998116644, 0.06945766429916687, 0.05708848332287024]","[0.5137962811171207, 0.25689814055855864, 0.2999999777777696, 0.14999998888888455, 0.14999998888887872]","[0.5137963499058321, 0.2824999879296329, 0.30000001664878273, 0.15000000832439134, 0.1500000083243913]","[0.39999999347825865, 0.13333333115942395, 0.19999999673912933, 0.08000000195652224, 0.0666666655797101]","[0.3999999999999994, 0.1333333333333332, 0.1999999999999996, 0.07999999075819225, 0.0666666666666666]","[0.4000000097826112, 0.19999999673912933, 0.19999999673912933, 0.13333333115942014, 0.13333333115942395]","[0.40000000000000113, 0.1999999999999997, 0.1999999999999996, 0.1333333333333328, 0.13333333333333322]","[0.5137962811171207, 0.13891534825225416, 0.10275925622342415, 0.06945767412612394, 0.05708847567968008]","[0.5137963499058319, 0.13891532859833358, 0.10275926998116644, 0.06945766429916687, 0.05708848332287024]","[0.5137962811171207, 0.25689814055855864, 0.13891534825224788, 0.13891534825225416, 0.06945767412612858]","[0.5137963499058321, 0.25689817495291584, 0.13891532859833375, 0.13891532859833358, 0.06945766429916682]","[0.2999999777777691, 0.10000001111111825, 0.19999999444442712, 0.07499999444445421, 0.05999999555557306]","[0.3000000166487827, 0.1000000055495943, 0.2824999879296335, 0.07500000416219559, 0.06000000332975652]","[0.30000003333337666, 0.19999999444442712, 0.2999999777777691, 0.14999998888888455, 0.14999998888888455]","[0.30000001664878295, 0.28249998792963327, 0.30000001664878273, 0.15000000832439134, 0.1500000083243914]"
