Trial,entani論文のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,解の非唯一性考慮のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,解の非唯一性考慮のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ,解の非唯一性考慮のPartialIncorporation_Ŵ
187,"[0.2307692607692306, 0.21794866683761233, 0.24999998666666634, 0.16666678666666263, 0.11538460871794876]","[0.23529416353373686, 0.20843991230663347, 0.25000001876953154, 0.1739130617769373, 0.11764703842945029]","[0.24999995111110998, 0.21794866683761233, 0.26282055059828524, 0.17307691307692313, 0.11538460871794876]","[0.24999996871744745, 0.20971871787215757, 0.2608695225204797, 0.17647055764417544, 0.11764703842945029]","[0.2307692174358975, 0.07692308692307687, 0.21794866683761233, 0.17307691307692313, 0.11538460871794876]","[0.23529407685890058, 0.07843138784457895, 0.23529416353373686, 0.17647055764417544, 0.11764703842945029]","[0.2307692607692306, 0.21794866683761233, 0.34615382615384627, 0.2307692174358975, 0.11538460871794876]","[0.23529416353373686, 0.23529416353373686, 0.35294111528835087, 0.23529407685890058, 0.11764703842945029]","[0.24999995111110998, 0.12500002888888953, 0.24999998666666634, 0.12499999333333317, 0.062499987777777495]","[0.24999996871744745, 0.12500000938476577, 0.25000001876953154, 0.12500000938476577, 0.06249999217936186]","[0.25000005777777906, 0.24999998666666634, 0.24999998666666634, 0.24999995111110998, 0.12499997555555499]","[0.25000001876953154, 0.25000001876953154, 0.25000001876953154, 0.24999996871744745, 0.12499998435872373]","[0.16666678666666263, 0.13888874888889358, 0.2499994600000181, 0.12500008999999696, 0.08333339333333131]","[0.1739130617769373, 0.13043476126023984, 0.2608695225204797, 0.13043479633270297, 0.08695653088846865]","[0.27777749777778715, 0.2499994600000181, 0.2500001799999939, 0.16666678666666263, 0.16666678666666263]","[0.2608695225204797, 0.2608695225204797, 0.26086959266540594, 0.1739130617769373, 0.1739130617769373]","[[0.2307692607692306, 0.21794866683761233, 0.26282055059828524, 0.17307691307692313, 0.11538460871794876], [0.24999995111110998, 0.21794866683761233, 0.24999998666666634, 0.16666678666666263, 0.11538460871794876], [0.24999995111110998, 0.21794866683761233, 0.24999998666666634, 0.16666678666666263, 0.11538460871794867]]","[[0.23529416353373686, 0.20971871787215757, 0.2608695225204797, 0.17647055764417544, 0.11764703842945029], [0.24999996871744745, 0.20843991230663347, 0.25000001876953154, 0.1739130617769373, 0.11764703842945029], [0.23913046496649917, 0.20843991230663347, 0.2608695225204797, 0.1739130617769373, 0.11764703842945029]]"
188,"[0.2600000099999995, 0.17217397590062597, 0.2399999799999978, 0.2399999799999978, 0.08695651602484461]","[0.2600000128205143, 0.15130438716431677, 0.24, 0.23999998941176953, 0.08695652173913043]","[0.26086954807453383, 0.17304349397515803, 0.2399999799999978, 0.24, 0.08695651602484461]","[0.2608695652173913, 0.17304346544035543, 0.2608695364673921, 0.24000000000000002, 0.08695652173913043]","[0.2399999799999978, 0.13333335000000185, 0.2399999799999978, 0.2399999799999978, 0.0399999966666663]","[0.23999998941176953, 0.13333334215685874, 0.23999998941176953, 0.23999998941176953, 0.039999998235294924]","[0.2666667000000037, 0.2399999799999978, 0.2399999799999978, 0.2399999799999978, 0.1199999899999989]","[0.2666666843137175, 0.23999998941176953, 0.23999998941176953, 0.23999998941176953, 0.11999999470588477]","[0.24, 0.12999999500000026, 0.24, 0.24, 0.04]","[0.24000000000000002, 0.13000000641025716, 0.24, 0.24, 0.04]","[0.2600000099999995, 0.24, 0.24, 0.24, 0.12999999500000026]","[0.2600000128205143, 0.24, 0.24, 0.24000000000000002, 0.13000000641025716]","[0.26086954807453383, 0.08695651602484461, 0.21739125720496816, 0.1304348068944104, 0.08695651602484461]","[0.2608695652173913, 0.08695652173913043, 0.2608695364673921, 0.13043478260869565, 0.08695652173913043]","[0.26086954807453383, 0.21739125720496816, 0.2608696137888208, 0.26086954807453383, 0.13043477403726692]","[0.2608695652173913, 0.2608695364673921, 0.2608695652173913, 0.2608695652173913, 0.13043478260869565]","[[0.2608695480745339, 0.17217397590062597, 0.2399999799999978, 0.2399999799999978, 0.08695651602484461], [0.2600000099999995, 0.17304349397515803, 0.2399999799999978, 0.24, 0.08695651602484461], [0.26086954807453383, 0.17217397590062597, 0.2399999799999978, 0.2399999799999978, 0.08695651602484461]]","[[0.2608695652173913, 0.1721739236317088, 0.24, 0.23999998941176953, 0.08695652173913043], [0.2600000128205143, 0.17304346544035543, 0.24, 0.24000000000000002, 0.08695652173913043], [0.2608695652173913, 0.15130438716431677, 0.2608695364673921, 0.23999998941176953, 0.08695652173913043]]"
189,"[0.22222228391235874, 0.19658122811037126, 0.2222222239123631, 0.2222221788419433, 0.11111110815336456]","[0.23076922493589763, 0.1965812095159784, 0.22222223135265717, 0.22222223135265717, 0.11111111567632859]","[0.2307692150549452, 0.22222220517997024, 0.23076922434065947, 0.23076922434065947, 0.11111110815336456]","[0.24786321210237863, 0.1965812095159784, 0.23076922493589763, 0.23076922493589763, 0.11538457078526183]","[0.2222222239123631, 0.1481481467396974, 0.22222221630672911, 0.22222221630672911, 0.11111110815336456]","[0.22222223135265717, 0.14814814053945238, 0.22222221961352653, 0.22222221961352653, 0.11111110980676327]","[0.2962962934793948, 0.22222221630672911, 0.2222222239123631, 0.2222222239123631, 0.11111111195618155]","[0.29629628107890477, 0.22222221961352653, 0.22222223135265717, 0.22222223135265717, 0.11111111567632859]","[0.22222217137715544, 0.11111114195617937, 0.2222222239123631, 0.11111111195618155, 0.11111108942097166]","[0.23076914157052367, 0.11538461246794882, 0.23076922493589763, 0.11538461246794882, 0.11538457078526183]","[0.22222228391235874, 0.2222222239123631, 0.2222222239123631, 0.2222221788419433, 0.22222217137715544]","[0.23076922493589763, 0.23076922493589763, 0.23076922493589763, 0.23076914157052367, 0.23076914157052367]","[0.2307692150549452, 0.07692308406593397, 0.23076922434065947, 0.23076922434065947, 0.07692307478021983]","[0.23076922493589763, 0.07692307858974352, 0.23076922493589763, 0.23076922493589763, 0.07692307858974354]","[0.2307692521978019, 0.23076922434065947, 0.23076922434065947, 0.23076922434065947, 0.2307692150549452]","[0.23076923576923056, 0.23076922493589763, 0.2307692357692306, 0.23076922493589763, 0.23076922493589763]","[[0.2307692150549452, 0.21367523657259802, 0.2222222239123631, 0.22222221630672911, 0.11111110815336456], [0.22222228391235874, 0.22222220517997024, 0.2222222239123631, 0.2222221788419433, 0.11111110815336456], [0.2307692150549452, 0.19658122811037126, 0.23076922434065947, 0.23076922434065947, 0.11111110815336456]]","[[0.24786321210237863, 0.1965812095159784, 0.22222223135265717, 0.22222223135265717, 0.11111111567632859], [0.23076922493589763, 0.1965812095159784, 0.23076922493589763, 0.22649576982696445, 0.11538457078526183], [0.23076922493589763, 0.1965812095159784, 0.23076922493589763, 0.23076922493589763, 0.11111111567632859]]"
190,"[0.240000021818181, 0.18307683202797465, 0.23076925846153773, 0.23076925846153773, 0.11538462923076886]","[0.24000000000000005, 0.1738461389854689, 0.2307692584615385, 0.2307692584615385, 0.11538462923076925]","[0.240000021818181, 0.18307683202797465, 0.23076925846153773, 0.23076925846153773, 0.11538462923076886]","[0.24923071486068482, 0.1738461389854689, 0.2399999733222232, 0.2307692584615385, 0.11538462923076925]","[0.23076925846153773, 0.13461537076923114, 0.2179486941025643, 0.2179486941025643, 0.11538462923076886]","[0.2307692584615385, 0.13461537076923075, 0.21794869610256395, 0.21794869610256395, 0.11538462923076925]","[0.26923074153846227, 0.2179486941025643, 0.23076925846153773, 0.23076925846153773, 0.13461537076923114]","[0.2692307415384615, 0.21794869610256395, 0.2307692584615385, 0.2307692584615385, 0.13461537076923075]","[0.24000002181818098, 0.080000007272727, 0.1999999727272737, 0.1599999690909103, 0.07999998454545515]","[0.24000000000000005, 0.08000000000000002, 0.2399999733222232, 0.16000000000000003, 0.08000000000000002]","[0.240000021818181, 0.1999999727272737, 0.3199999381818206, 0.24000002181818098, 0.12000001090909049]","[0.24000000000000005, 0.2399999733222232, 0.32000000000000006, 0.24000000000000005, 0.12000000000000002]","[0.23076925846153773, 0.10576921346153893, 0.23076921846153878, 0.23076921846153878, 0.07692308615384591]","[0.2307692584615385, 0.10576921346153843, 0.23076921846153844, 0.23076921846153844, 0.07692308615384617]","[0.3173076403846168, 0.23076921846153878, 0.23076925846153773, 0.23076925846153773, 0.11538462923076886]","[0.3173076403846153, 0.23076921846153844, 0.2307692584615385, 0.2307692584615385, 0.11538462923076925]","[[0.240000021818181, 0.18307683202797465, 0.23076925846153773, 0.23076925846153773, 0.11538462923076886], [0.240000021818181, 0.18307683202797465, 0.23076925846153773, 0.23076925846153773, 0.11538462923076886], [0.240000021818181, 0.18307683202797465, 0.23076925846153773, 0.23076925846153773, 0.11538462923076886]]","[[0.24923071486068482, 0.17384613898546886, 0.2307692584615385, 0.2307692584615385, 0.11538462923076925], [0.24000000000000005, 0.1738461389854689, 0.2399999733222232, 0.2307692584615385, 0.11538462923076925], [0.24923071486068482, 0.1738461389854689, 0.2307692584615385, 0.2307692584615385, 0.11538462923076925]]"
191,"[0.23076926410256393, 0.23076922076923084, 0.23076922076923084, 0.16666678666665838, 0.07692307358974348]","[0.23076923852433298, 0.21538459853312356, 0.23076923852433287, 0.18461541246802807, 0.09230770623401402]","[0.2500008999999377, 0.24999946000003737, 0.24999946000003737, 0.23076922076923084, 0.08333339333332919]","[0.23076923852433298, 0.21538459853312356, 0.2769230442405015, 0.2307692181841966, 0.09230770623401402]","[0.23076928076923164, 0.13461535961538418, 0.23076920410256319, 0.23076920410256319, 0.07692309358974388]","[0.23076923852433287, 0.13461538073783358, 0.2307692318916798, 0.2307692181841966, 0.07692307950811096]","[0.26923071923076836, 0.23076920410256319, 0.23076928076923164, 0.23076928076923164, 0.13461535961538418]","[0.26923076147566716, 0.2307692318916798, 0.23076923852433287, 0.2307692385243329, 0.13461538073783358]","[0.16666678666665838, 0.13888874888889857, 0.24999946000003737, 0.1250000899999938, 0.08333339333332919]","[0.18461541246802807, 0.13846152212025076, 0.2769230442405015, 0.13846155935102106, 0.09230770623401403]","[0.27777749777779714, 0.24999946000003737, 0.2500001799999876, 0.16666678666665838, 0.16666678666665838]","[0.2769230442405015, 0.2769230442405015, 0.2769231187020421, 0.18461541246802807, 0.18461541246802807]","[0.19230766230769236, 0.11538463205128197, 0.23076922076923084, 0.23076922076923084, 0.07692307358974361]","[0.21153847218472, 0.11538461926216649, 0.2307692181841966, 0.2307692181841966, 0.07692307950811096]","[0.23076926410256393, 0.23076922076923084, 0.23076922076923084, 0.23076922076923084, 0.19230766230769236]","[0.23076923852433298, 0.2307692181841966, 0.23076923852433287, 0.2307692181841966, 0.21153847218472]","[[0.23076928076923164, 0.23076922076923084, 0.23076922076923084, 0.23076920410256319, 0.07692307358974348], [0.2500008999999377, 0.24999946000003737, 0.24999946000003737, 0.16666678666665838, 0.08333339333332919], [0.23076926410256393, 0.23076922076923084, 0.23076922076923084, 0.23076922076923084, 0.07692307358974348]]","[[0.23076923852433287, 0.21538459853312356, 0.23076923852433287, 0.2307692181841966, 0.09230770623401402], [0.23076923852433298, 0.21538459853312356, 0.2769230442405015, 0.18461541246802807, 0.09230770623401402], [0.23076923852433298, 0.21538459853312356, 0.23076923852433287, 0.2307692181841966, 0.09230770623401402]]"
192,"[0.2500000100000001, 0.1527777836473429, 0.22222223135265712, 0.22222223135265712, 0.11111111567632856]","[0.24999999652173935, 0.1527777877777763, 0.22222223135265717, 0.22222223135265717, 0.11111111567632859]","[0.2599206644858529, 0.18452375713250424, 0.24999998333333318, 0.23809521809523781, 0.12499999166666659]","[0.29166663384058084, 0.1527777877777763, 0.2499999895652181, 0.23809521809524242, 0.12499999478260905]","[0.24999998333333318, 0.12500000500000005, 0.24999998333333318, 0.12500000500000005, 0.12499999166666659]","[0.24999999652173935, 0.12499999826086967, 0.2499999895652181, 0.12500000521739094, 0.12499999478260905]","[0.2500000100000001, 0.24999998333333318, 0.2500000100000001, 0.24999998333333318, 0.12499999166666659]","[0.24999999652173935, 0.2499999895652181, 0.25000001043478187, 0.24999999652173935, 0.12499999826086967]","[0.2380952880952388, 0.13095235595238058, 0.23809521809523781, 0.23809521809523781, 0.047619057619047764]","[0.23809528809522726, 0.13095235595238636, 0.23809521809524242, 0.23809521809524242, 0.04761905761904545]","[0.26190471190476117, 0.23809521809523781, 0.2380952880952388, 0.2380952880952388, 0.13095235595238058]","[0.2619047119047727, 0.23809521809524242, 0.23809528809522726, 0.23809528809522726, 0.13095235595238636]","[0.22222223135265712, 0.14814814053945238, 0.22222221961352653, 0.22222221961352653, 0.11111110980676327]","[0.22222223135265717, 0.14814814053945233, 0.2222222196135265, 0.2222222196135265, 0.11111110980676325]","[0.29629628107890477, 0.22222221961352653, 0.22222223135265712, 0.22222223135265712, 0.11111111567632856]","[0.29629628107890466, 0.2222222196135265, 0.22222223135265717, 0.22222223135265717, 0.11111111567632859]","[[0.2500000100000001, 0.1527777836473429, 0.24999998333333318, 0.22222223135265712, 0.12499999166666659], [0.2599206644858529, 0.1527777836473429, 0.23809521809523781, 0.23809521809523781, 0.11111111567632856], [0.2599206644858529, 0.18452375713250424, 0.22222223135265712, 0.22222223135265712, 0.11111111567632856]]","[[0.24999999652173935, 0.1527777877777763, 0.2499999895652181, 0.22222223135265717, 0.12499999478260905], [0.2599206603554103, 0.1527777877777763, 0.23809521809524242, 0.23809521809524242, 0.11111111567632859], [0.29166663384058084, 0.1527777877777763, 0.22222223135265717, 0.22222223135265717, 0.11111111567632859]]"
193,"[0.23529415478991617, 0.19607851422969239, 0.23529410621848731, 0.23529410621848731, 0.08333331833333323]","[0.23529413364705906, 0.19607845937255058, 0.23529413364705906, 0.23529413364705906, 0.08333331833333284]","[0.2499999549999997, 0.2107843144397759, 0.23999998250000082, 0.23999998250000082, 0.08333331833333323]","[0.24999995499999847, 0.21078428072549, 0.23999998250000049, 0.23999998250000043, 0.08333331833333284]","[0.176470555378151, 0.11764707739495808, 0.23529410621848731, 0.23529410621848731, 0.05882352655462183]","[0.20588233294117625, 0.11764706682352953, 0.23529413364705906, 0.23529413364705906, 0.058823533411764765]","[0.23529415478991617, 0.23529410621848731, 0.23529410621848731, 0.23529410621848731, 0.176470555378151]","[0.23529413364705906, 0.23529413364705906, 0.23529413364705906, 0.23529413364705906, 0.20588233294117625]","[0.24000004499999797, 0.12999997750000103, 0.23999998250000082, 0.23999998250000082, 0.04000000749999965]","[0.24000004499999883, 0.12999997750000059, 0.23999998250000049, 0.23999998250000043, 0.0400000074999998]","[0.25999995500000206, 0.23999998250000082, 0.24000004499999797, 0.2400000449999979, 0.12999997750000103]","[0.25999995500000117, 0.23999998250000043, 0.24000004499999883, 0.24000004499999883, 0.12999997750000059]","[0.2499999549999997, 0.08333334833333343, 0.2222222422222224, 0.2222222422222224, 0.08333331833333323]","[0.24999995499999847, 0.08333334833333383, 0.22222224222222292, 0.22222224222222292, 0.08333331833333282]","[0.3333333933333337, 0.2222222422222224, 0.2499999549999997, 0.2499999549999997, 0.08333334833333343]","[0.33333339333333534, 0.22222224222222292, 0.24999995499999847, 0.24999995499999847, 0.08333334833333383]","[[0.23529415478991617, 0.2107843144397759, 0.23529410621848731, 0.23529410621848731, 0.08333331833333323], [0.24058820243697268, 0.19607851422969239, 0.23999998250000082, 0.23999998250000082, 0.08333331833333323], [0.2499999549999997, 0.19607851422969239, 0.23529410621848731, 0.23529410621848731, 0.08333331833333323]]","[[0.23529413364705906, 0.21078428072549, 0.23529413364705906, 0.23529413364705906, 0.08333331833333284], [0.24058825729411565, 0.19607845937255058, 0.23999998250000049, 0.23999998250000043, 0.08333331833333284], [0.24999995499999847, 0.19607845937255058, 0.23529413364705906, 0.23529413364705906, 0.08333331833333284]]"
194,"[0.2500000100000002, 0.12500000250000007, 0.2499999949999999, 0.24999999499999984, 0.11413046228260998]","[0.2500000028571428, 0.10326090722375625, 0.2500000257142847, 0.24999997484317782, 0.12500000142857137]","[0.26086954521739025, 0.12500000250000007, 0.2499999949999999, 0.24999999499999984, 0.12499999749999993]","[0.2608695652173913, 0.12499999515682338, 0.26086953874360735, 0.24999997484317782, 0.12500000142857137]","[0.26086954521739025, 0.08695651507246342, 0.21739124934782306, 0.13043481094203052, 0.06521738630434756]","[0.2608695652173913, 0.08695652173913043, 0.26086953874360735, 0.13043478260869565, 0.06521739130434782]","[0.26086954521739025, 0.21739124934782306, 0.26086962188406104, 0.26086954521739025, 0.13043477260869513]","[0.2608695652173913, 0.26086953874360735, 0.2608695652173913, 0.2608695652173913, 0.13043478260869565]","[0.24999999499999986, 0.12500000250000007, 0.2499999949999999, 0.12499999749999995, 0.12499999749999993]","[0.25000000285714274, 0.1250000014285714, 0.24999999142857177, 0.12500001285714235, 0.12500000142857137]","[0.2500000100000002, 0.2499999949999999, 0.2499999949999999, 0.24999999499999986, 0.12500000250000007]","[0.2500000028571428, 0.24999999142857177, 0.2500000257142847, 0.25000000285714274, 0.12500000142857137]","[0.2499999825000008, 0.12500000250000007, 0.2499999949999999, 0.1249999991666666, 0.08333332750000026]","[0.24999999031364675, 0.12499999515682338, 0.24999999031364675, 0.12500001285714235, 0.08333333010454892]","[0.25000000500000014, 0.2499999949999999, 0.2499999983333332, 0.2499999825000008, 0.12500000250000007]","[0.24999999031364675, 0.24999999031364675, 0.2500000257142847, 0.24999999031364675, 0.12499999515682338]","[[0.26086954521739025, 0.12500000250000007, 0.2499999949999999, 0.24999999499999984, 0.11413046228260998], [0.2500000100000002, 0.12500000250000007, 0.2499999949999999, 0.24999999499999984, 0.12499999749999993], [0.25000000500000014, 0.12500000250000007, 0.2499999949999999, 0.24999999499999984, 0.12500000250000007]]","[[0.2608695652173913, 0.10326090722375625, 0.26086953874360735, 0.24999997484317782, 0.12500001397206728], [0.2500000028571428, 0.12499999515682338, 0.2500000257142847, 0.24999997484317782, 0.12500000142857137], [0.24999999031364675, 0.12499999515682338, 0.2500000257142847, 0.24999997484317782, 0.12500001397206728]]"
195,"[0.27777749777778715, 0.16666696666665723, 0.22222221422222224, 0.16666678666666263, 0.10447838194032327]","[0.26666671600468095, 0.17777772001871098, 0.2222222369590643, 0.17094025468399585, 0.08547012734199792]","[0.27777749777778715, 0.19444514844442096, 0.2499994600000181, 0.22222221422222224, 0.11111110711111112]","[0.26666671600468095, 0.17777772001871098, 0.29914518195061424, 0.22222221801169592, 0.11111110900584796]","[0.20895676388064655, 0.14925282134325432, 0.23880639014926724, 0.11940319507463362, 0.034115198592752465]","[0.17094025468399587, 0.14957259097530712, 0.29914518195061424, 0.14957259097530712, 0.04273502599294489]","[0.29850564268650864, 0.23880639014926724, 0.23880639014926724, 0.20895676388064655, 0.10447838194032327]","[0.29914518195061424, 0.29914518195061424, 0.29914518195061424, 0.17094025468399587, 0.08547012734199794]","[0.22222221422222224, 0.1111111161111111, 0.22222221422222224, 0.22222221422222224, 0.11111110711111112]","[0.2222222369590643, 0.11111110190058482, 0.22222221801169592, 0.22222221801169592, 0.11111110900584796]","[0.3333333483333333, 0.22222221422222224, 0.22222221422222224, 0.22222221422222224, 0.11111110711111112]","[0.33333330570175446, 0.22222221801169592, 0.2222222369590643, 0.2222222369590643, 0.11111111847953214]","[0.16666678666666263, 0.13888874888889358, 0.2499994600000181, 0.12500008999999696, 0.08333339333333131]","[0.1777777389660791, 0.13333335800234047, 0.26666671600468095, 0.13333335800234047, 0.08888886948303955]","[0.27777749777778715, 0.2499994600000181, 0.2500001799999939, 0.16666678666666263, 0.16666678666666263]","[0.26666671600468095, 0.26666671600468095, 0.26666671600468095, 0.1777777389660791, 0.1777777389660791]","[[0.27777749777778715, 0.19444514844442096, 0.23880639014926724, 0.18449258168820143, 0.10447838194032327], [0.27777749777778715, 0.16666696666665723, 0.22222221422222224, 0.22222221422222224, 0.11111110711111112], [0.27777749777778715, 0.19444514844442096, 0.2499994600000181, 0.16666678666666263, 0.11111110711111112]]","[[0.26666671600468095, 0.17777772001871098, 0.29914518195061424, 0.17094025468399585, 0.08547012734199792], [0.26666671600468095, 0.17777772001871098, 0.2222222369590643, 0.22222221801169592, 0.11111110900584796], [0.26666671600468095, 0.17777772001871098, 0.26666671600468095, 0.1777777389660791, 0.11111110900584796]]"
196,"[0.230769262533936, 0.23076921959276012, 0.2307692219457016, 0.23076922194570168, 0.07692307398190076]","[0.2307692641025648, 0.23076920672161136, 0.23076922076923054, 0.23076922076923054, 0.07692308763736269]","[0.230769262533936, 0.23076921959276012, 0.2307692219457016, 0.23076922194570168, 0.07692307398190076]","[0.2307692641025648, 0.23076920672161136, 0.23076922076923054, 0.23076922076923054, 0.07692308763736269]","[0.19230766230769256, 0.115384631266968, 0.23076922194570168, 0.23076922194570168, 0.07692307398190056]","[0.2115384632051283, 0.1153846320512824, 0.23076922076923054, 0.23076922076923054, 0.07692307358974351]","[0.230769262533936, 0.23076922194570168, 0.23076922194570168, 0.23076922194570168, 0.19230766230769256]","[0.2307692641025648, 0.23076922076923054, 0.23076922076923054, 0.23076922076923054, 0.2115384632051283]","[0.2307692219457023, 0.13461538902714887, 0.2307692219457023, 0.2307692219457023, 0.07692307398190076]","[0.23076922076923054, 0.13461538961538472, 0.23076922076923054, 0.23076922076923054, 0.07692307358974351]","[0.26923077805429774, 0.23076922371040634, 0.2307692219457023, 0.2307692219457023, 0.13461538902714887]","[0.26923077923076943, 0.2307692265901267, 0.23076922076923054, 0.23076922076923054, 0.13461538961538472]","[0.2307692219457016, 0.06153846683257904, 0.2307692219457016, 0.2307692219457016, 0.07692307398190053]","[0.23076926291208807, 0.06153844225274715, 0.23076921648351642, 0.23076921648351642, 0.07692308763736269]","[0.24615386733031616, 0.23076922194570168, 0.2307692219457016, 0.2307692219457016, 0.2307692219457016]","[0.2461537690109886, 0.23076921648351642, 0.23076926291208807, 0.23076926291208807, 0.23076926291208807]","[[0.230769262533936, 0.23076921959276012, 0.2307692219457016, 0.23076922194570168, 0.07692307398190076], [0.230769262533936, 0.23076921959276012, 0.2307692219457016, 0.2307692219457023, 0.07692307398190076], [0.230769262533936, 0.23076921959276012, 0.2307692219457016, 0.23076922194570168, 0.0769230739819006]]","[[0.2307692641025648, 0.23076920672161136, 0.23076922076923054, 0.23076922076923054, 0.07692308763736269], [0.2307692641025648, 0.23076920672161136, 0.23076922076923054, 0.2307692207692306, 0.07692308763736269], [0.23076926838827896, 0.23076920672161136, 0.23076921648351642, 0.23076922076923054, 0.07692308763736269]]"
197,"[0.2647058923529419, 0.14705883852941287, 0.23529410764705813, 0.23529410764705805, 0.11764705382352902]","[0.2647058882788665, 0.14705883241829976, 0.23529411172113351, 0.23529411172113351, 0.11764705586056678]","[0.2647058923529419, 0.14705883852941287, 0.23529410764705813, 0.23529410764705805, 0.11764705382352902]","[0.2647058882788665, 0.14705883241829976, 0.23529411172113351, 0.23529411172113351, 0.11764705586056678]","[0.23529410964705771, 0.13235294517647112, 0.23529410964705771, 0.23529410964705771, 0.05882352741176443]","[0.23529411172113351, 0.13235294413943324, 0.23529411172113351, 0.23529411172113351, 0.05882352793028338]","[0.26470589035294223, 0.23529410964705771, 0.23529410964705771, 0.23529410964705771, 0.13235294517647112]","[0.2647058882788665, 0.23529411172113351, 0.23529411172113351, 0.23529411172113351, 0.13235294413943324]","[0.23529410764705813, 0.10294118272058866, 0.23529410764705813, 0.23529410764705813, 0.05882352691176453]","[0.23529411124705865, 0.10294118047058831, 0.23529411124705865, 0.23529411124705865, 0.05882352781176466]","[0.308823548161766, 0.23529410764705813, 0.23529410764705813, 0.23529410764705813, 0.11764705382352907]","[0.30882354141176493, 0.23529411124705865, 0.23529411124705865, 0.23529411124705865, 0.11764705562352933]","[0.23529410764705813, 0.13235294617647095, 0.2156862695098041, 0.2156862695098041, 0.11764705382352902]","[0.23529411172113351, 0.13235294413943324, 0.21568626947276648, 0.21568626947276648, 0.11764705586056676]","[0.2647058923529419, 0.2156862695098041, 0.23529410764705813, 0.23529410764705805, 0.13235294617647095]","[0.2647058882788665, 0.21568626947276648, 0.23529411172113351, 0.23529411172113351, 0.13235294413943324]","[[0.2647058923529419, 0.14705883852941287, 0.23529410764705813, 0.2352941076470581, 0.11764705382352902], [0.2647058923529419, 0.14705883852941287, 0.23529410764705813, 0.23529410764705813, 0.11764705382352902], [0.2647058923529419, 0.14705883852941287, 0.23529410764705813, 0.23529410764705805, 0.11764705382352902]]","[[0.2647058882788665, 0.14705883241829976, 0.23529411172113351, 0.23529411172113351, 0.11764705586056678], [0.2647058882788665, 0.14705883241829976, 0.23529411172113351, 0.23529411172113346, 0.11764705586056678], [0.2647058882788665, 0.14705883241829976, 0.23529411172113351, 0.23529411172113351, 0.11764705586056676]]"
198,"[0.23529413027863824, 0.17176470076957048, 0.2380952530952391, 0.23529413027863827, 0.10823532494471524]","[0.2352941309803926, 0.1717646787028648, 0.23809525309523696, 0.2352941309803926, 0.10823533975867387]","[0.2399999914285714, 0.17176470076957048, 0.2399999914285714, 0.2399999914285714, 0.11764704724458158]","[0.2399999938461538, 0.1717646787028648, 0.2399999938461538, 0.2399999938461538, 0.1176470654901963]","[0.23809523809523808, 0.13492062992063455, 0.23809523809523808, 0.23809523809523808, 0.047619047619047616]","[0.23809523809523808, 0.1349206299206352, 0.23809523809523808, 0.23809523809523808, 0.047619047619047616]","[0.2698412598412691, 0.23809523809523808, 0.2380952530952391, 0.23809523809523808, 0.11904761904761904]","[0.2698412598412704, 0.23809523809523808, 0.23809525309523696, 0.23809523809523808, 0.11904761904761904]","[0.2399999914285714, 0.1300000042857143, 0.2399999914285714, 0.2399999914285714, 0.039999998571428566]","[0.2399999938461538, 0.1300000030769231, 0.2399999938461538, 0.2399999938461538, 0.03999999897435897]","[0.2600000085714286, 0.2399999914285714, 0.2399999914285714, 0.2399999914285714, 0.1300000042857143]","[0.2600000061538462, 0.2399999938461538, 0.2399999938461538, 0.2399999938461538, 0.1300000030769231]","[0.23529413027863824, 0.05882353256965956, 0.20588233715170223, 0.17647057086687237, 0.11764704724458158]","[0.2352941309803926, 0.05882353274509815, 0.23529410264705833, 0.17647059823529443, 0.1176470654901963]","[0.23529413027863824, 0.20588233715170223, 0.35294114173374475, 0.23529413027863827, 0.11764706513931913]","[0.2352941309803926, 0.23529410264705833, 0.35294119647058886, 0.2352941309803926, 0.1176470654901963]","[[0.2399999914285714, 0.17176470076957048, 0.2380952530952391, 0.23809523809523808, 0.1120448166113808], [0.2399999914285714, 0.17176470076957048, 0.2399999914285714, 0.2399999914285714, 0.10823532494471524], [0.23529413027863824, 0.17176470076957048, 0.2399999914285714, 0.23529413027863827, 0.11764704724458158]]","[[0.2399999938461538, 0.1717646787028648, 0.23809525309523696, 0.23809523809523808, 0.11204483626050628], [0.2399999938461538, 0.1717646787028648, 0.2399999938461538, 0.2399999938461538, 0.10823533975867387], [0.2352941309803926, 0.1717646787028648, 0.2399999938461538, 0.2352941309803926, 0.1176470654901963]]"
