Trial,entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,解の非唯一性考慮のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,解の非唯一性考慮のCommonGround_wᵁ_3
11,"[0.2702700902702767, 0.13449120393609015, 0.23809522920634887, 0.23809522920634887, 0.09009003009009155]","[0.27027009027027077, 0.10119046230158707, 0.23809522920634907, 0.23809522920634907, 0.09009003009009026]","[0.27027064527025696, 0.16344942122693407, 0.23809526031746114, 0.23809526031746114, 0.11904763015873057]","[0.27027064527026706, 0.1301486795924468, 0.23809526031746067, 0.23809526031746067, 0.11904763015873034]","[0.23809526031746114, 0.10119046230158678, 0.23809522920634887, 0.23809522920634887, 0.04761905206349223]","[0.23809526031746067, 0.10119046230158707, 0.23809522920634907, 0.23809522920634907, 0.04761905206349214]","[0.3035713869047603, 0.23809522920634887, 0.23809526031746114, 0.23809526031746114, 0.11904763015873057]","[0.3035713869047612, 0.23809522920634907, 0.23809526031746067, 0.23809526031746067, 0.11904763015873034]","[0.2702700902702767, 0.054054129054051395, 0.21321329321321036, 0.21321329321321036, 0.09009003009009224]","[0.2702700902702718, 0.054054129054053414, 0.2132132932132125, 0.2132132932132125, 0.09009003009009062]","[0.27027064527025696, 0.21321329321321036, 0.2702700902702767, 0.2702700902702767, 0.13513504513513835]","[0.27027064527026706, 0.2132132932132125, 0.2702700902702718, 0.2702700902702718, 0.1351350451351359]","[0.27027009027027465, 0.05405412905405223, 0.21321329321321128, 0.21321329321321128, 0.09009003009009155]","[0.27027009027027077, 0.05405412905405385, 0.213213293213213, 0.213213293213213, 0.09009003009009026]","[0.2702706452702611, 0.21321329321321128, 0.27027009027027465, 0.27027009027027465, 0.13513504513513733]","[0.2702706452702692, 0.213213293213213, 0.27027009027027077, 0.27027009027027077, 0.13513504513513538]"
12,"[0.2380952361534908, 0.13492063205655794, 0.2380952361534908, 0.2380952361534908, 0.047619047230696265]","[0.23809523809523808, 0.13492064940339468, 0.23809523809523808, 0.23809523809523808, 0.04761904761904762]","[0.2698412775597151, 0.2380952443088311, 0.2380952361534908, 0.2380952361534908, 0.1190476180767454]","[0.26984129880678936, 0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.11904761904761904]","[0.2380952361534908, 0.10119047740406824, 0.2380952361534908, 0.2380952361534908, 0.04761904723069816]","[0.23809523809523808, 0.1011904761904762, 0.23809523809523808, 0.23809520157349962, 0.04761904761904762]","[0.30357143221220473, 0.2380952443088311, 0.2380952361534908, 0.2380952361534908, 0.1190476180767454]","[0.3035714285714286, 0.23809520157349962, 0.23809523809523808, 0.23809523809523808, 0.11904761904761904]","[0.2380952361534908, 0.10119047740406827, 0.2380952361534908, 0.2380952361534908, 0.047619047230696265]","[0.23809522682006964, 0.10119047759987228, 0.23809523809523808, 0.23809523809523808, 0.04761904761904762]","[0.3035714322122048, 0.2380952443088311, 0.2380952361534908, 0.2380952361534908, 0.1190476180767454]","[0.30357143279961685, 0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.11904761341003482]","[0.2380952361534908, 0.13492063205655794, 0.2380952361534908, 0.2380952361534908, 0.047619047230696265]","[0.23809523809523808, 0.13492064940339468, 0.23809523809523808, 0.23809523809523808, 0.047619047619047616]","[0.2698412775597151, 0.2380952361534908, 0.2380952361534908, 0.2380952361534908, 0.1190476180767454]","[0.26984129880678936, 0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.11904761904761904]"
13,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
14,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
15,E,"[0.2857143186394557, 0.14285715931972784, 0.2857143186394557, 0.14285715931972784, 0.0952381062131519]",r,"[0.2857143186394557, 0.14285760536472294, 0.2857143186394557, 0.14285728472155867, 0.09523842685631606]",E,"[0.19047613560090718, 0.14285715931972784, 0.2857143186394557, 0.14285715931972784, 0.09523806780045359]",r,"[0.2857143186394557, 0.2857143186394557, 0.2857143186394557, 0.19047613560090718, 0.19047613560090718]",E,"[0.2857143186394557, 0.05714286372789114, 0.19047685371263212, 0.14285715931972784, 0.0952381062131519]",r,"[0.2857143186394557, 0.19047685371263212, 0.2857143186394557, 0.2857143186394557, 0.09523842685631606]",E,"[0.14285728472155867, 0.14285715931972784, 0.2857143186394557, 0.14285715931972784, 0.03571432118038967]",r,"[0.2857143186394557, 0.2857143186394557, 0.2857143186394557, 0.14285728472155867, 0.14285728472155867]"
16,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
17,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
18,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
19,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
20,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
21,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
22,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
23,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
24,"[0.23076923743589783, 0.19230762955769323, 0.23076922476923079, 0.23076922476923079, 0.11538460371794867]","[0.230769281540642, 0.13461536673038763, 0.2307692515378075, 0.2307692115378074, 0.1153846032681948]","[0.23076924951923042, 0.19230770930769192, 0.2307692647692296, 0.23076923743589783, 0.11538461871794892]","[0.230769281540642, 0.13461547423534864, 0.2307692515378075, 0.230769281540642, 0.115384640770321]","[0.23076923743589783, 0.0769230831730768, 0.21153844716346143, 0.173076905576923, 0.11538460371794867]","[0.230769281540642, 0.07692309384688066, 0.2307692515378075, 0.17307696115548152, 0.115384640770321]","[0.23076924951923042, 0.21153844716346143, 0.346153811153846, 0.23076923743589783, 0.11538461871794892]","[0.230769281540642, 0.2307692515378075, 0.34615392231096304, 0.230769281540642, 0.115384640770321]","[0.2307692374358979, 0.13461538128205108, 0.2179487196153845, 0.2179487196153845, 0.11538460371794867]","[0.230769281540642, 0.13461536673038763, 0.21794870506372105, 0.21794870506372105, 0.1153846032681948]","[0.26923076256410217, 0.2179487196153845, 0.2307692374358979, 0.2307692374358979, 0.13461538128205108]","[0.26923073346077525, 0.21794870506372105, 0.2307692515378075, 0.230769281540642, 0.13461536673038763]","[0.23076923743589783, 0.10576921976923093, 0.23076922476923079, 0.23076922476923079, 0.07692308825640987]","[0.230769281540642, 0.10576920653780737, 0.2307692115378074, 0.2307692115378074, 0.07692308384593585]","[0.3173076593076928, 0.23076922476923079, 0.2307692647692296, 0.23076923743589783, 0.11538461871794892]","[0.3173076196134221, 0.2307692115378074, 0.23076925153780753, 0.230769281540642, 0.115384640770321]"
25,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
26,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
27,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
28,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
29,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
30,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
31,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
32,"[0.23076923076922987, 0.19230764730769137, 0.23076923076923078, 0.23076923076923078, 0.07692307692307693]","[0.23076932076922893, 0.13461533961538558, 0.23076932076922893, 0.23076919076923158, 0.07692310692307631]","[0.23076923076922987, 0.23076923076923078, 0.23076925076923208, 0.23076923076923078, 0.11538464038461589]","[0.2307693464209491, 0.17307704872864121, 0.23076932076922893, 0.23076932076922893, 0.11538466038461447]","[0.23076923076923078, 0.13461537961538428, 0.23076923076923078, 0.23076923076923078, 0.07692307692307693]","[0.23076932076922893, 0.13461533961538558, 0.23076919076923164, 0.23076919076923158, 0.07692310692307623]","[0.26923075923076856, 0.23076923076923078, 0.23076925076923208, 0.23076923076923078, 0.13461537961538428]","[0.26923067923077115, 0.23076919076923164, 0.23076932076922893, 0.2307693207692287, 0.13461533961538558]","[0.2307692107692306, 0.07692307692307662, 0.23076923076923078, 0.11538462538461604, 0.07692307692307693]","[0.23076932076922893, 0.0769231154736497, 0.23076932076922893, 0.11538466038461447, 0.07692310692307631]","[0.23076923076922987, 0.23076923076923078, 0.23076925076923208, 0.23076923076923078, 0.2307692107692306]","[0.2307693464209491, 0.23076932076922893, 0.23076932076922893, 0.23076932076922893, 0.23076932076922893]","[0.23076923076923078, 0.08461537961538454, 0.23076923076923062, 0.23076923076923078, 0.07692307692307687]","[0.23076932076922893, 0.08461533961538553, 0.23076919076923158, 0.23076919076923158, 0.07692310692307631]","[0.33846151846153816, 0.23076923076923078, 0.23076923076923062, 0.23076923076923078, 0.11538464038461589]","[0.33846135846154213, 0.23076919076923158, 0.23076932076922893, 0.23076932076922893, 0.11538466038461447]"
33,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
34,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
35,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
36,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
37,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
38,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
39,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
40,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
41,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
42,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
43,"[0.23529411764705882, 0.1470587985294095, 0.23529411764705882, 0.23529411764705882, 0.05882352941176472]","[0.23529411764705882, 0.13725489696078425, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705]","[0.26470589235294256, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.11764707382353018]","[0.2647058949455328, 0.22549021867102376, 0.23529411764705882, 0.23529411764705882, 0.11764707382352965]","[0.2352941138970602, 0.06862744973039156, 0.2352941138970602, 0.2352941138970602, 0.05882352941176472]","[0.23529411764705882, 0.06862744848039212, 0.23529411764705882, 0.23529410264705877, 0.058823529411764705]","[0.3431372486519578, 0.23529411764705882, 0.2352941138970602, 0.2352941138970602, 0.11764707382353018]","[0.34313724240196064, 0.23529410264705877, 0.23529411764705882, 0.23529411764705882, 0.11764707382352965]","[0.23529411764705882, 0.13725489696078402, 0.23529411764705882, 0.23529411764705882, 0.05882352941176472]","[0.23529411764705882, 0.13725489696078425, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705]","[0.27450979392156805, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.11764707382353018]","[0.2745097939215685, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.11764707382352965]","[0.23529411764705882, 0.13235293617646984, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705]","[0.23529411764705882, 0.1323529474727664, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705]","[0.26470589235294256, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.13235293617646984]","[0.2647058949455328, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.1323529474727664]"
44,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
45,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
46,E,"[0.2499999975070014, 0.1249999987535007, 0.24999999460067987, 0.1458333225989246, 0.12499999730033994]",r,"[0.2499999975070014, 0.22916670891378713, 0.2500000176511212, 0.25000000467273975, 0.12500000233636988]",E,"[0.2499999975070014, 0.08333333963541219, 0.24999999460067987, 0.1458333225989246, 0.04861110753297487]",r,"[0.2500000189062365, 0.24999999460067987, 0.2916666451978492, 0.2499999975070014, 0.1249999987535007]",E,"[0.2499999975070014, 0.1249999987535007, 0.24999999460067987, 0.1250000088255606, 0.08333333489091325]",r,"[0.2499999975070014, 0.24999999460067987, 0.2500000176511212, 0.25000000467273975, 0.1249999987535007]",E,"[0.2499999975070014, 0.1249999987535007, 0.24999999460067987, 0.1250000088255606, 0.12499999730033994]",r,"[0.2499999975070014, 0.24999999460067987, 0.2500000176511212, 0.25000000467273975, 0.12500000233636988]"
47,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
48,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
49,"[0.23809517809523573, 0.21428557928570577, 0.2857139857142704, 0.14285720285714593, 0.09523797523808983]",E,"[0.23809520809523618, 0.23809520809523618, 0.28571440571429185, 0.14285720285714593, 0.11904760404762027]",r,"[0.23809517809523573, 0.11904760404761809, 0.23809520809523618, 0.14285720285714593, 0.04761906761904864]",E,"[0.23809520809523618, 0.23809520809523618, 0.28571440571429185, 0.23809517809523573, 0.11904760404761809]",r,"[0.23809517809523573, 0.11904760404761738, 0.23809520809523618, 0.14285720285714593, 0.04761906761904864]",E,"[0.23809520809523477, 0.23809520809523618, 0.28571440571429185, 0.23809517809523573, 0.11904760404762027]",r,"[0.14285720285714593, 0.14285706285713876, 0.2857139857142704, 0.14285720285714593, 0.07142860142857296]",E,"[0.2857141257142775, 0.2857139857142704, 0.28571440571429185, 0.14285720285714593, 0.14285720285714593]",r
50,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
51,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
52,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
53,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
54,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
55,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
56,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
57,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
58,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
59,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
60,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
61,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
62,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
63,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
64,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
65,"[0.2702700902702727, 0.15280620857588728, 0.23076921846153822, 0.23076921846153822, 0.09009003009009091]","[0.27027009027026155, 0.10576921346153778, 0.23076921846153797, 0.23076921846153797, 0.09009003009008719]","[0.2702706452702653, 0.17810144271656003, 0.23076925846153898, 0.23076925846153898, 0.11538462923076949]","[0.27027064527028843, 0.13106444760225064, 0.2307692584615396, 0.2307692584615396, 0.1153846292307698]","[0.23076925846153898, 0.10576921346153816, 0.23076921846153822, 0.23076921846153822, 0.07692308615384633]","[0.2307692584615396, 0.10576921346153778, 0.23076921846153797, 0.23076921846153797, 0.07692308615384653]","[0.31730764038461445, 0.23076921846153822, 0.23076925846153898, 0.23076925846153898, 0.11538462923076949]","[0.31730764038461334, 0.23076921846153797, 0.2307692584615396, 0.2307692584615396, 0.1153846292307698]","[0.2702700902702727, 0.05405412905405306, 0.21321329321321214, 0.21321329321321214, 0.09009003009009091]","[0.27027009027026155, 0.05405412905405768, 0.2132132932132171, 0.2132132932132171, 0.09009003009008719]","[0.2702706452702653, 0.21321329321321214, 0.2702700902702727, 0.2702700902702727, 0.13513504513513636]","[0.27027064527028843, 0.2132132932132171, 0.27027009027026155, 0.27027009027026155, 0.13513504513513078]","[0.2307693207692319, 0.08461533961538405, 0.23076919076923028, 0.23076919076923028, 0.0769231069230773]","[0.2307692584615396, 0.0846153707692302, 0.230769213648704, 0.230769213648704, 0.07692308615384653]","[0.3384613584615362, 0.23076919076923028, 0.2307693207692319, 0.2307693207692319, 0.11538466038461595]","[0.3384614830769208, 0.230769213648704, 0.2307692584615396, 0.2307692584615396, 0.1153846292307698]"
66,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
67,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
68,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
69,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
70,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
71,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
72,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
73,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
74,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
75,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
76,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
77,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
78,"[0.24999999999999997, 0.12500000000000008, 0.24999999999999972, 0.12499999999999986, 0.12499998999999987]","[0.2500000017135274, 0.12500000316580795, 0.24999999706646717, 0.12500000781286832, 0.12499999634067002]","[0.25000000000000017, 0.25000000000000017, 0.24999999999999972, 0.24999999999999997, 0.12500000999999986]","[0.2500000063316159, 0.24999999706646717, 0.25000001562573665, 0.2500000017135274, 0.12499999853323358]","[0.24999999999999972, 0.12500000000000008, 0.24999999999999972, 0.12499999999999986, 0.049999999999999996]","[0.2500000017135274, 0.12499999853323358, 0.24999999706646717, 0.12500000781286832, 0.05000000034270548]","[0.25000000000000017, 0.25000000000000017, 0.24999999999999972, 0.24999999999999997, 0.12500000999999986]","[0.2500000063316159, 0.24999999706646717, 0.25000001562573665, 0.2500000017135274, 0.12499999853323358]","[0.24999999999999997, 0.12500000000000008, 0.24999999999999972, 0.12499999999999986, 0.12499998999999987]","[0.2500000017135274, 0.12500000316580795, 0.24999999706646717, 0.12500000781286832, 0.12499999634067002]","[0.25000000000000017, 0.25000000000000017, 0.24999999999999972, 0.24999999999999997, 0.12499999999999999]","[0.2500000063316159, 0.24999999706646717, 0.25000001562573665, 0.2500000017135274, 0.12499999853323358]","[0.24999999999999997, 0.12500000000000008, 0.24999999999999972, 0.12499999999999986, 0.041666666666666664]","[0.24999999706646717, 0.12500000316580795, 0.24999999706646717, 0.12500000781286832, 0.04166666695225457]","[0.25000000000000017, 0.25000000000000017, 0.24999999999999972, 0.24999999999999997, 0.12500000999999986]","[0.2500000063316159, 0.24999999706646717, 0.25000001562573665, 0.2500000017135274, 0.12499999853323358]"
79,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
80,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
81,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
82,E,"[0.23529411634271108, 0.13725489565643684, 0.23529413851662298, 0.23529411634271108, 0.07843137211423702]",r,"[0.2352941875362366, 0.17647065290708114, 0.23529413851662298, 0.23529411634271108, 0.11764705817135554]",E,"[0.23529411634271108, 0.1176470937681183, 0.23529413851662298, 0.11764706925831149, 0.07843137211423702]",r,"[0.2352941875362366, 0.23529413851662298, 0.23529413851662298, 0.23529411634271108, 0.23529411634271108]",E,"[0.23529411634271108, 0.08235293739386207, 0.23529411726662333, 0.23529411634271108, 0.05882352908567777]",r,"[0.3294117495754483, 0.23529411726662333, 0.23529413851662298, 0.23529411634271108, 0.11764705817135554]",E,"[0.23529411634271108, 0.13725489565643684, 0.23529411634271108, 0.23529411634271108, 0.058823534629155745]",r,"[0.2745097913128737, 0.23529411634271108, 0.23529413851662298, 0.23529411634271108, 0.11764705817135554]"
83,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
84,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
85,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
86,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
87,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
88,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
89,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
90,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
91,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
92,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
93,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
94,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
95,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
96,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
97,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
98,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
99,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
100,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
101,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
102,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
103,"[0.27027025208845257, 0.13513512604422628, 0.21846844937755944, 0.21846844937755944, 0.13513512604422628]","[0.2702702520884523, 0.13513512604422614, 0.22972973109336595, 0.21846845337755927, 0.13513512604422614]","[0.27027025208845257, 0.15765772311220227, 0.22972974791154743, 0.22972974791154743, 0.13513512604422628]","[0.2702702520884523, 0.14639646139639725, 0.2297297599115481, 0.2297297599115481, 0.13513512604422614]","[0.27027025208845257, 0.05405405041769051, 0.18918914282555405, 0.13513515968058903, 0.13513512604422628]","[0.2702702520884523, 0.05405405041769046, 0.22972973109336595, 0.13513515968058934, 0.13513512604422614]","[0.27027025208845257, 0.18918914282555405, 0.27027031936117807, 0.27027025208845257, 0.13513512604422628]","[0.2702702520884523, 0.22972973109336595, 0.2702703193611787, 0.2702702520884523, 0.13513512604422614]","[0.22972974791154743, 0.13513512604422628, 0.21846844937755944, 0.21846844937755944, 0.11486487395577372]","[0.2297297599115481, 0.13513512604422614, 0.2184684533775593, 0.2184684533775593, 0.11486487995577405]","[0.27027025208845257, 0.21846844937755944, 0.22972974791154743, 0.22972974791154743, 0.13513512604422628]","[0.2702702520884523, 0.2184684533775593, 0.2297297599115481, 0.2297297599115481, 0.13513512604422614]","[0.22972974791154743, 0.13513512604422628, 0.21846844937755944, 0.21846844937755944, 0.11486487395577372]","[0.2297297599115481, 0.13513512604422614, 0.21846845337755927, 0.21846845337755927, 0.11486487995577405]","[0.27027025208845257, 0.21846844937755944, 0.22972974791154743, 0.22972974791154743, 0.13513512604422628]","[0.2702702520884523, 0.21846845337755927, 0.2297297599115481, 0.2297297599115481, 0.13513512604422614]"
104,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
105,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
106,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
107,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
108,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
109,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
110,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
111,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
112,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
113,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
114,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
115,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
116,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
117,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
118,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
119,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
120,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
