Trial,entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,解の非唯一性考慮のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,解の非唯一性考慮のCommonGround_wᵁ_3
11,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
12,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
13,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
14,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
15,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
16,"[0.22222223104575164, 0.11111111875817065, 0.22222220957516306, 0.22222220957516306, 0.11111111552287582]","[0.2222222410069456, 0.1111111205034728, 0.22222221343749898, 0.22222220719444352, 0.11111111989583433]","[0.22222223104575164, 0.22222220957516306, 0.22222223104575164, 0.22222223104575164, 0.22222223104575164]","[0.2222222410069456, 0.22222221343749898, 0.2222222410069456, 0.22222223979166866, 0.2222222410069456]","[0.22222223104575164, 0.06666666137254901, 0.22222220957516306, 0.22222220957516306, 0.11111111552287582]","[0.2222222410069456, 0.06666665539583264, 0.2222222159513883, 0.22222220719444352, 0.11111111989583433]","[0.26666664549019603, 0.22222220957516306, 0.22222223104575164, 0.22222223104575164, 0.22222223104575164]","[0.26666662158333054, 0.2222222159513883, 0.2222222410069456, 0.2222222410069456, 0.2222222410069456]","[0.22222223104575164, 0.11111111875817065, 0.22222220957516306, 0.11111111552287582, 0.11111111552287582]","[0.2222222410069456, 0.1111111205034728, 0.22222221343749898, 0.1111111205034728, 0.11111111989583433]","[0.22222223104575164, 0.22222220957516306, 0.22222223104575164, 0.22222223104575164, 0.22222223104575164]","[0.2222222410069456, 0.22222221343749898, 0.2222222410069456, 0.22222223979166866, 0.2222222410069456]","[0.22222223104575164, 0.08333332671568625, 0.22222220957516306, 0.2222222122222218, 0.11111111552287582]","[0.22222223979166866, 0.08333331954861004, 0.22222221343749898, 0.22222221343749898, 0.11111111989583433]","[0.24999998014705874, 0.22222220957516306, 0.22222223104575164, 0.22222223104575164, 0.22222223104575164]","[0.2499999586458301, 0.22222221343749898, 0.2222222410069456, 0.22222223979166866, 0.2222222410069456]"
17,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
18,"[0.23076921076923074, 0.11538461038461592, 0.23076922076923184, 0.23076922076923184, 0.11538461038461592]","[0.2307692233685549, 0.11538461470625494, 0.23076921737954348, 0.23076922376373657, 0.11538462368977188]","[0.23076922076923184, 0.1923077373076897, 0.23076922076923184, 0.23076922076923184, 0.19230773730768974]","[0.23076922941250988, 0.2115384987404891, 0.2307692233685549, 0.23076924737954377, 0.2115384720752325]","[0.19230773730768974, 0.11538461038461592, 0.23076922076923184, 0.23076922076923184, 0.07692308442307612]","[0.2115384720752325, 0.11538461470625494, 0.23076921737954348, 0.23076922376373657, 0.07692308245984793]","[0.23076922076923184, 0.23076922076923184, 0.23076922076923184, 0.23076925326922837, 0.19230773730768974]","[0.23076922941250988, 0.23076921737954348, 0.2307692233685549, 0.23076924737954377, 0.2115384720752325]","[0.2179487129487178, 0.11538461038461592, 0.23076922076923184, 0.2179487129487178, 0.05128205628205077]","[0.2179487226380672, 0.11538461470625494, 0.23076921737954348, 0.2179487226380672, 0.05128205097140048]","[0.23076922076923184, 0.23076922076923184, 0.25641028141025385, 0.23076922076923184, 0.2179487129487178]","[0.23076922941250988, 0.23076921737954348, 0.2564102548570024, 0.23076924737954377, 0.2179487226380672]","[0.23076921076923074, 0.07692308692307641, 0.1923077373076897, 0.11538461038461592, 0.11538461038461592]","[0.2307692233685549, 0.07692307647083663, 0.23076921737954348, 0.11538461168427745, 0.11538462368977188]","[0.2307692607692292, 0.1923077373076897, 0.23076922076923184, 0.23076922076923184, 0.23076921076923074]","[0.23076922941250988, 0.23076921737954348, 0.2307692233685549, 0.23076924737954377, 0.2307692233685549]"
19,"[0.2222222222222222, 0.22222218222222356, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.22222222222222224, 0.22222217650793574, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.2222222422222213, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111113111111073]","[0.222222247936508, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.11111113111111182]","[0.2222222222222222, 0.11111112111111032, 0.2222221922222246, 0.2222221922222246, 0.1111111111111111]","[0.22222222130385474, 0.111111123968254, 0.22222222130385474, 0.22222222130385474, 0.11111111111111112]","[0.22222224222222065, 0.2222222222222222, 0.2222221922222246, 0.2222222222222222, 0.2222222222222222]","[0.222222247936508, 0.22222222130385474, 0.22222222222222224, 0.22222222222222224, 0.22222222130385474]","[0.2222221922222236, 0.11111112111111066, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.22222221579365067, 0.111111123968254, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.2222222422222213, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222221922222236]","[0.222222247936508, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.22222221579365067]","[0.2222222222222222, 0.11111110611111123, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.22222222222222224, 0.11111110611111095, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.3333333183333337, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111113111111073]","[0.33333331833333285, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.11111113111111182]"
20,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
21,"[0.2222222097222232, 0.11111111611111074, 0.2222222097222232, 0.2222222097222232, 0.11111111611111069]","[0.2222222193395062, 0.11111112264197515, 0.2222222193395062, 0.2222222193395062, 0.11111111169753123]","[0.22222223222222148, 0.2222222097222232, 0.2222222097222232, 0.22222223222222137, 0.2222222097222232]","[0.2222222452839503, 0.2222222193395062, 0.2222222193395062, 0.22222222339506245, 0.2222222193395062]","[0.22222222472222183, 0.11111111611111074, 0.2222222097222232, 0.11111111111111116, 0.11111111611111069]","[0.2222222193395062, 0.11111112264197515, 0.2222222193395062, 0.1111111096697531, 0.1111111096697531]","[0.22222223222222148, 0.2222222097222232, 0.22222222222222232, 0.22222223222222137, 0.22222222472222183]","[0.2222222452839503, 0.2222222193395062, 0.2222222193395062, 0.22222222339506245, 0.2222222193395062]","[0.2222222097222232, 0.08333333583333377, 0.2222222097222232, 0.22222221472222037, 0.11111111611111069]","[0.2222222193395062, 0.08333333448148127, 0.2222222153885259, 0.2222222153885259, 0.11111111169753123]","[0.2500000075000013, 0.2222222097222232, 0.22222221472222037, 0.22222223222222137, 0.2222222097222232]","[0.25000000344444384, 0.2222222153885259, 0.2222222193395062, 0.22222222339506245, 0.2222222193395062]","[0.2222222097222232, 0.11111111611111074, 0.2222222097222232, 0.2222222097222232, 0.11111111611111069]","[0.2222222193395062, 0.11111112264197515, 0.2222222193395062, 0.2222222193395062, 0.11111111169753123]","[0.22222223222222148, 0.2222222097222232, 0.2222222097222232, 0.22222223222222137, 0.2222222097222232]","[0.2222222452839503, 0.2222222193395062, 0.2222222193395062, 0.22222222339506245, 0.2222222193395062]"
22,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
23,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
24,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
25,"[0.22222221750524104, 0.11111111337526217, 0.22222221561844815, 0.22222222675052433, 0.11111110875262052]","[0.22222221347222218, 0.11111112361111122, 0.22222222472222225, 0.22222222472222225, 0.11111111236111113]","[0.22222222675052433, 0.22222222948637307, 0.22222221561844815, 0.22222223090146687, 0.22222222675052433]","[0.22222224722222245, 0.22222222472222225, 0.22222222472222225, 0.22222222472222225, 0.22222221347222218]","[0.22222221750524104, 0.11111111337526217, 0.22222221750524104, 0.22222221750524104, 0.06666666525157232]","[0.22222221347222218, 0.11111112361111122, 0.22222222472222225, 0.2222222113087606, 0.06666666066666661]","[0.22222222675052433, 0.22222222948637307, 0.2666666610062893, 0.22222221750524104, 0.22222222675052433]","[0.22222224722222245, 0.22222222472222225, 0.26666664266666645, 0.22222222472222225, 0.22222221347222218]","[0.22222221750524104, 0.11111111337526217, 0.22222221561844815, 0.22222221750524104, 0.11111110875262052]","[0.22222221347222218, 0.11111112361111122, 0.22222222472222225, 0.22222222472222225, 0.11111111236111113]","[0.22222222675052433, 0.22222222948637307, 0.22222221561844815, 0.22222221750524104, 0.22222222675052433]","[0.22222224722222245, 0.22222222472222225, 0.22222222472222225, 0.22222222472222225, 0.22222221347222218]","[0.22222222675052433, 0.11111111337526217, 0.22222221561844815, 0.11111110780922408, 0.11111110875262052]","[0.22222221347222218, 0.11111112345833295, 0.22222222472222225, 0.11111111236111113, 0.11111111236111113]","[0.22222222675052433, 0.22222222948637307, 0.22222221561844815, 0.22222223090146687, 0.22222222675052433]","[0.22222224722222245, 0.22222222472222225, 0.22222222472222225, 0.22222222472222225, 0.22222221347222218]"
26,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
27,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
28,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
29,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
30,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
31,"[0.22222221670498146, 0.22222221670498146, 0.22222221670498146, 0.22222221670498146, 0.11111111145593854]","[0.22222221972222217, 0.22222221597222247, 0.22222221972222217, 0.22222221972222217, 0.22222219847222252]","[0.22222222291187693, 0.22222221670498146, 0.22222222601532593, 0.22222222291187707, 0.11111113318007423]","[0.22222221972222217, 0.22222221972222217, 0.22222222722222226, 0.22222222972222203, 0.22222221972222217]","[0.22222221670498146, 0.11111111145593851, 0.22222221670498146, 0.22222221670498146, 0.11111111145593854]","[0.22222221972222217, 0.11111110986111108, 0.22222221972222217, 0.22222221972222217, 0.11111111486111101]","[0.22222222291187702, 0.22222221670498146, 0.22222222601532593, 0.22222222291187707, 0.22222221670498146]","[0.22222221972222217, 0.22222221972222217, 0.22222222722222226, 0.22222222972222203, 0.22222221972222217]","[0.2222222123084301, 0.11111111145593847, 0.2222222123084301, 0.11111111602490387, 0.11111111145593854]","[0.22222221972222217, 0.11111110986111108, 0.22222221972222217, 0.11111110908333306, 0.11111111486111101]","[0.22222222291187693, 0.22222221670498146, 0.22222223204980773, 0.22222222291187707, 0.2222222123084301]","[0.22222221972222217, 0.22222221972222217, 0.22222222722222226, 0.22222222972222203, 0.22222221972222217]","[0.22222221670498146, 0.22222221670498146, 0.22222221670498146, 0.11111111455938673, 0.11111111145593854]","[0.22222221972222217, 0.22222221597222247, 0.22222221972222217, 0.11111111361111113, 0.11111111486111101]","[0.22222222291187693, 0.22222221670498146, 0.22222222911877346, 0.22222222291187707, 0.22222221670498146]","[0.22222221972222217, 0.22222221972222217, 0.22222222722222226, 0.22222222972222203, 0.22222221972222217]"
32,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
33,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
34,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
35,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
36,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
37,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
38,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
39,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
40,"[0.23076921076923063, 0.11538461967033017, 0.23076922076923084, 0.23076922076923084, 0.11538461038461542]","[0.2307692205991127, 0.11538462231878698, 0.23076922660872726, 0.2307692207692305, 0.11538461330436404]","[0.23076923934066035, 0.19230773730769216, 0.23076923934065846, 0.23076922076923084, 0.19230772802197743]","[0.23076924463757395, 0.21153850404400787, 0.23076922660872726, 0.2307692266087281, 0.2115384651516272]","[0.23076921076923063, 0.07692308228022, 0.19230773730769216, 0.11538461967032923, 0.11538461038461542]","[0.2307692205991127, 0.07692308154585797, 0.23076922660872726, 0.11538461330436363, 0.11538461330436404]","[0.23076924684066003, 0.19230773730769216, 0.23076923934065846, 0.23076922076923084, 0.23076921076923063]","[0.23076924463757395, 0.2307692266087281, 0.23076922660872726, 0.2307692266087281, 0.2307692205991127]","[0.19230772802197743, 0.11538461967033017, 0.23076922076923084, 0.23076922076923084, 0.07692307978021994]","[0.2115384651516272, 0.11538462231878698, 0.23076922660872726, 0.2307692207692305, 0.0769230755362427]","[0.23076922076923084, 0.23076922076923084, 0.23076923934065846, 0.23076923934065982, 0.19230772802197743]","[0.23076924463757395, 0.2307692266087281, 0.23076922660872726, 0.2307692266087281, 0.2115384651516272]","[0.19230772802197743, 0.11538461967033017, 0.23076922076923084, 0.23076922076923084, 0.07692307978021949]","[0.2115384651516272, 0.11538462231878698, 0.23076922660872742, 0.2307692207692305, 0.07692307553624247]","[0.23076923934066035, 0.23076922076923084, 0.23076923934065846, 0.23076922076923084, 0.19230772802197743]","[0.23076924463757395, 0.2307692266087281, 0.23076922660872742, 0.2307692266087281, 0.2115384651516272]"
41,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
42,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
43,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
44,"[0.2222222097222232, 0.11111111611111071, 0.2222222097222232, 0.2222222097222232, 0.11111111611111071]","[0.22222221597145017, 0.11111111300308643, 0.22222221597145017, 0.22222221901311764, 0.11111111300308645]","[0.22222223222222143, 0.2222222097222232, 0.2222222097222232, 0.22222223222222143, 0.2222222097222232]","[0.22222222600617286, 0.2222222260061729, 0.22222221597145017, 0.2222222260061729, 0.2222222260061729]","[0.2222222097222232, 0.11111111611111071, 0.2222222097222232, 0.2222222097222232, 0.11111111611111071]","[0.22222221597145017, 0.11111111300308643, 0.22222221597145017, 0.22222221901311764, 0.11111111300308645]","[0.22222223222222143, 0.2222222097222232, 0.2222222097222232, 0.22222223222222143, 0.2222222097222232]","[0.22222222600617286, 0.2222222260061729, 0.22222221597145017, 0.2222222260061729, 0.2222222260061729]","[0.2222222097222232, 0.11111111611111071, 0.2222222072222234, 0.11111111611111076, 0.11111110861111133]","[0.22222221597145017, 0.11111111300308643, 0.22222221597145017, 0.11111110798572509, 0.11111111300308645]","[0.22222223222222143, 0.2222222097222232, 0.2222222322222215, 0.22222221722222266, 0.2222222097222232]","[0.22222222600617286, 0.2222222260061729, 0.22222221597145017, 0.2222222260061729, 0.2222222260061729]","[0.2222222147222228, 0.11111111611111071, 0.2222222097222232, 0.11111111611111076, 0.11111111611111071]","[0.22222219255709788, 0.11111111300308643, 0.22222221597145017, 0.11111110798572509, 0.11111111300308645]","[0.22222223222222143, 0.2222222097222232, 0.2222222322222215, 0.22222223222222143, 0.2222222097222232]","[0.22222222600617286, 0.2222222260061729, 0.22222221597145017, 0.2222222260061729, 0.22222219255709788]"
45,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
46,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
47,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
48,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
49,"[0.23076921076923215, 0.10256399756409962, 0.2222222122222218, 0.2222222122222218, 0.11538460538461608]",E,"[0.23076927576923112, 0.20940175940170808, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.23076921076923215, 0.07692309192307588, 0.20940175940170808, 0.11538460538461608, 0.11538460538461608]",E,"[0.23076927576922762, 0.20940175940170808, 0.23076921076923215, 0.23076921076923215, 0.23076921076923215]",r,"[0.22222224222222312, 0.08333331833333264, 0.2222222122222218, 0.2222222122222218, 0.11111112111111156]",E,"[0.24999995499999794, 0.2222222122222218, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.23076921076923063, 0.07692309192307704, 0.20940175940170808, 0.11538460538461531, 0.11538460538461531]",E,"[0.23076927576923112, 0.20940175940170808, 0.23076921076923063, 0.23076921076923063, 0.23076921076923063]",r
50,"[0.2222222196135264, 0.111111099806764, 0.2222222196135264, 0.2222222196135264, 0.1111111098067632]","[0.22222221722222218, 0.11111113111111118, 0.22222221722222218, 0.22222221722222218, 0.11111110861111109]","[0.2222222196135264, 0.2222222196135264, 0.22222222743961387, 0.2222222196135264, 0.22222222830917837]","[0.22222225659722228, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218]","[0.2222222196135264, 0.1111111098067632, 0.2222222196135264, 0.2222222196135264, 0.11111111371980693]","[0.22222221722222218, 0.11111113111111118, 0.22222221722222218, 0.22222221722222218, 0.11111110861111109]","[0.2222222196135264, 0.2222222196135264, 0.22222222743961387, 0.2222222196135264, 0.22222222830917837]","[0.22222225659722228, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218]","[0.2222222196135264, 0.06666666492753628, 0.2222222196135264, 0.2222222196135264, 0.1111111098067632]","[0.22222221722222218, 0.06666666966666668, 0.22222221722222218, 0.22222221722222218, 0.11111110861111109]","[0.26666665971014514, 0.2222222196135264, 0.22222222743961387, 0.2222222196135264, 0.22222222830917837]","[0.2666666786666667, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218]","[0.2222222196135264, 0.111111099806764, 0.2222222196135264, 0.11111111371980693, 0.1111111098067632]","[0.22222221722222218, 0.11111112814583299, 0.22222221722222218, 0.11111110861111109, 0.11111110861111109]","[0.2222222196135264, 0.2222222196135264, 0.22222222743961387, 0.2222222196135264, 0.2222222196135264]","[0.22222225659722228, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218, 0.22222221722222218]"
51,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
52,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
53,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
54,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
55,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
56,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
57,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
58,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
59,"[0.2222222232222224, 0.11111110411111136, 0.22222222022222224, 0.22222222022222224, 0.11111110151111073]","[0.22222222513182657, 0.11111113582862533, 0.22222221013182666, 0.22222221013182666, 0.11111109794726934]","[0.2222222232222224, 0.22222222022222224, 0.22222222622222199, 0.22222222022222224, 0.22222222622222199]","[0.22222227165725067, 0.22222221013182666, 0.22222221013182666, 0.22222221013182666, 0.22222221801318265]","[0.2222222232222224, 0.11111110411111136, 0.22222222022222224, 0.22222222022222224, 0.11111111311111099]","[0.22222222513182657, 0.11111113582862533, 0.22222221013182666, 0.22222221013182666, 0.11111109794726934]","[0.2222222232222224, 0.22222222022222224, 0.22222222622222199, 0.22222222022222224, 0.22222222622222199]","[0.22222227165725067, 0.22222221013182666, 0.22222221013182666, 0.22222221013182666, 0.22222221801318265]","[0.2222222232222224, 0.11111110411111136, 0.22222222022222224, 0.22222222022222224, 0.11111111011111112]","[0.22222221801318265, 0.11111113582862533, 0.22222221013182666, 0.22222221013182666, 0.11111110506591333]","[0.2222222232222224, 0.22222222022222224, 0.22222222622222199, 0.22222222022222224, 0.22222222622222199]","[0.22222227165725067, 0.22222221013182666, 0.22222221013182666, 0.22222221013182666, 0.22222221801318265]","[0.22222222622222199, 0.06666666546666675, 0.22222222022222224, 0.22222222022222224, 0.11111110151111073]","[0.22222222513182657, 0.06666667234463279, 0.22222221013182666, 0.22222221013182666, 0.11111110506591333]","[0.266666661866667, 0.22222222022222224, 0.22222222622222199, 0.22222222022222224, 0.22222222622222199]","[0.26666668937853116, 0.22222221013182666, 0.22222221013182666, 0.22222221013182666, 0.22222221801318265]"
60,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
61,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
62,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
63,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
64,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
65,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
66,"[0.23076921076923063, 0.10256399756409962, 0.2222221972222214, 0.2222222122222218, 0.11538460538461531]",E,"[0.23076927576923112, 0.20940177440171087, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.22222224222222312, 0.08333331833333264, 0.2222222122222218, 0.2222222122222218, 0.11111112111111156]",E,"[0.24999995499999794, 0.2222222122222218, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.22222227222222388, 0.06666663666666567, 0.2222221972222214, 0.2222221972222214, 0.11111113611111194]",E,"[0.2666665466666627, 0.2222221972222214, 0.22222227222222388, 0.22222227222222388, 0.22222227222222388]",r,"[0.23076921076923063, 0.07692309192307704, 0.20940177440171087, 0.11538460538461531, 0.11538460538461531]",E,"[0.23076927576923112, 0.20940177440171087, 0.23076921076923063, 0.23076921076923063, 0.23076921076923063]",r
67,"[0.22222222622222204, 0.11111110911111183, 0.22222221922222204, 0.22222221922222204, 0.11111110491111101]","[0.22222223736111388, 0.11111111868055694, 0.2222222122222219, 0.2222222122222219, 0.11111112111111142]","[0.22222222622222204, 0.22222222622222204, 0.22222222622222204, 0.22222222622222204, 0.22222222622222204]","[0.22222223736111388, 0.2222222122222219, 0.22222224222222284, 0.22222224222222278, 0.22222224222222284]","[0.22222222622222204, 0.11111110911111183, 0.22222222622222204, 0.11111111311111102, 0.11111111311111102]","[0.22222223736111388, 0.11111111868055694, 0.2222222122222219, 0.11111112111111142, 0.11111112111111142]","[0.22222222622222204, 0.22222222622222204, 0.22222222622222204, 0.22222222622222204, 0.22222222622222204]","[0.22222223736111388, 0.2222222122222219, 0.22222224222222284, 0.22222224222222284, 0.22222224222222284]","[0.22222222622222204, 0.08333333033333347, 0.22222221922222204, 0.22222221922222204, 0.11111111311111102]","[0.22222224222222278, 0.08333331833333289, 0.2222222122222219, 0.2222222122222219, 0.11111112111111142]","[0.24999999100000042, 0.22222222622222204, 0.22222222622222204, 0.22222222622222204, 0.22222222622222204]","[0.2499999549999987, 0.2222222122222219, 0.22222224222222284, 0.22222224222222278, 0.22222224222222278]","[0.22222222622222204, 0.0666666642666668, 0.22222221922222204, 0.22222221922222204, 0.11111110491111101]","[0.22222224222222278, 0.06666665466666631, 0.2222221929365083, 0.2222222122222219, 0.11111112111111142]","[0.2666666570666672, 0.22222221922222204, 0.22222222622222204, 0.22222222622222204, 0.22222222622222204]","[0.26666661866666524, 0.2222221929365083, 0.22222224222222284, 0.22222224222222284, 0.22222224222222284]"
68,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
69,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
70,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
71,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
72,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
